step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,0.0,0.0,40.84,0.0,0.0,40.84
1,2,3,2,0,707.56,0.0,707.56,77.04,0.0,0.0,77.04
2,3,3,2,0,707.56,10.0,717.56,99.49,0.5,0.0,99.99
3,4,2,3,1,903.09,20.0,923.09,120.50,1.0,0.0,121.50
4,5,2,3,1,903.09,30.0,933.09,120.50,1.5,2.0,124.00
5,6,2,3,1,903.09,40.0,943.09,120.50,2.0,4.0,126.50
6,7,2,3,1,903.09,50.0,953.09,120.50,2.5,6.0,129.00
7,8,2,3,1,903.09,60.0,963.09,120.50,3.0,8.0,131.50
8,9,2,3,1,903.09,70.0,973.09,120.50,3.5,10.0,134.00
9,10,2,3,1,903.09,80.0,983.09,120.50,4.0,12.0,136.50
10,11,2,3,1,903.09,90.0,993.09,120.50,4.5,14.0,139.00
11,12,2,3,1,903.09,100.0,1003.09,120.50,5.0,16.0,141.50
12,13,2,3,1,903.09,110.0,1013.09,120.50,5.5,18.0,144.00
13,14,2,3,1,903.09,130.0,1033.09,120.50,6.5,20.0,147.00
14,15,2,3,1,903.09,150.0,1053.09,120.50,7.5,22.0,150.00
15,16,2,3,1,903.09,170.0,1073.09,120.50,8.5,24.0,153.00
16,17,2,3,1,903.09,190.0,1093.09,142.03,9.5,26.0,177.53
17,18,1,4,1,954.99,210.0,1164.99,163.17,10.5,26.0,199.67
18,19,1,4,1,954.99,230.0,1184.99,163.17,11.5,26.0,200.67
19,20,1,4,1,954.99,250.0,1204.99,163.17,12.5,26.0,201.67
20,21,1,4,1,954.99,270.0,1224.99,183.42,13.5,26.0,222.92
21,22,0,5,1,1415.88,290.0,1705.88,200.77,14.5,26.0,241.27
22,23,0,5,1,1415.88,310.0,1725.88,200.77,15.5,26.0,242.27
23,24,0,5,1,1415.88,330.0,1745.88,200.77,16.5,26.0,243.27
24,25,0,5,1,1415.88,350.0,1765.88,200.77,17.5,26.0,244.27
25,26,0,5,1,1415.88,370.0,1785.88,200.77,18.5,26.0,245.27
26,27,0,5,1,1415.88,390.0,1805.88,200.77,19.5,26.0,246.27
27,28,0,5,1,1415.88,410.0,1825.88,200.77,20.5,26.0,247.27
28,29,0,5,1,1415.88,430.0,1845.88,200.77,21.5,26.0,248.27
29,30,0,5,1,1415.88,450.0,1865.88,200.77,22.5,26.0,249.27
30,31,0,5,1,1415.88,470.0,1885.88,200.77,23.5,26.0,250.27
31,32,0,5,1,1415.88,490.0,1905.88,200.77,24.5,26.0,251.27
32,33,0,5,1,1415.88,510.0,1925.88,200.77,25.5,26.0,252.27
33,34,0,5,1,1415.88,530.0,1945.88,200.77,26.5,26.0,253.27
34,35,0,5,1,1415.88,550.0,1965.88,200.77,27.5,26.0,254.27
35,36,0,5,1,1415.88,570.0,1985.88,200.77,28.5,26.0,255.27
36,37,0,5,1,1415.88,590.0,2005.88,200.77,29.5,26.0,256.27
37,38,0,5,1,1415.88,610.0,2025.88,200.77,30.5,26.0,257.27
38,39,0,5,1,1415.88,630.0,2045.88,200.77,31.5,26.0,258.27
39,40,0,5,1,1415.88,650.0,2065.88,200.77,32.5,26.0,259.27
40,41,0,5,1,1415.88,670.0,2085.88,200.77,33.5,26.0,260.27
41,42,0,5,1,1415.88,683.75,2099.63,200.77,34.19,26.0,260.95
42,43,0,5,1,1415.88,693.75,2109.63,200.77,34.69,26.0,261.45
43,44,0,5,1,1415.88,703.75,2119.63,200.77,35.19,26.0,261.95
44,45,0,5,1,1415.88,713.75,2129.63,200.77,35.69,26.0,262.45
45,46,0,5,1,1415.88,723.75,2139.63,200.77,36.19,26.0,262.95
46,47,0,5,1,1415.88,733.75,2149.63,200.77,36.69,26.0,263.45
47,48,0,5,1,1415.88,743.75,2159.63,200.77,37.19,26.0,263.95
48,49,0,5,1,1415.88,753.75,2169.63,200.77,37.69,26.0,264.45
49,50,0,5,1,1415.88,763.75,2179.63,200.77,38.19,26.0,264.95
