experiment_name,config_name,strategy_type,seed,num_uavs,num_agvs,num_tasks,max_steps,completion_rate,on_time_rate,avg_delivery_time,total_energy,avg_energy_per_task,energy_per_km,total_distance,total_distance_agv,charging_count,avg_wait_time_at_relay,timestamp,duration_seconds
baseline_full,完整系统 - 所有组件启用（对照组）,energy_priority,42,1,1,1,10,1.0,1.0,1.0,51.904017316378905,51.904017316378905,0.23517239330366133,220.7062512195424,0.0,1,,2026-04-19T16:17:10.155216,0.733527421951294
strategy_baseline_direct,策略消融 - 使用基线直送策略（无优化）,baseline_direct,42,1,0,1,10,1.0,1.0,1.0,35.904017316378905,35.904017316378905,0.1626778449544876,220.7062512195424,0.0,0,,2026-04-19T16:17:10.861728,0.7065122127532959
strategy_relay_coop,策略消融 - 使用中继协同策略,relay_coop,42,1,1,1,10,0.0,0.0,0.0,5.0,,0.05,100.0,100.0,0,10.0,2026-04-19T16:17:11.291598,0.42887020111083984
no_agv_cooperation,AGV协同消融 - 禁用AGV中继协同（仅UAV直送）,baseline_direct,42,1,0,1,10,1.0,1.0,1.0,35.904017316378905,35.904017316378905,0.1626778449544876,220.7062512195424,0.0,0,,2026-04-19T16:17:11.946832,0.6552340984344482
full_agv_cooperation,AGV协同消融 - 启用完整AGV中继协同,relay_coop,42,1,1,1,10,0.0,0.0,0.0,5.0,,0.05,100.0,100.0,0,10.0,2026-04-19T16:17:12.410974,0.4631221294403076
simple_energy_model,能耗模型消融 - 使用简化能耗模型（仅距离计算）,energy_priority,42,1,1,1,10,1.0,1.0,1.0,1.2185831250548076,1.2185831250548076,0.0055212895797983105,220.7062512195424,0.0,0,,2026-04-19T16:17:13.071824,0.659844160079956
full_energy_model,能耗模型消融 - 使用完整精细化能耗模型,energy_priority,42,1,1,1,10,1.0,1.0,1.0,51.904017316378905,51.904017316378905,0.23517239330366133,220.7062512195424,0.0,1,,2026-04-19T16:17:13.760487,0.6876535415649414
no_smart_charging,充电策略消融 - 禁用智能充电（固定阈值）,energy_priority,42,1,1,1,10,0.0,0.0,0.0,36.64509580391956,,,0.0,0.0,1,,2026-04-19T16:17:14.407885,0.6453704833984375
smart_charging_enabled,充电策略消融 - 启用智能充电策略,energy_priority,42,1,1,1,10,1.0,1.0,1.0,51.904017316378905,51.904017316378905,0.23517239330366133,220.7062512195424,0.0,1,,2026-04-19T16:17:15.069503,0.6616177558898926
astar_path_planning,路径规划消融 - 使用A*路径规划,energy_priority,42,1,1,1,10,1.0,1.0,1.0,51.904017316378905,51.904017316378905,0.23517239330366133,220.7062512195424,0.0,1,,2026-04-19T16:17:15.756785,0.6839690208435059
full_system,综合消融 - 完整系统（所有优化）,energy_priority,42,1,1,1,10,1.0,1.0,1.0,51.904017316378905,51.904017316378905,0.23517239330366133,220.7062512195424,0.0,1,,2026-04-19T16:17:16.413910,0.654132604598999
