timestamp,sender,receiver,message_type,content
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 2
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 3
0,UAV 1,Control Center,TASK_START,Start task 2
0,UAV 2,Control Center,TASK_START,Start task 3
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 3
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 5
2,UAV 2,Control Center,TASK_START,Start task 5
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 5
3,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.9%
3,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 27.9%"
3,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
3,AGV 2,UAV 2,CHARGING_START,Start charging
