step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,3,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,2,1,,,,Task assigned to UAV
0,0,TASK_START,2,1,,,,Task starts execution
0,0,TASK_START,3,2,,,,Task starts execution
1,1,TASK_COMPLETE,2,1,,,,
1,1,TASK_COMPLETE,3,2,,,,
2,2,AGV_MOVE_START,1,,1,625.4841186120954,72.50967970040024,AGV starts moving to relay point
2,2,TASK_ASSIGNED,5,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,1,1,,,Task assigned to UAV
2,2,RELAY_REQUEST,1,,1,,,Relay support requested for task
2,2,RELAY_REQUEST,1,,,,,Relay via AGV 1
2,2,WAIT_FOR_AGV_START,1,1,,,,Task starts waiting for AGV
2,2,TASK_START,5,2,,,,Task starts execution
3,3,TASK_COMPLETE,5,2,,,,
3,3,LOW_BATTERY,,2,,,,
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,CHARGING_START,,2,2,356.2254648661927,189.9315498306034,Charging started
7,7,RELAY_FALLBACK,1,1,,,,"AGV took too long, falling back to direct delivery"
7,7,AGV_MOVE_CANCELLED,1,,1,,,AGV move cancelled due to relay fallback
7,7,RELAY_FALLBACK_START,1,1,1,,,
8,8,WAIT_FOR_AGV_END,1,1,,,,Task stops waiting for AGV
8,8,TASK_COMPLETE,1,1,,,,
8,8,LOW_BATTERY,,1,,,,
8,8,CHARGING_REQUEST,,1,,,,UAV requests charging
8,8,CHARGING_START,,1,1,852.9616109343609,128.24494936647454,Charging started
14,14,CHARGING_END,,2,2,356.2254648661927,189.9315498306034,Charging ended
15,15,TASK_ASSIGNED,4,2,,,,Task assigned to UAV
15,15,TASK_START,4,2,,,,Task starts execution
16,16,TASK_COMPLETE,4,2,,,,
19,19,CHARGING_END,,1,1,852.9616109343609,128.24494936647454,Charging ended
