timestamp,sender,receiver,message_type,content
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 3
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 1,Control Center,TASK_START,Start task 3
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 3
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 5
2,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 5
2,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 5
2,UAV 1,Control Center,TASK_START,Start task 1
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
3,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
3,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 27.8%"
3,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
3,AGV 1,UAV 1,CHARGING_START,Start charging
8,UAV 2,Control Center,TASK_COMPLETE,Complete task 5
15,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 4
15,UAV 1,Control Center,TASK_START,Start task 4
16,UAV 1,Control Center,TASK_COMPLETE,Complete task 4
