step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,0.0,0.0,39.36349499805775,0.0,0.0,39.36349499805775
1,2,3,2,0,1123.5041525012875,0.0,1123.5041525012875,71.96349499805775,0.0,0.0,71.96349499805775
2,3,3,2,0,1123.5041525012875,10.0,1133.5041525012875,91.07079997848454,0.5,0.0,91.57079997848454
3,4,2,3,1,1589.8338834691929,20.0,1609.8338834691929,107.37079997848454,1.0,0.0,108.37079997848454
4,5,2,3,1,1589.8338834691929,30.0,1619.8338834691929,107.37079997848454,1.5,2.0,110.87079997848454
5,6,2,3,1,1589.8338834691929,40.0,1629.8338834691929,107.37079997848454,2.0,4.0,113.37079997848454
6,7,2,3,1,1589.8338834691929,50.0,1639.8338834691929,107.37079997848454,2.5,6.0,115.87079997848454
7,8,2,3,1,1589.8338834691929,60.0,1649.8338834691929,125.67767484531049,3.0,8.0,136.6776748453105
8,9,1,4,1,1923.2018015465928,60.0,1983.2018015465928,141.9776748453105,3.0,10.0,154.9776748453105
9,10,1,4,1,1923.2018015465928,60.0,1983.2018015465928,141.9776748453105,3.0,12.0,156.9776748453105
10,11,1,4,1,1923.2018015465928,60.0,1983.2018015465928,141.9776748453105,3.0,14.0,158.9776748453105
11,12,1,4,1,1923.2018015465928,60.0,1983.2018015465928,141.9776748453105,3.0,16.0,160.9776748453105
12,13,1,4,1,1923.2018015465928,60.0,1983.2018015465928,141.9776748453105,3.0,18.0,162.9776748453105
13,14,1,4,1,1923.2018015465928,60.0,1983.2018015465928,141.9776748453105,3.0,20.0,164.9776748453105
14,15,1,4,1,1923.2018015465928,60.0,1983.2018015465928,141.9776748453105,3.0,22.0,166.9776748453105
15,16,1,4,1,1923.2018015465928,60.0,1983.2018015465928,158.9029322500906,3.0,22.0,183.9029322500906
16,17,0,5,1,2027.0651578223592,60.0,2087.065157822359,175.2029322500906,3.0,22.0,200.2029322500906
