step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,0.0,0.0,39.36349499805775,0.0,0.0,39.36349499805775
1,2,3,2,0,1123.5041525012875,0.0,1123.5041525012875,71.96349499805775,0.0,0.0,71.96349499805775
2,3,3,2,0,1123.5041525012875,10.0,1133.5041525012875,90.95920890437137,0.5,0.0,91.45920890437137
3,4,2,3,1,1571.2971601945767,20.0,1591.2971601945767,107.25920890437136,1.0,0.0,108.25920890437136
4,5,2,3,1,1571.2971601945767,30.0,1601.2971601945767,107.25920890437136,1.5,2.0,110.75920890437136
5,6,2,3,1,1571.2971601945767,40.0,1611.2971601945767,107.25920890437136,2.0,4.0,113.25920890437136
6,7,2,3,1,1571.2971601945767,50.0,1621.2971601945767,107.25920890437136,2.5,6.0,115.75920890437136
7,8,2,3,1,1571.2971601945767,60.0,1631.2971601945767,127.85527844010322,3.0,8.0,138.85527844010323
8,9,1,4,2,2284.9299734390715,60.0,2344.9299734390715,144.15527844010322,3.0,10.0,157.15527844010325
9,10,1,4,2,2284.9299734390715,60.0,2344.9299734390715,144.15527844010322,3.0,14.0,161.15527844010325
10,11,1,4,2,2284.9299734390715,60.0,2344.9299734390715,144.15527844010322,3.0,18.0,165.15527844010325
11,12,1,4,2,2284.9299734390715,60.0,2344.9299734390715,144.15527844010322,3.0,22.0,169.15527844010325
12,13,1,4,2,2284.9299734390715,60.0,2344.9299734390715,144.15527844010322,3.0,26.0,173.15527844010325
13,14,1,4,2,2284.9299734390715,60.0,2344.9299734390715,144.15527844010322,3.0,30.0,177.15527844010325
14,15,1,4,2,2284.9299734390715,60.0,2344.9299734390715,144.15527844010322,3.0,34.0,181.15527844010325
15,16,1,4,2,2284.9299734390715,60.0,2344.9299734390715,163.12237156912468,3.0,36.0,202.1223715691247
16,17,0,5,2,2727.9686991901435,60.0,2787.9686991901435,179.4223715691247,3.0,38.0,220.42237156912472
17,18,0,5,2,2727.9686991901435,60.0,2787.9686991901435,179.4223715691247,3.0,40.0,222.42237156912472
18,19,0,5,2,2727.9686991901435,60.0,2787.9686991901435,179.4223715691247,3.0,42.0,224.42237156912472
19,20,0,5,2,2727.9686991901435,60.0,2787.9686991901435,179.4223715691247,3.0,44.0,226.42237156912472
