timestamp,sender,receiver,message_type,content
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 3
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 1,Control Center,TASK_START,Start task 3
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 3
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 5
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
2,UAV 1,Control Center,TASK_START,Start task 1
2,UAV 2,Control Center,TASK_START,Start task 5
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
3,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 5
4,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
5,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
6,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
7,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
8,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
9,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
10,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
11,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
12,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
13,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
14,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
15,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
16,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
17,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
18,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
19,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
20,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
21,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
22,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
23,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
24,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
25,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
26,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
27,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
28,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
29,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
30,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
31,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
32,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
33,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
34,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
35,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
36,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
37,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
38,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
39,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
40,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
41,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
42,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
43,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
44,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
45,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
46,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
47,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
48,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
49,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
50,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.8%
