timestamp,sender,receiver,message_type,content
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 1
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
0,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 2
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 1
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 2
0,AGV 2,Control Center,AGV_ARRIVE_RELAY,AGV 2 arrived at relay point for task 2
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 3
2,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 3
2,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 3
2,AGV 2,Control Center,AGV_ARRIVE_RELAY,AGV 2 arrived at relay point for task 3
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 3
11,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
23,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 1
