step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,46,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,28,10,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,6,6,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,23,8,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,47,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,40,7,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,42,9,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,38,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,24,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,10,3,,,,Task assigned to UAV
0,0,TASK_START,6,6,,,,Task starts execution
0,0,TASK_START,10,3,,,,Task starts execution
0,0,TASK_START,23,8,,,,Task starts execution
0,0,TASK_START,24,2,,,,Task starts execution
0,0,TASK_START,28,10,,,,Task starts execution
0,0,TASK_START,38,1,,,,Task starts execution
0,0,TASK_START,40,7,,,,Task starts execution
0,0,TASK_START,42,9,,,,Task starts execution
0,0,TASK_START,46,5,,,,Task starts execution
0,0,TASK_START,47,4,,,,Task starts execution
1,1,TASK_COMPLETE,38,1,,,,
1,1,TASK_COMPLETE,24,2,,,,
1,1,TASK_COMPLETE,10,3,,,,
1,1,TASK_COMPLETE,47,4,,,,
1,1,TASK_COMPLETE,46,5,,,,
1,1,TASK_COMPLETE,6,6,,,,
1,1,TASK_COMPLETE,40,7,,,,
1,1,TASK_COMPLETE,23,8,,,,
1,1,TASK_COMPLETE,42,9,,,,
1,1,TASK_COMPLETE,28,10,,,,
2,2,TASK_ASSIGNED,48,7,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,9,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,36,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,17,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,35,10,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,27,5,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,8,3,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,8,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,41,6,,,,Task assigned to UAV
2,2,TASK_START,1,9,,,,Task starts execution
2,2,TASK_START,8,3,,,,Task starts execution
2,2,TASK_START,9,8,,,,Task starts execution
2,2,TASK_START,17,1,,,,Task starts execution
2,2,TASK_START,19,4,,,,Task starts execution
2,2,TASK_START,27,5,,,,Task starts execution
2,2,TASK_START,35,10,,,,Task starts execution
2,2,TASK_START,36,2,,,,Task starts execution
2,2,TASK_START,41,6,,,,Task starts execution
2,2,TASK_START,48,7,,,,Task starts execution
3,3,TASK_COMPLETE,17,1,,,,
3,3,LOW_BATTERY,,1,,,,
3,3,TASK_COMPLETE,36,2,,,,
3,3,LOW_BATTERY,,2,,,,
3,3,TASK_COMPLETE,8,3,,,,
3,3,CHARGING_REQUEST,,3,,,,UAV requests charging
3,3,CHARGING_START,,3,1,811,1043,Charging started
3,3,TASK_COMPLETE,19,4,,,,
3,3,LOW_BATTERY,,4,,,,
3,3,TASK_COMPLETE,27,5,,,,
3,3,CHARGING_REQUEST,,5,,,,UAV requests charging
3,3,CHARGING_START,,5,3,867,1068,Charging started
3,3,TASK_COMPLETE,41,6,,,,
3,3,CHARGING_REQUEST,,6,,,,UAV requests charging
3,3,CHARGING_START,,6,1,1073,1418,Charging started
3,3,TASK_COMPLETE,48,7,,,,
3,3,TASK_COMPLETE,9,8,,,,
3,3,LOW_BATTERY,,8,,,,
3,3,TASK_COMPLETE,1,9,,,,
3,3,LOW_BATTERY,,9,,,,
3,3,TASK_COMPLETE,35,10,,,,
3,3,CHARGING_REQUEST,,10,,,,UAV requests charging
3,3,CHARGING_START,,10,1,820,1087,Charging started
4,4,LOW_BATTERY,,1,,,,
4,4,LOW_BATTERY,,2,,,,
4,4,LOW_BATTERY,,4,,,,
4,4,LOW_BATTERY,,8,,,,
4,4,LOW_BATTERY,,9,,,,
5,5,LOW_BATTERY,,1,,,,
5,5,LOW_BATTERY,,2,,,,
5,5,LOW_BATTERY,,4,,,,
5,5,LOW_BATTERY,,8,,,,
5,5,LOW_BATTERY,,9,,,,
6,6,LOW_BATTERY,,1,,,,
6,6,LOW_BATTERY,,2,,,,
6,6,LOW_BATTERY,,4,,,,
6,6,LOW_BATTERY,,8,,,,
6,6,LOW_BATTERY,,9,,,,
7,7,LOW_BATTERY,,1,,,,
7,7,LOW_BATTERY,,2,,,,
7,7,LOW_BATTERY,,4,,,,
7,7,LOW_BATTERY,,8,,,,
7,7,LOW_BATTERY,,9,,,,
8,8,LOW_BATTERY,,1,,,,
8,8,LOW_BATTERY,,2,,,,
8,8,LOW_BATTERY,,4,,,,
8,8,LOW_BATTERY,,8,,,,
8,8,LOW_BATTERY,,9,,,,
9,9,TASK_ASSIGNED,16,10,,,,Task assigned to UAV
9,9,TASK_ASSIGNED,4,5,,,,Task assigned to UAV
9,9,TASK_START,4,5,,,,Task starts execution
9,9,TASK_START,16,10,,,,Task starts execution
9,9,LOW_BATTERY,,1,,,,
9,9,LOW_BATTERY,,2,,,,
9,9,LOW_BATTERY,,4,,,,
9,9,LOW_BATTERY,,8,,,,
9,9,LOW_BATTERY,,9,,,,
10,10,TASK_ASSIGNED,50,3,,,,Task assigned to UAV
10,10,TASK_START,50,3,,,,Task starts execution
10,10,LOW_BATTERY,,1,,,,
10,10,LOW_BATTERY,,2,,,,
10,10,LOW_BATTERY,,4,,,,
10,10,LOW_BATTERY,,8,,,,
10,10,LOW_BATTERY,,9,,,,
11,11,TASK_ASSIGNED,14,6,,,,Task assigned to UAV
11,11,TASK_START,14,6,,,,Task starts execution
11,11,LOW_BATTERY,,1,,,,
11,11,LOW_BATTERY,,2,,,,
11,11,LOW_BATTERY,,4,,,,
11,11,LOW_BATTERY,,8,,,,
11,11,LOW_BATTERY,,9,,,,
12,12,LOW_BATTERY,,1,,,,
12,12,LOW_BATTERY,,2,,,,
12,12,LOW_BATTERY,,4,,,,
12,12,LOW_BATTERY,,8,,,,
12,12,LOW_BATTERY,,9,,,,
13,13,LOW_BATTERY,,1,,,,
13,13,LOW_BATTERY,,2,,,,
13,13,LOW_BATTERY,,4,,,,
13,13,LOW_BATTERY,,8,,,,
13,13,LOW_BATTERY,,9,,,,
14,14,LOW_BATTERY,,1,,,,
14,14,LOW_BATTERY,,2,,,,
14,14,LOW_BATTERY,,4,,,,
14,14,LOW_BATTERY,,8,,,,
14,14,LOW_BATTERY,,9,,,,
15,15,LOW_BATTERY,,1,,,,
15,15,LOW_BATTERY,,2,,,,
15,15,LOW_BATTERY,,4,,,,
15,15,LOW_BATTERY,,8,,,,
15,15,LOW_BATTERY,,9,,,,
16,16,CHARGING_END,,5,3,867,1068,Charging ended
16,16,CHARGING_END,,10,1,820,1087,Charging ended
16,16,LOW_BATTERY,,1,,,,
16,16,LOW_BATTERY,,2,,,,
16,16,LOW_BATTERY,,4,,,,
16,16,LOW_BATTERY,,8,,,,
16,16,LOW_BATTERY,,9,,,,
17,17,CHARGING_END,,3,1,811,1043,Charging ended
17,17,CHARGING_END,,6,1,1073,1418,Charging ended
17,17,LOW_BATTERY,,1,,,,
17,17,LOW_BATTERY,,2,,,,
17,17,LOW_BATTERY,,4,,,,
17,17,TASK_COMPLETE,4,5,,,,
17,17,LOW_BATTERY,,8,,,,
17,17,LOW_BATTERY,,9,,,,
17,17,TASK_COMPLETE,16,10,,,,
18,18,LOW_BATTERY,,1,,,,
18,18,LOW_BATTERY,,2,,,,
18,18,TASK_COMPLETE,50,3,,,,
18,18,LOW_BATTERY,,4,,,,
18,18,TASK_COMPLETE,14,6,,,,
18,18,LOW_BATTERY,,8,,,,
18,18,LOW_BATTERY,,9,,,,
19,19,TASK_ASSIGNED,15,3,,,,Task assigned to UAV
19,19,TASK_START,15,3,,,,Task starts execution
19,19,LOW_BATTERY,,1,,,,
19,19,LOW_BATTERY,,2,,,,
19,19,LOW_BATTERY,,3,,,,
19,19,LOW_BATTERY,,4,,,,
19,19,LOW_BATTERY,,8,,,,
19,19,LOW_BATTERY,,9,,,,
20,20,LOW_BATTERY,,1,,,,
20,20,LOW_BATTERY,,2,,,,
20,20,TASK_COMPLETE,15,3,,,,
20,20,CHARGING_REQUEST,,3,,,,UAV requests charging
20,20,CHARGING_START,,3,4,1120,1447,Charging started
20,20,LOW_BATTERY,,4,,,,
20,20,LOW_BATTERY,,8,,,,
20,20,LOW_BATTERY,,9,,,,
21,21,LOW_BATTERY,,1,,,,
21,21,LOW_BATTERY,,2,,,,
21,21,LOW_BATTERY,,4,,,,
21,21,LOW_BATTERY,,8,,,,
21,21,LOW_BATTERY,,9,,,,
22,22,LOW_BATTERY,,1,,,,
22,22,LOW_BATTERY,,2,,,,
22,22,LOW_BATTERY,,4,,,,
22,22,LOW_BATTERY,,8,,,,
22,22,LOW_BATTERY,,9,,,,
23,23,LOW_BATTERY,,1,,,,
23,23,LOW_BATTERY,,2,,,,
23,23,LOW_BATTERY,,4,,,,
23,23,LOW_BATTERY,,8,,,,
23,23,LOW_BATTERY,,9,,,,
24,24,LOW_BATTERY,,1,,,,
24,24,LOW_BATTERY,,2,,,,
24,24,LOW_BATTERY,,4,,,,
24,24,LOW_BATTERY,,8,,,,
24,24,LOW_BATTERY,,9,,,,
25,25,LOW_BATTERY,,1,,,,
25,25,LOW_BATTERY,,2,,,,
25,25,LOW_BATTERY,,4,,,,
25,25,LOW_BATTERY,,8,,,,
25,25,LOW_BATTERY,,9,,,,
26,26,LOW_BATTERY,,1,,,,
26,26,LOW_BATTERY,,2,,,,
26,26,LOW_BATTERY,,4,,,,
26,26,LOW_BATTERY,,8,,,,
26,26,LOW_BATTERY,,9,,,,
27,27,LOW_BATTERY,,1,,,,
27,27,LOW_BATTERY,,2,,,,
27,27,LOW_BATTERY,,4,,,,
27,27,LOW_BATTERY,,8,,,,
27,27,LOW_BATTERY,,9,,,,
28,28,TASK_ASSIGNED,12,3,,,,Task assigned to UAV
28,28,TASK_START,12,3,,,,Task starts execution
28,28,LOW_BATTERY,,1,,,,
28,28,LOW_BATTERY,,2,,,,
28,28,LOW_BATTERY,,4,,,,
28,28,LOW_BATTERY,,8,,,,
28,28,LOW_BATTERY,,9,,,,
29,29,LOW_BATTERY,,1,,,,
29,29,LOW_BATTERY,,2,,,,
29,29,LOW_BATTERY,,4,,,,
29,29,LOW_BATTERY,,8,,,,
29,29,LOW_BATTERY,,9,,,,
30,30,LOW_BATTERY,,1,,,,
30,30,LOW_BATTERY,,2,,,,
30,30,LOW_BATTERY,,4,,,,
30,30,LOW_BATTERY,,8,,,,
30,30,LOW_BATTERY,,9,,,,
31,31,LOW_BATTERY,,1,,,,
31,31,LOW_BATTERY,,2,,,,
31,31,LOW_BATTERY,,4,,,,
31,31,LOW_BATTERY,,8,,,,
31,31,LOW_BATTERY,,9,,,,
32,32,LOW_BATTERY,,1,,,,
32,32,LOW_BATTERY,,2,,,,
32,32,LOW_BATTERY,,4,,,,
32,32,LOW_BATTERY,,8,,,,
32,32,LOW_BATTERY,,9,,,,
33,33,LOW_BATTERY,,1,,,,
33,33,LOW_BATTERY,,2,,,,
33,33,LOW_BATTERY,,4,,,,
33,33,LOW_BATTERY,,8,,,,
33,33,LOW_BATTERY,,9,,,,
34,34,CHARGING_END,,3,4,1120,1447,Charging ended
34,34,LOW_BATTERY,,1,,,,
34,34,LOW_BATTERY,,2,,,,
34,34,LOW_BATTERY,,4,,,,
34,34,LOW_BATTERY,,8,,,,
34,34,LOW_BATTERY,,9,,,,
35,35,LOW_BATTERY,,1,,,,
35,35,LOW_BATTERY,,2,,,,
35,35,TASK_COMPLETE,12,3,,,,
35,35,LOW_BATTERY,,4,,,,
35,35,LOW_BATTERY,,8,,,,
35,35,LOW_BATTERY,,9,,,,
36,36,LOW_BATTERY,,1,,,,
36,36,LOW_BATTERY,,2,,,,
36,36,LOW_BATTERY,,4,,,,
36,36,LOW_BATTERY,,8,,,,
36,36,LOW_BATTERY,,9,,,,
37,37,LOW_BATTERY,,1,,,,
37,37,LOW_BATTERY,,2,,,,
37,37,LOW_BATTERY,,4,,,,
37,37,LOW_BATTERY,,8,,,,
37,37,LOW_BATTERY,,9,,,,
38,38,LOW_BATTERY,,1,,,,
38,38,LOW_BATTERY,,2,,,,
38,38,LOW_BATTERY,,4,,,,
38,38,LOW_BATTERY,,8,,,,
38,38,LOW_BATTERY,,9,,,,
39,39,LOW_BATTERY,,1,,,,
39,39,LOW_BATTERY,,2,,,,
39,39,LOW_BATTERY,,4,,,,
39,39,LOW_BATTERY,,8,,,,
39,39,LOW_BATTERY,,9,,,,
40,40,LOW_BATTERY,,1,,,,
40,40,LOW_BATTERY,,2,,,,
40,40,LOW_BATTERY,,4,,,,
40,40,LOW_BATTERY,,8,,,,
40,40,LOW_BATTERY,,9,,,,
41,41,LOW_BATTERY,,1,,,,
41,41,LOW_BATTERY,,2,,,,
41,41,LOW_BATTERY,,4,,,,
41,41,LOW_BATTERY,,8,,,,
41,41,LOW_BATTERY,,9,,,,
42,42,LOW_BATTERY,,1,,,,
42,42,LOW_BATTERY,,2,,,,
42,42,LOW_BATTERY,,4,,,,
42,42,LOW_BATTERY,,8,,,,
42,42,LOW_BATTERY,,9,,,,
43,43,LOW_BATTERY,,1,,,,
43,43,LOW_BATTERY,,2,,,,
43,43,LOW_BATTERY,,4,,,,
43,43,LOW_BATTERY,,8,,,,
43,43,LOW_BATTERY,,9,,,,
44,44,LOW_BATTERY,,1,,,,
44,44,LOW_BATTERY,,2,,,,
44,44,LOW_BATTERY,,4,,,,
44,44,LOW_BATTERY,,8,,,,
44,44,LOW_BATTERY,,9,,,,
45,45,LOW_BATTERY,,1,,,,
45,45,LOW_BATTERY,,2,,,,
45,45,LOW_BATTERY,,4,,,,
45,45,LOW_BATTERY,,8,,,,
45,45,LOW_BATTERY,,9,,,,
46,46,LOW_BATTERY,,1,,,,
46,46,LOW_BATTERY,,2,,,,
46,46,LOW_BATTERY,,4,,,,
46,46,LOW_BATTERY,,8,,,,
46,46,LOW_BATTERY,,9,,,,
47,47,LOW_BATTERY,,1,,,,
47,47,LOW_BATTERY,,2,,,,
47,47,LOW_BATTERY,,4,,,,
47,47,LOW_BATTERY,,8,,,,
47,47,LOW_BATTERY,,9,,,,
48,48,LOW_BATTERY,,1,,,,
48,48,LOW_BATTERY,,2,,,,
48,48,LOW_BATTERY,,4,,,,
48,48,LOW_BATTERY,,8,,,,
48,48,LOW_BATTERY,,9,,,,
49,49,LOW_BATTERY,,1,,,,
49,49,LOW_BATTERY,,2,,,,
49,49,LOW_BATTERY,,4,,,,
49,49,LOW_BATTERY,,8,,,,
49,49,LOW_BATTERY,,9,,,,
50,50,LOW_BATTERY,,1,,,,
