step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,234.2810887691109,0.0,0.0,234.2810887691109
1,2,40,10,0,6846.532785577084,0.0,6846.532785577084,422.36491804998275,0.0,0.0,422.36491804998275
2,3,40,10,0,6846.532785577084,0.0,6846.532785577084,611.3692530656552,0.0,0.0,611.3692530656552
3,4,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,0.0,785.2582580604521
4,5,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,8.0,793.2582580604521
5,6,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,16.0,801.2582580604521
6,7,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,24.0,809.2582580604521
7,8,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,32.0,817.2582580604521
8,9,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,40.0,825.2582580604521
9,10,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,48.0,833.2582580604521
10,11,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,56.0,841.2582580604521
11,12,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,64.0,849.2582580604521
12,13,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,72.0,857.2582580604521
13,14,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,80.0,865.2582580604521
14,15,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,88.0,873.2582580604521
15,16,30,20,4,9257.797980540476,0.0,9257.797980540476,785.2582580604521,0.0,96.0,881.2582580604521
16,17,30,20,4,9257.797980540476,0.0,9257.797980540476,829.7921976158145,0.0,104.0,933.7921976158145
17,18,28,22,4,10100.782674813468,0.0,10100.782674813468,910.1276423464343,0.0,108.0,1018.1276423464343
18,19,26,24,4,10599.014875585282,0.0,10599.014875585282,948.5515974810556,0.0,108.0,1056.5515974810558
19,20,26,24,4,10599.014875585282,0.0,10599.014875585282,966.7475496272498,0.0,108.0,1074.7475496272498
20,21,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,108.0,1092.6327872365825
21,22,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,110.0,1094.6327872365825
22,23,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,112.0,1096.6327872365825
23,24,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,114.0,1098.6327872365825
24,25,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,116.0,1100.6327872365825
25,26,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,118.0,1102.6327872365825
26,27,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,120.0,1104.6327872365825
27,28,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,122.0,1106.6327872365825
28,29,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,124.0,1108.6327872365825
29,30,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,126.0,1110.6327872365825
30,31,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,128.0,1112.6327872365825
31,32,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,130.0,1114.6327872365825
32,33,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,132.0,1116.6327872365825
33,34,25,25,5,10647.181253900451,0.0,10647.181253900451,984.6327872365827,0.0,134.0,1118.6327872365825
34,35,25,25,5,10647.181253900451,0.0,10647.181253900451,1004.1261933165948,0.0,136.0,1140.1261933165947
35,36,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
36,37,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
37,38,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
38,39,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
39,40,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
40,41,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
41,42,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
42,43,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
43,44,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
44,45,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
45,46,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
46,47,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
47,48,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
48,49,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
49,50,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
50,51,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
51,52,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
52,53,24,26,5,10652.280273414044,0.0,10652.280273414044,1023.5845262055216,0.0,136.0,1159.5845262055213
