task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,599.4733667333736,48.08326112068523,0.0,0.0,32.76073276534349,0.0,0.0,32.76073276534349
2,alns_unified,,,,,False,False,86.73921283003583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,alns_unified,,,,,False,False,208.91512428769346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,alns_unified,2,2,3,1,True,True,386.9977440299273,418.1506905411015,0.0,0.0,42.87613875532377,0.0,0.0,42.87613875532377
5,alns_unified,,,,,False,False,677.7047569974563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,alns_unified,0,0,1,1,True,True,629.904947842217,569.914028604315,0.0,0.0,45.7633586149008,0.0,0.0,45.7633586149008
7,alns_unified,,,,,False,False,755.7832068961405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,alns_unified,2,2,3,1,True,True,689.8253385473718,17.204650534085253,0.0,0.0,33.50489167809784,0.0,0.0,33.50489167809784
9,alns_unified,2,2,3,1,True,True,853.0823332976648,53.71219600798314,0.0,0.0,34.84202595953715,0.0,0.0,34.84202595953715
10,alns_unified,0,0,1,1,True,True,518.0882452355844,1159.010353706989,0.0,0.0,51.56897810301522,0.0,0.0,51.56897810301522
11,alns_unified,,,,,False,False,273.16066394620174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,alns_unified,20,20,21,1,True,True,838.0575312291332,5.0990195135927845,0.0,0.0,38.95173896893885,0.0,0.0,38.95173896893885
13,alns_unified,,,,,False,False,572.596460382932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,alns_unified,10,10,17,7,True,True,916.9345743285885,13.892443989449804,0.0,0.0,42.22995043123271,0.0,0.0,42.22995043123271
15,alns_unified,12,12,19,7,True,True,387.9235577090001,51.419840528729765,0.0,0.0,36.1021773830016,0.0,0.0,36.1021773830016
16,alns_unified,2,2,3,1,True,True,153.84807243037352,458.6251192422848,0.0,0.0,40.63811802535474,0.0,0.0,40.63811802535474
17,alns_unified,0,0,1,1,True,True,400.1056842111069,1021.5997259200885,0.0,0.0,37.951176144987755,0.0,0.0,37.951176144987755
18,alns_unified,,,,,False,False,607.5250543323709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,alns_unified,2,2,3,1,True,True,578.9929076496989,387.85693238615704,0.0,0.0,34.493457337649566,0.0,0.0,34.493457337649566
20,alns_unified,,,,,False,False,528.8731905853873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,alns_unified,48,48,54,6,True,True,457.38822351408277,48.08326112068523,0.0,0.0,34.91251819334847,0.0,0.0,34.91251819334847
22,alns_unified,,,,,False,False,345.1740539479643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,alns_unified,,,,,False,False,301.7326113633401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,alns_unified,0,0,1,1,True,True,87.12935158792749,403.966582776348,0.0,0.0,39.13613137591417,0.0,0.0,39.13613137591417
