step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,233.40273708760418,0.0,0.0,233.40273708760418
1,2,40,10,0,6756.140134286357,0.0,6756.140134286357,421.12684613328315,0.0,0.0,421.12684613328315
2,3,40,10,0,6756.140134286357,0.0,6756.140134286357,610.2007693914385,0.0,0.0,610.2007693914385
3,4,30,20,5,8722.103458961432,0.0,8722.103458961432,786.4655887885423,0.0,0.0,786.4655887885423
4,5,30,20,5,8722.103458961432,10.0,8732.103458961432,786.4655887885423,0.5,10.0,796.9655887885423
5,6,30,20,5,8722.103458961432,30.0,8752.103458961432,786.4655887885423,1.5,20.0,807.9655887885423
6,7,30,20,5,8722.103458961432,50.0,8772.103458961432,786.4655887885423,2.5,30.0,818.9655887885423
7,8,30,20,5,8722.103458961432,70.0,8792.103458961432,786.4655887885423,3.5,40.0,829.9655887885423
8,9,30,20,5,8722.103458961432,90.0,8812.103458961432,786.4655887885423,4.5,50.0,840.9655887885423
9,10,30,20,5,8722.103458961432,110.0,8832.103458961432,786.4655887885423,5.5,60.0,851.9655887885423
10,11,30,20,10,8722.103458961432,130.0,8852.103458961432,893.0560804704056,6.5,70.0,969.5560804704056
11,12,30,20,10,8722.103458961432,150.0,8872.103458961432,893.0560804704056,7.5,90.0,990.5560804704056
12,13,30,20,10,8722.103458961432,170.0,8892.103458961432,893.0560804704056,8.5,110.0,1011.5560804704056
13,14,30,20,10,8722.103458961432,190.0,8912.103458961432,893.0560804704056,9.5,130.0,1032.5560804704055
14,15,30,20,10,8722.103458961432,210.0,8932.103458961432,893.0560804704056,10.5,150.0,1053.5560804704055
15,16,30,20,10,8722.103458961432,250.0,8972.103458961432,893.0560804704056,12.5,170.0,1075.5560804704055
16,17,30,20,10,8722.103458961432,300.0,9022.103458961432,893.0560804704056,15.0,190.0,1098.0560804704055
17,18,30,20,10,8722.103458961432,350.0,9072.103458961432,893.0560804704056,17.5,202.0,1112.5560804704055
18,19,30,20,10,8722.103458961432,400.0,9122.103458961432,893.0560804704056,20.0,212.0,1125.0560804704055
19,20,30,20,10,8722.103458961432,450.0,9172.103458961432,893.0560804704056,22.5,222.0,1137.5560804704055
20,21,30,20,10,8722.103458961432,500.0,9222.103458961432,893.0560804704056,25.0,232.0,1150.0560804704055
21,22,30,20,10,8722.103458961432,550.0,9272.103458961432,893.0560804704056,27.5,242.0,1162.5560804704055
22,23,30,20,10,8722.103458961432,600.0,9322.103458961432,979.152918771608,30.0,252.0,1261.1529187716078
