step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,231.49630060882495,0.0,0.0,231.49630060882495
1,2,40,10,0,6708.6085270433905,0.0,6708.6085270433905,417.7101768388744,0.0,0.0,417.7101768388744
2,3,40,10,0,6708.6085270433905,0.0,6708.6085270433905,608.6341088808405,0.0,0.0,608.6341088808405
3,4,30,20,3,8730.324740381879,0.0,8730.324740381879,786.4091610935737,0.0,0.0,786.4091610935737
4,5,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,6.0,932.6241638368145
5,6,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,26.0,952.6241638368145
6,7,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,46.0,972.6241638368145
7,8,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,66.0,992.6241638368145
8,9,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,86.0,1012.6241638368145
9,10,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,106.0,1032.6241638368147
10,11,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,126.0,1052.6241638368147
11,12,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,146.0,1072.6241638368147
12,13,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,166.0,1092.6241638368147
13,14,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,186.0,1112.6241638368147
14,15,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,206.0,1132.6241638368147
15,16,30,20,10,8730.324740381879,0.0,8730.324740381879,926.6241638368145,0.0,226.0,1152.6241638368147
16,17,30,20,10,8730.324740381879,0.0,8730.324740381879,945.2604760149072,0.0,246.0,1191.2604760149072
17,18,29,21,10,8798.735265887826,0.0,8798.735265887826,983.2649104552587,0.0,264.0,1247.2649104552588
18,19,26,24,11,9799.079653444118,10.0,9809.079653444118,1088.78229018403,0.5,280.0,1369.28229018403
19,20,24,26,12,10263.90695479039,30.0,10293.90695479039,1210.6819166523055,1.5,292.0,1504.1819166523055
20,21,18,32,13,14553.867154965652,60.0,14613.867154965652,1367.090117171488,3.0,304.0,1674.090117171488
21,22,17,33,16,15561.968836345066,100.0,15661.968836345066,1538.8949124496196,5.0,310.0,1853.8949124496196
22,23,13,37,19,20376.913878869575,140.0,20516.913878869575,1612.8724795874996,7.0,322.0,1941.8724795874996
23,24,13,37,19,20376.913878869575,190.0,20566.913878869575,1635.403657233538,9.5,340.0,1984.903657233538
24,25,12,38,19,20548.532642412494,240.0,20788.532642412494,1656.6700328371985,12.0,358.0,2026.6700328371985
25,26,12,38,19,20548.532642412494,290.0,20838.532642412494,1656.6700328371985,14.5,376.0,2047.1700328371985
26,27,12,38,19,20548.532642412494,340.0,20888.532642412494,1656.6700328371985,17.0,394.0,2067.6700328371985
27,28,12,38,19,20548.532642412494,390.0,20938.532642412494,1656.6700328371985,19.5,412.0,2088.1700328371985
28,29,12,38,19,20548.532642412494,440.0,20988.532642412494,1656.6700328371985,22.0,430.0,2108.6700328371985
29,30,12,38,19,20548.532642412494,490.0,21038.532642412494,1656.6700328371985,24.5,448.0,2129.1700328371985
30,31,12,38,19,20548.532642412494,540.0,21088.532642412494,1656.6700328371985,27.0,466.0,2149.6700328371985
31,32,11,39,19,21568.162477205493,590.0,22158.162477205493,1677.95352596131,29.5,484.0,2191.45352596131
32,33,11,39,19,21568.162477205493,640.0,22208.162477205493,1700.46230245411,32.0,500.0,2232.4623024541097
33,34,8,42,19,24106.256034421564,690.0,24796.256034421564,1756.7229853522888,34.5,516.0,2307.2229853522886
34,35,8,42,19,24106.256034421564,740.0,24846.256034421564,1783.531654372478,37.0,528.0,2348.531654372478
35,36,7,43,19,25478.775251044775,790.0,26268.775251044775,1873.1534472555218,39.5,540.0,2452.6534472555218
36,37,3,47,19,28452.64315298316,840.0,29292.64315298316,1941.7021762931204,42.0,544.0,2527.7021762931204
37,38,2,48,19,30007.59717159593,890.0,30897.59717159593,1960.5048557637992,44.5,546.0,2551.0048557637992
38,39,2,48,19,30007.59717159593,940.0,30947.59717159593,1960.5048557637992,47.0,546.0,2553.5048557637992
39,40,2,48,19,30007.59717159593,990.0,30997.59717159593,1960.5048557637992,49.5,546.0,2556.0048557637992
40,41,2,48,19,30007.59717159593,1040.0,31047.59717159593,1960.5048557637992,52.0,546.0,2558.5048557637992
41,42,2,48,19,30007.59717159593,1090.0,31097.59717159593,1960.5048557637992,54.5,546.0,2561.0048557637992
42,43,2,48,19,30007.59717159593,1140.0,31147.59717159593,1960.5048557637992,57.0,546.0,2563.5048557637992
43,44,2,48,19,30007.59717159593,1190.0,31197.59717159593,1960.5048557637992,59.5,546.0,2566.0048557637992
44,45,2,48,19,30007.59717159593,1240.0,31247.59717159593,1960.5048557637992,62.0,546.0,2568.5048557637992
45,46,2,48,19,30007.59717159593,1290.0,31297.59717159593,1960.5048557637992,64.5,546.0,2571.0048557637992
46,47,2,48,19,30007.59717159593,1340.0,31347.59717159593,1960.5048557637992,67.0,546.0,2573.5048557637992
47,48,2,48,19,30007.59717159593,1390.0,31397.59717159593,1960.5048557637992,69.5,546.0,2576.0048557637992
48,49,2,48,19,30007.59717159593,1440.0,31447.59717159593,1960.5048557637992,72.0,546.0,2578.5048557637992
49,50,2,48,19,30007.59717159593,1490.0,31497.59717159593,1960.5048557637992,74.5,546.0,2581.0048557637992
50,51,2,48,19,30007.59717159593,1540.0,31547.59717159593,1960.5048557637992,77.0,546.0,2583.5048557637992
51,52,2,48,19,30007.59717159593,1590.0,31597.59717159593,1960.5048557637992,79.5,546.0,2586.0048557637992
52,53,2,48,19,30007.59717159593,1640.0,31647.59717159593,1960.5048557637992,82.0,546.0,2588.5048557637992
53,54,2,48,19,30007.59717159593,1690.0,31697.59717159593,1960.5048557637992,84.5,546.0,2591.0048557637992
54,55,2,48,19,30007.59717159593,1740.0,31747.59717159593,1960.5048557637992,87.0,546.0,2593.5048557637992
55,56,2,48,19,30007.59717159593,1790.0,31797.59717159593,1960.5048557637992,89.5,546.0,2596.0048557637992
56,57,2,48,19,30007.59717159593,1840.0,31847.59717159593,1960.5048557637992,92.0,546.0,2598.5048557637992
57,58,2,48,19,30007.59717159593,1890.0,31897.59717159593,1960.5048557637992,94.5,546.0,2601.0048557637992
58,59,2,48,19,30007.59717159593,1940.0,31947.59717159593,1960.5048557637992,97.0,546.0,2603.5048557637992
59,60,2,48,19,30007.59717159593,1990.0,31997.59717159593,1960.5048557637992,99.5,546.0,2606.0048557637992
60,61,2,48,19,30007.59717159593,2040.0,32047.59717159593,1960.5048557637992,102.0,546.0,2608.5048557637992
61,62,2,48,19,30007.59717159593,2090.0,32097.59717159593,1960.5048557637992,104.5,546.0,2611.0048557637992
62,63,2,48,19,30007.59717159593,2140.0,32147.59717159593,1960.5048557637992,107.0,546.0,2613.5048557637992
63,64,2,48,19,30007.59717159593,2190.0,32197.59717159593,1960.5048557637992,109.5,546.0,2616.0048557637992
64,65,2,48,19,30007.59717159593,2240.0,32247.59717159593,1960.5048557637992,112.0,546.0,2618.5048557637992
65,66,2,48,19,30007.59717159593,2290.0,32297.59717159593,1960.5048557637992,114.5,546.0,2621.0048557637992
66,67,2,48,19,30007.59717159593,2340.0,32347.59717159593,1960.5048557637992,117.0,546.0,2623.5048557637992
67,68,2,48,19,30007.59717159593,2390.0,32397.59717159593,1960.5048557637992,119.5,546.0,2626.0048557637992
68,69,2,48,19,30007.59717159593,2440.0,32447.59717159593,1960.5048557637992,122.0,546.0,2628.5048557637992
69,70,2,48,19,30007.59717159593,2490.0,32497.59717159593,1960.5048557637992,124.5,546.0,2631.0048557637992
70,71,2,48,19,30007.59717159593,2540.0,32547.59717159593,1960.5048557637992,127.0,546.0,2633.5048557637992
71,72,2,48,19,30007.59717159593,2590.0,32597.59717159593,1960.5048557637992,129.5,546.0,2636.0048557637992
72,73,2,48,19,30007.59717159593,2640.0,32647.59717159593,1960.5048557637992,132.0,546.0,2638.5048557637992
73,74,2,48,19,30007.59717159593,2690.0,32697.59717159593,1960.5048557637992,134.5,546.0,2641.0048557637992
74,75,2,48,19,30007.59717159593,2740.0,32747.59717159593,1960.5048557637992,137.0,546.0,2643.5048557637992
75,76,2,48,19,30007.59717159593,2790.0,32797.59717159593,1960.5048557637992,139.5,546.0,2646.0048557637992
76,77,2,48,19,30007.59717159593,2840.0,32847.59717159593,1960.5048557637992,142.0,546.0,2648.5048557637992
77,78,2,48,19,30007.59717159593,2890.0,32897.59717159593,1960.5048557637992,144.5,546.0,2651.0048557637992
78,79,2,48,22,30007.59717159593,2933.8275905008704,32941.4247620968,1960.5048557637992,146.69137952504352,546.0,2653.1962352888427
79,80,2,48,22,30007.59717159593,2973.8275905008704,32981.4247620968,2036.1898613748544,148.69137952504352,552.0,2736.881240899898
80,81,0,51,23,32960.002211786305,3013.8275905008704,35973.829802287175,2092.3958195999785,150.69137952504352,558.0,2801.087199125022
81,82,0,51,23,32960.002211786305,3053.8275905008704,36013.829802287175,2092.3958195999785,152.69137952504352,566.0,2811.087199125022
82,83,0,51,23,32960.002211786305,3093.8275905008704,36053.829802287175,2092.3958195999785,154.69137952504352,574.0,2821.087199125022
83,84,0,51,23,32960.002211786305,3133.8275905008704,36093.829802287175,2092.3958195999785,156.69137952504352,582.0,2831.087199125022
84,85,0,51,23,32960.002211786305,3173.8275905008704,36133.829802287175,2092.3958195999785,158.69137952504352,590.0,2841.087199125022
85,86,0,51,23,32960.002211786305,3213.8275905008704,36173.829802287175,2092.3958195999785,160.69137952504352,598.0,2851.087199125022
86,87,0,51,23,32960.002211786305,3249.7787549433547,36209.78096672966,2092.3958195999785,162.48893774716774,606.0,2860.884757347146
87,88,0,51,23,32960.002211786305,3279.7787549433547,36239.78096672966,2092.3958195999785,163.98893774716774,614.0,2870.384757347146
88,89,0,51,23,32960.002211786305,3309.7787549433547,36269.78096672966,2092.3958195999785,165.48893774716774,622.0,2879.884757347146
89,90,0,51,23,32960.002211786305,3339.7787549433547,36299.78096672966,2092.3958195999785,166.98893774716774,630.0,2889.384757347146
90,91,0,51,23,32960.002211786305,3360.524841812639,36320.52705359894,2092.3958195999785,168.02624209063194,638.0,2898.4220616906105
91,92,0,51,23,32960.002211786305,3380.524841812639,36340.52705359894,2092.3958195999785,169.02624209063194,646.0,2907.4220616906105
92,93,0,51,23,32960.002211786305,3400.524841812639,36360.52705359894,2092.3958195999785,170.02624209063194,650.0,2912.4220616906105
93,94,0,51,23,32960.002211786305,3420.524841812639,36380.52705359894,2092.3958195999785,171.02624209063194,654.0,2917.4220616906105
94,95,0,51,23,32960.002211786305,3440.524841812639,36400.52705359894,2092.3958195999785,172.02624209063194,658.0,2922.4220616906105
95,96,0,51,23,32960.002211786305,3460.524841812639,36420.52705359894,2092.3958195999785,173.02624209063194,660.0,2925.4220616906105
96,97,0,51,23,32960.002211786305,3480.524841812639,36440.52705359894,2092.3958195999785,174.02624209063194,660.0,2926.4220616906105
