task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,599.4733667333736,39.6232255123179,0.0,0.0,32.70995038892831,0.0,0.0,32.70995038892831
2,alns_unified,11,11,26,15,True,True,86.73921283003583,557.1355310873648,0.0,7.0,45.146805780472945,0.0,0.0,45.146805780472945
3,alns_unified,73,73,73,0,True,True,208.91512428769346,49.040799340956916,0.0,1.0,35.64467545801536,0.0,0.0,35.64467545801536
4,alns_unified,2,2,3,1,True,True,386.9977440299273,474.911570716065,0.0,0.0,43.274470435299655,0.0,0.0,43.274470435299655
5,alns_unified,58,58,72,14,True,True,677.7047569974563,27.65863337187866,0.0,0.0,37.13925314192668,0.0,0.0,37.13925314192668
6,alns_unified,0,0,1,1,True,True,629.904947842217,1151.4968519279591,0.0,0.0,49.97840649949228,0.0,0.0,49.97840649949228
7,alns_unified,65,65,65,0,True,True,755.7832068961405,1412.6022086914631,0.0,1.0,44.58803153523329,0.0,0.0,44.58803153523329
8,alns_unified,2,2,3,1,True,True,689.8253385473718,17.204650534085253,0.0,0.0,33.50489167809784,0.0,0.0,33.50489167809784
9,alns_unified,2,2,3,1,True,True,853.0823332976648,53.71219600798314,0.0,0.0,34.84202595953715,0.0,0.0,34.84202595953715
10,alns_unified,0,0,1,1,True,True,518.0882452355844,32.7566787083184,0.0,0.0,43.20328554056195,0.0,0.0,43.20328554056195
11,alns_unified,70,11,70,0,True,True,273.16066394620174,2692.19050722216,0.0,15.0,86.69494040733541,0.0,0.0,86.69494040733541
12,alns_unified,25,25,26,1,True,True,838.0575312291332,53.23532661682466,0.0,0.0,39.2828406430306,0.0,0.0,39.2828406430306
13,alns_unified,72,65,72,0,True,True,572.596460382932,1495.2982979994326,0.0,8.0,40.52551350562543,0.0,0.0,40.52551350562543
14,alns_unified,11,11,26,15,True,True,916.9345743285885,16.1245154965971,0.0,7.0,42.24627775634862,0.0,0.0,42.24627775634862
15,alns_unified,11,11,26,15,True,True,387.9235577090001,490.657721838758,0.0,7.0,38.93563922167519,0.0,0.0,38.93563922167519
16,alns_unified,2,2,3,1,True,True,153.84807243037352,475.9180601742279,0.0,0.0,40.75389568450022,0.0,0.0,40.75389568450022
17,alns_unified,2,2,3,1,True,True,400.1056842111069,34.20526275297414,0.0,0.0,32.101187457643704,0.0,0.0,32.101187457643704
18,alns_unified,27,27,28,1,True,True,607.5250543323709,20.591260281974,0.0,0.0,38.38621451011183,0.0,0.0,38.38621451011183
19,alns_unified,2,2,3,1,True,True,578.9929076496989,414.60945478847924,0.0,0.0,34.65298297551441,0.0,0.0,34.65298297551441
20,alns_unified,23,11,23,0,True,True,528.8731905853873,557.1355310873648,0.0,8.0,46.67557546682399,0.0,0.0,46.67557546682399
21,alns_unified,11,11,25,14,True,True,457.38822351408277,453.8479921735911,0.0,7.0,37.46605384369743,0.0,0.0,37.46605384369743
22,alns_unified,50,50,51,1,True,True,345.1740539479643,212.04952251773642,0.0,0.0,35.56966804284761,0.0,0.0,35.56966804284761
23,alns_unified,49,49,49,0,True,True,301.7326113633401,1053.2862858691362,0.0,1.0,44.66260398286817,0.0,0.0,44.66260398286817
24,alns_unified,0,0,1,1,True,True,87.12935158792749,457.6111886744029,0.0,0.0,39.487435475186615,0.0,0.0,39.487435475186615
25,alns_unified,27,27,28,1,True,True,710.8225349589131,76.55063683601855,0.0,0.0,33.74548010320727,0.0,0.0,33.74548010320727
26,alns_unified,49,49,49,0,True,True,250.0990928338982,1466.8718417094249,0.0,1.0,40.740862959891125,0.0,0.0,40.740862959891125
27,alns_unified,2,2,3,1,True,True,533.0107214575098,13.601470508735444,0.0,0.0,41.140806765567554,0.0,0.0,41.140806765567554
28,alns_unified,49,49,49,0,True,True,275.6049990742796,1100.0986319417,0.0,1.0,42.98343127319817,0.0,0.0,42.98343127319817
29,alns_unified,16,4,18,2,True,True,815.3641265106103,68.41052550594829,0.0,11.0,36.825663100628134,0.0,0.0,36.825663100628134
30,alns_unified,26,26,27,1,True,True,283.29323545691625,48.08326112068523,0.0,0.0,39.20002907895646,0.0,0.0,39.20002907895646
31,alns_unified,84,72,85,1,True,True,348.9270146893605,22.288694313632426,0.0,1.0,38.6925055999565,0.0,0.0,38.6925055999565
32,alns_unified,49,49,49,0,True,True,416.9774466917943,1039.5325872717988,0.0,1.0,40.67238463857223,0.0,0.0,40.67238463857223
33,alns_unified,72,65,72,0,True,True,139.0479722574371,1324.016993848644,0.0,8.0,47.78851526521906,0.0,0.0,47.78851526521906
34,alns_unified,49,49,49,0,True,True,445.36758277812345,39.20459156782532,0.0,1.0,34.374469013171066,0.0,0.0,34.374469013171066
35,alns_unified,0,0,1,1,True,True,311.3916092004299,986.0273829869027,0.0,0.0,41.16562544419474,0.0,0.0,41.16562544419474
36,alns_unified,0,0,1,1,True,True,779.2775035497154,728.589047406012,0.0,0.0,42.74343567602294,0.0,0.0,42.74343567602294
37,alns_unified,23,11,23,0,True,True,542.4984380227752,513.9416309270928,0.0,8.0,36.1080594277187,0.0,0.0,36.1080594277187
38,alns_unified,0,0,1,1,True,True,559.8582289847985,556.1519576518633,0.0,0.0,44.33747361956185,0.0,0.0,44.33747361956185
