step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,231.16323210385102,0.0,0.0,231.16323210385102
1,2,40,10,0,6723.226996516033,0.0,6723.226996516033,416.667749071709,0.0,0.0,416.667749071709
2,3,40,10,0,6723.226996516033,0.0,6723.226996516033,608.6711422691219,0.0,0.0,608.6711422691219
3,4,30,20,5,8793.68126637367,0.0,8793.68126637367,787.1555537440466,0.0,0.0,787.1555537440466
4,5,30,20,5,8793.68126637367,10.0,8803.68126637367,787.1555537440466,0.5,10.0,797.6555537440466
5,6,30,20,5,8793.68126637367,40.0,8833.68126637367,787.1555537440466,2.0,20.0,809.1555537440466
6,7,30,20,5,8793.68126637367,80.0,8873.68126637367,787.1555537440466,4.0,30.0,821.1555537440466
7,8,30,20,5,8793.68126637367,120.0,8913.68126637367,787.1555537440466,6.0,40.0,833.1555537440466
8,9,30,20,5,8793.68126637367,160.0,8953.68126637367,787.1555537440466,8.0,50.0,845.1555537440466
9,10,30,20,5,8793.68126637367,200.0,8993.68126637367,787.1555537440466,10.0,60.0,857.1555537440466
10,11,30,20,10,8793.68126637367,240.0,9033.68126637367,893.1241603130335,12.0,70.0,975.1241603130335
11,12,30,20,10,8793.68126637367,280.0,9073.68126637367,893.1241603130335,14.0,90.0,997.1241603130335
12,13,30,20,10,8793.68126637367,320.0,9113.68126637367,893.1241603130335,16.0,110.0,1019.1241603130335
13,14,30,20,10,8793.68126637367,360.0,9153.68126637367,893.1241603130335,18.0,130.0,1041.1241603130334
14,15,30,20,10,8793.68126637367,400.0,9193.68126637367,893.1241603130335,20.0,150.0,1063.1241603130334
15,16,30,20,10,8793.68126637367,450.0,9243.68126637367,893.1241603130335,22.5,170.0,1085.6241603130334
