step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,50,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,50,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,50,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,50,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,50,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,50,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,50,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
8,9,50,0,0,0.0,90.0,90.0,0.0,4.5,0.0,4.5
9,10,50,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
10,11,50,0,0,0.0,110.0,110.0,237.38132143727807,5.5,0.0,242.88132143727807
11,12,40,10,0,8675.683776970749,120.0,8795.683776970749,418.599151833473,6.0,0.0,424.599151833473
12,13,40,10,0,8675.683776970749,140.0,8815.683776970749,661.2595550411909,7.0,0.0,668.2595550411909
13,14,30,20,8,17088.647578788317,160.0,17248.647578788317,849.1925125008637,8.0,0.0,857.1925125008637
14,15,30,20,10,17088.647578788317,190.0,17278.647578788317,902.7577046382978,9.5,16.0,928.2577046382978
15,16,30,20,10,17088.647578788317,230.0,17318.647578788317,902.7577046382978,11.5,36.0,950.2577046382978
16,17,30,20,10,17088.647578788317,280.0,17368.647578788317,902.7577046382978,14.0,56.0,972.7577046382978
17,18,30,20,10,17088.647578788317,330.0,17418.647578788317,902.7577046382978,16.5,76.0,995.2577046382978
18,19,30,20,10,17088.647578788317,380.0,17468.647578788317,902.7577046382978,19.0,96.0,1017.7577046382978
19,20,30,20,10,17088.647578788317,430.0,17518.647578788317,902.7577046382978,21.5,116.0,1040.2577046382978
20,21,30,20,10,17088.647578788317,480.0,17568.647578788317,902.7577046382978,24.0,136.0,1062.7577046382978
21,22,30,20,10,17088.647578788317,530.0,17618.647578788317,902.7577046382978,26.5,156.0,1085.2577046382978
22,23,30,20,10,17088.647578788317,580.0,17668.647578788317,902.7577046382978,29.0,176.0,1107.7577046382978
23,24,30,20,10,17088.647578788317,630.0,17718.647578788317,902.7577046382978,31.5,196.0,1130.2577046382978
24,25,30,20,10,17088.647578788317,680.0,17768.647578788317,902.7577046382978,34.0,216.0,1152.7577046382978
25,26,30,20,10,17088.647578788317,730.0,17818.647578788317,902.7577046382978,36.5,236.0,1175.2577046382978
26,27,30,20,10,17088.647578788317,780.0,17868.647578788317,947.143455053365,39.0,256.0,1242.143455053365
27,28,28,22,10,18530.867540715743,830.0,19360.867540715743,1095.4090031840437,41.5,272.0,1408.9090031840437
28,29,23,27,10,22110.440933365273,880.0,22990.440933365273,1209.9773638743332,44.0,278.0,1531.9773638743332
29,30,22,28,10,23616.616553935462,930.0,24546.616553935462,1225.9898294150803,46.5,282.0,1554.4898294150803
30,31,20,30,10,25072.38841159459,980.0,26052.38841159459,1268.753308745981,49.0,286.0,1603.753308745981
31,32,20,30,10,25072.38841159459,1030.0,26102.38841159459,1268.753308745981,51.5,286.0,1606.253308745981
32,33,20,30,10,25072.38841159459,1080.0,26152.38841159459,1268.753308745981,54.0,286.0,1608.753308745981
33,34,20,30,10,25072.38841159459,1130.0,26202.38841159459,1268.753308745981,56.5,286.0,1611.253308745981
34,35,20,30,10,25072.38841159459,1180.0,26252.38841159459,1268.753308745981,59.0,286.0,1613.753308745981
35,36,20,30,10,25072.38841159459,1230.0,26302.38841159459,1268.753308745981,61.5,286.0,1616.253308745981
36,37,20,30,10,25072.38841159459,1280.0,26352.38841159459,1268.753308745981,64.0,286.0,1618.753308745981
37,38,20,30,10,25072.38841159459,1330.0,26402.38841159459,1268.753308745981,66.5,286.0,1621.253308745981
38,39,20,30,10,25072.38841159459,1380.0,26452.38841159459,1268.753308745981,69.0,286.0,1623.753308745981
39,40,20,30,10,25072.38841159459,1430.0,26502.38841159459,1268.753308745981,71.5,286.0,1626.253308745981
40,41,20,30,10,25072.38841159459,1480.0,26552.38841159459,1268.753308745981,74.0,286.0,1628.753308745981
41,42,20,30,10,25072.38841159459,1530.0,26602.38841159459,1268.753308745981,76.5,286.0,1631.253308745981
42,43,20,30,10,25072.38841159459,1580.0,26652.38841159459,1268.753308745981,79.0,286.0,1633.753308745981
43,44,20,30,10,25072.38841159459,1630.0,26702.38841159459,1268.753308745981,81.5,286.0,1636.253308745981
44,45,20,30,10,25072.38841159459,1680.0,26752.38841159459,1268.753308745981,84.0,286.0,1638.753308745981
45,46,20,30,10,25072.38841159459,1730.0,26802.38841159459,1268.753308745981,86.5,286.0,1641.253308745981
46,47,20,30,10,25072.38841159459,1780.0,26852.38841159459,1268.753308745981,89.0,286.0,1643.753308745981
47,48,20,30,10,25072.38841159459,1830.0,26902.38841159459,1268.753308745981,91.5,286.0,1646.253308745981
48,49,20,30,10,25072.38841159459,1876.1213840184364,26948.509795613027,1268.753308745981,93.80606920092181,286.0,1648.559377946903
49,50,20,30,10,25072.38841159459,1926.1213840184364,26998.509795613027,1486.522555833913,96.30606920092181,286.0,1868.8286250348349
50,51,10,40,10,30251.95135006119,1976.1213840184364,32228.072734079626,1670.1376196947426,98.80606920092181,286.0,2054.9436888956643
51,52,10,40,10,30251.95135006119,2026.1213840184364,32278.072734079626,1670.1376196947426,101.30606920092181,286.0,2057.4436888956643
52,53,10,40,10,30251.95135006119,2076.1213840184364,32328.072734079626,1670.1376196947426,103.80606920092181,286.0,2059.9436888956643
53,54,10,40,10,30251.95135006119,2126.1213840184364,32378.072734079626,1670.1376196947426,106.30606920092181,286.0,2062.4436888956643
54,55,10,40,10,30251.95135006119,2176.1213840184364,32428.072734079626,1670.1376196947426,108.80606920092181,286.0,2064.9436888956643
55,56,10,40,10,30251.95135006119,2226.1213840184364,32478.072734079626,1670.1376196947426,111.30606920092181,286.0,2067.4436888956643
56,57,10,40,10,30251.95135006119,2276.1213840184364,32528.072734079626,1670.1376196947426,113.80606920092181,286.0,2069.9436888956643
57,58,10,40,10,30251.95135006119,2326.1213840184364,32578.072734079626,1670.1376196947426,116.30606920092181,286.0,2072.4436888956643
58,59,10,40,10,30251.95135006119,2376.1213840184364,32628.072734079626,1670.1376196947426,118.80606920092181,286.0,2074.9436888956643
59,60,10,40,10,30251.95135006119,2426.1213840184364,32678.072734079626,1670.1376196947426,121.30606920092181,286.0,2077.4436888956643
60,61,10,40,10,30251.95135006119,2476.1213840184364,32728.072734079626,1670.1376196947426,123.80606920092181,286.0,2079.9436888956643
61,62,10,40,10,30251.95135006119,2526.1213840184364,32778.07273407963,1670.1376196947426,126.30606920092181,286.0,2082.4436888956643
62,63,10,40,10,30251.95135006119,2576.1213840184364,32828.07273407963,1670.1376196947426,128.8060692009218,286.0,2084.9436888956643
63,64,10,40,10,30251.95135006119,2626.1213840184364,32878.07273407963,1670.1376196947426,131.3060692009218,286.0,2087.4436888956643
64,65,10,40,10,30251.95135006119,2676.1213840184364,32928.07273407963,1670.1376196947426,133.8060692009218,286.0,2089.9436888956643
65,66,10,40,19,30251.95135006119,2725.5553466125616,32977.50669667375,1670.1376196947426,136.27776733062805,286.0,2092.4153870253704
66,67,10,40,19,30251.95135006119,2775.5553466125616,33027.50669667375,1697.7447480288324,138.77776733062805,304.0,2140.52251535946
67,68,9,41,19,31482.324464201774,2825.5553466125616,34307.87981081434,1716.9676014316815,141.27776733062805,322.0,2180.245368762309
68,69,9,41,19,31482.324464201774,2875.5553466125616,34357.87981081434,1716.9676014316815,143.77776733062805,340.0,2200.745368762309
69,70,9,41,19,31482.324464201774,2925.5553466125616,34407.87981081434,1716.9676014316815,146.27776733062805,358.0,2221.245368762309
70,71,9,41,19,31482.324464201774,2975.5553466125616,34457.87981081434,1716.9676014316815,148.77776733062805,376.0,2241.745368762309
71,72,9,41,19,31482.324464201774,3025.5553466125616,34507.87981081434,1716.9676014316815,151.27776733062805,394.0,2262.245368762309
72,73,9,41,19,31482.324464201774,3075.5553466125616,34557.87981081434,1716.9676014316815,153.77776733062805,412.0,2282.745368762309
73,74,9,41,19,31482.324464201774,3125.5553466125616,34607.87981081434,1716.9676014316815,156.27776733062805,430.0,2303.245368762309
74,75,9,41,19,31482.324464201774,3175.5553466125616,34657.87981081434,1716.9676014316815,158.77776733062805,448.0,2323.745368762309
75,76,9,41,19,31482.324464201774,3225.5553466125616,34707.87981081434,1716.9676014316815,161.27776733062805,466.0,2344.245368762309
76,77,9,41,19,31482.324464201774,3275.5553466125616,34757.87981081434,1716.9676014316815,163.77776733062805,484.0,2364.745368762309
77,78,9,41,19,31482.324464201774,3325.5553466125616,34807.87981081434,1716.9676014316815,166.27776733062805,502.0,2385.245368762309
78,79,9,41,19,31482.324464201774,3375.5553466125616,34857.87981081434,1716.9676014316815,168.77776733062805,520.0,2405.745368762309
79,80,9,41,19,31482.324464201774,3425.5553466125616,34907.87981081434,1737.4254445252575,171.27776733062805,536.0,2444.703211855885
80,81,8,42,20,32095.52997624484,3473.087855314603,35568.617831559444,1773.9441775272992,173.6543927657301,550.0,2497.598570293029
81,82,7,43,20,32539.012783126913,3523.087855314603,36062.100638441516,1926.8812520767062,176.1543927657301,560.0,2663.035644842436
82,83,1,49,20,37067.782303995904,3573.087855314603,40640.87015931051,2033.7060861731447,178.6543927657301,562.0,2774.3604789388746
