step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,AGV_MOVE_START,29,,1,620,1420,AGV starts moving to relay point
0,0,TASK_ASSIGNED,29,5,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,29,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,19,6,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,19,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,1,7,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,1,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,50,8,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,50,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,36,10,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,36,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,27,9,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,27,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,48,1,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,48,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,38,2,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,38,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,37,3,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,37,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,6,4,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,6,,1,,,Relay support requested for task
0,0,RELAY_REQUEST,29,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,19,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,1,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,50,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,36,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,27,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,48,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,38,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,37,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,6,,,,,Relay via AGV 1
0,0,WAIT_FOR_AGV_START,1,7,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,6,4,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,19,6,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,27,9,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,29,5,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,36,10,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,37,3,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,38,2,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,48,1,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,50,8,,,,Task starts waiting for AGV
10,10,RELAY_FALLBACK,48,1,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,48,1,,,,
10,10,RELAY_FALLBACK,38,2,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,38,2,,,,
10,10,RELAY_FALLBACK,37,3,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,37,3,,,,
10,10,RELAY_FALLBACK,6,4,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,6,4,,,,
10,10,RELAY_FALLBACK,29,5,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,29,5,,,,
10,10,RELAY_FALLBACK,19,6,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,19,6,,,,
10,10,RELAY_FALLBACK,1,7,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,1,7,,,,
10,10,RELAY_FALLBACK,50,8,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,50,8,,,,
10,10,RELAY_FALLBACK,27,9,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,27,9,,,,
10,10,RELAY_FALLBACK,36,10,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,36,10,,,,
11,11,WAIT_FOR_AGV_END,1,7,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,6,4,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,19,6,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,27,9,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,29,5,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,36,10,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,37,3,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,38,2,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,48,1,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,50,8,,,,Task stops waiting for AGV
11,11,TASK_COMPLETE,48,1,,,,
11,11,TASK_COMPLETE,38,2,,,,
11,11,TASK_COMPLETE,37,3,,,,
11,11,TASK_COMPLETE,6,4,,,,
11,11,TASK_COMPLETE,29,5,,,,
11,11,TASK_COMPLETE,19,6,,,,
11,11,TASK_COMPLETE,1,7,,,,
11,11,TASK_COMPLETE,50,8,,,,
11,11,TASK_COMPLETE,27,9,,,,
11,11,TASK_COMPLETE,36,10,,,,
12,12,AGV_MOVE_START,24,,2,1298,775,AGV starts moving to relay point
12,12,TASK_ASSIGNED,24,2,2,,,Task assigned to UAV
12,12,RELAY_REQUEST,24,,2,,,Relay support requested for task
12,12,TASK_ASSIGNED,20,5,2,,,Task assigned to UAV
