step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,231.63807806799733,0.0,0.0,231.63807806799733
1,2,40,10,0,6419.106613173837,0.0,6419.106613173837,420.3808749089013,0.0,0.0,420.3808749089013
2,3,40,10,0,6419.106613173837,0.0,6419.106613173837,609.1061177437807,0.0,0.0,609.1061177437807
3,4,30,20,4,8571.887203792658,0.0,8571.887203792658,784.0466435965177,0.0,0.0,784.0466435965177
4,5,30,20,4,8571.887203792658,10.0,8581.887203792658,784.0466435965177,0.5,8.0,792.5466435965177
5,6,30,20,4,8571.887203792658,30.0,8601.887203792658,784.0466435965177,1.5,16.0,801.5466435965177
6,7,30,20,4,8571.887203792658,50.0,8621.887203792658,784.0466435965177,2.5,24.0,810.5466435965177
7,8,30,20,4,8571.887203792658,70.0,8641.887203792658,784.0466435965177,3.5,32.0,819.5466435965177
8,9,30,20,4,8571.887203792658,90.0,8661.887203792658,784.0466435965177,4.5,40.0,828.5466435965177
9,10,30,20,4,8571.887203792658,110.0,8681.887203792658,784.0466435965177,5.5,48.0,837.5466435965177
10,11,30,20,10,8571.887203792658,130.0,8701.887203792658,919.4244428655269,6.5,56.0,981.9244428655269
11,12,30,20,10,8571.887203792658,150.0,8721.887203792658,919.4244428655269,7.5,76.0,1002.9244428655269
12,13,30,20,10,8571.887203792658,170.0,8741.887203792658,919.4244428655269,8.5,96.0,1023.9244428655269
13,14,30,20,10,8571.887203792658,190.0,8761.887203792658,919.4244428655269,9.5,116.0,1044.924442865527
14,15,30,20,10,8571.887203792658,210.0,8781.887203792658,919.4244428655269,10.5,136.0,1065.924442865527
15,16,30,20,10,8571.887203792658,250.0,8821.887203792658,919.4244428655269,12.5,156.0,1087.924442865527
16,17,30,20,10,8571.887203792658,300.0,8871.887203792658,919.4244428655269,15.0,176.0,1110.424442865527
17,18,30,20,10,8571.887203792658,350.0,8921.887203792658,919.4244428655269,17.5,190.0,1126.924442865527
18,19,30,20,10,8571.887203792658,400.0,8971.887203792658,919.4244428655269,20.0,202.0,1141.424442865527
19,20,30,20,10,8571.887203792658,450.0,9021.887203792658,919.4244428655269,22.5,214.0,1155.924442865527
20,21,30,20,10,8571.887203792658,500.0,9071.887203792658,919.4244428655269,25.0,226.0,1170.424442865527
21,22,30,20,10,8571.887203792658,550.0,9121.887203792658,919.4244428655269,27.5,238.0,1184.924442865527
22,23,30,20,10,8571.887203792658,600.0,9171.887203792658,987.6325205652539,30.0,250.0,1267.632520565254
23,24,27,23,10,11165.253953562406,650.0,11815.253953562406,1066.8291164138163,32.5,262.0,1361.3291164138163
24,25,26,24,10,12378.678858531806,700.0,13078.678858531806,1086.0519698166654,35.0,274.0,1395.0519698166654
25,26,24,26,10,13317.956898522014,750.0,14067.956898522014,1125.3054852059358,37.5,286.0,1448.8054852059358
26,27,20,30,10,16438.156795139523,800.0,17238.156795139523,1333.993273498651,40.0,294.0,1667.993273498651
27,28,14,36,10,20650.628913850418,850.0,21500.628913850418,1445.3174619427875,42.5,294.0,1781.8174619427875
28,29,14,36,10,20650.628913850418,900.0,21550.628913850418,1445.3174619427875,45.0,294.0,1784.3174619427875
29,30,14,36,10,20650.628913850418,950.0,21600.628913850418,1445.3174619427875,47.5,294.0,1786.8174619427875
30,31,14,36,10,20650.628913850418,1000.0,21650.628913850418,1445.3174619427875,50.0,294.0,1789.3174619427875
31,32,14,36,10,20650.628913850418,1050.0,21700.628913850418,1445.3174619427875,52.5,294.0,1791.8174619427875
32,33,14,36,10,20650.628913850418,1100.0,21750.628913850418,1445.3174619427875,55.0,294.0,1794.3174619427875
33,34,14,36,10,20650.628913850418,1150.0,21800.628913850418,1445.3174619427875,57.5,294.0,1796.8174619427875
34,35,14,36,10,20650.628913850418,1200.0,21850.628913850418,1445.3174619427875,60.0,294.0,1799.3174619427875
35,36,14,36,10,20650.628913850418,1250.0,21900.628913850418,1445.3174619427875,62.5,294.0,1801.8174619427875
36,37,14,36,10,20650.628913850418,1300.0,21950.628913850418,1445.3174619427875,65.0,294.0,1804.3174619427875
37,38,14,36,10,20650.628913850418,1350.0,22000.628913850418,1445.3174619427875,67.5,294.0,1806.8174619427875
38,39,14,36,10,20650.628913850418,1400.0,22050.628913850418,1445.3174619427875,70.0,294.0,1809.3174619427875
39,40,14,36,10,20650.628913850418,1450.0,22100.628913850418,1445.3174619427875,72.5,294.0,1811.8174619427875
40,41,14,36,10,20650.628913850418,1500.0,22150.628913850418,1445.3174619427875,75.0,294.0,1814.3174619427875
41,42,14,36,10,20650.628913850418,1550.0,22200.628913850418,1445.3174619427875,77.5,294.0,1816.8174619427875
42,43,14,36,10,20650.628913850418,1600.0,22250.628913850418,1445.3174619427875,80.0,294.0,1819.3174619427875
43,44,14,36,10,20650.628913850418,1650.0,22300.628913850418,1445.3174619427875,82.5,294.0,1821.8174619427875
44,45,14,36,10,20650.628913850418,1700.0,22350.628913850418,1445.3174619427875,85.0,294.0,1824.3174619427875
45,46,14,36,10,20650.628913850418,1750.0,22400.628913850418,1445.3174619427875,87.5,294.0,1826.8174619427875
46,47,14,36,10,20650.628913850418,1800.0,22450.628913850418,1445.3174619427875,90.0,294.0,1829.3174619427875
47,48,14,36,10,20650.628913850418,1850.0,22500.628913850418,1445.3174619427875,92.5,294.0,1831.8174619427875
48,49,14,36,10,20650.628913850418,1900.0,22550.628913850418,1445.3174619427875,95.0,294.0,1834.3174619427875
49,50,14,36,10,20650.628913850418,1950.0,22600.628913850418,1445.3174619427875,97.5,294.0,1836.8174619427875
50,51,14,36,10,20650.628913850418,2000.0,22650.628913850418,1445.3174619427875,100.0,294.0,1839.3174619427875
51,52,14,36,10,20650.628913850418,2050.0,22700.628913850418,1445.3174619427875,102.5,294.0,1841.8174619427875
52,53,14,36,10,20650.628913850418,2100.0,22750.628913850418,1445.3174619427875,105.0,294.0,1844.3174619427875
53,54,14,36,10,20650.628913850418,2150.0,22800.628913850418,1445.3174619427875,107.5,294.0,1846.8174619427875
54,55,14,36,10,20650.628913850418,2200.0,22850.628913850418,1445.3174619427875,110.0,294.0,1849.3174619427875
55,56,14,36,14,20650.628913850418,2248.75457829305,22899.383492143468,1445.3174619427875,112.4377289146525,294.0,1851.75519085744
56,57,14,36,14,20650.628913850418,2298.75457829305,22949.383492143468,1603.012019710058,114.9377289146525,302.0,2019.9497486247105
57,58,8,42,18,27698.427469620972,2346.320947410173,30044.748417031144,1713.8715717185428,117.31604737050866,310.0,2141.1876190890516
58,59,8,42,18,27698.427469620972,2396.320947410173,30094.748417031144,1755.7915212675919,119.81604737050866,326.0,2201.6075686381005
59,60,6,44,20,28096.58882523046,2442.8005902149166,30539.389415445377,1794.993754026741,122.14002951074583,342.0,2259.133783537487
60,61,6,44,20,28096.58882523046,2492.8005902149166,30589.389415445377,1794.993754026741,124.64002951074583,362.0,2281.633783537487
61,62,6,44,20,28096.58882523046,2542.8005902149166,30639.389415445377,1794.993754026741,127.14002951074583,382.0,2304.133783537487
62,63,6,44,20,28096.58882523046,2588.118568017261,30684.70739324772,1794.993754026741,129.40592840086305,402.0,2326.399682427604
63,64,6,44,20,28096.58882523046,2628.118568017261,30724.70739324772,1794.993754026741,131.40592840086305,422.0,2348.399682427604
64,65,6,44,20,28096.58882523046,2668.118568017261,30764.70739324772,1794.993754026741,133.40592840086305,442.0,2370.399682427604
65,66,6,44,20,28096.58882523046,2708.118568017261,30804.70739324772,1794.993754026741,135.40592840086305,462.0,2392.399682427604
66,67,6,44,20,28096.58882523046,2748.118568017261,30844.70739324772,1794.993754026741,137.40592840086305,482.0,2414.399682427604
67,68,6,44,20,28096.58882523046,2788.118568017261,30884.70739324772,1794.993754026741,139.40592840086305,502.0,2436.399682427604
68,69,6,44,20,28096.58882523046,2828.118568017261,30924.70739324772,1794.993754026741,141.40592840086305,522.0,2458.399682427604
69,70,6,44,20,28096.58882523046,2878.118568017261,30974.70739324772,1794.993754026741,143.90592840086305,542.0,2480.899682427604
70,71,6,44,20,28096.58882523046,2928.118568017261,31024.70739324772,1837.506800020083,146.40592840086305,562.0,2545.9127284209458
71,72,4,46,20,29313.84972461707,2978.118568017261,32291.96829263433,1954.6395990572066,148.90592840086305,578.0,2681.5455274580695
72,73,1,49,20,33171.18246068564,3028.118568017261,36199.3010287029,2061.2114464872957,151.40592840086305,586.0,2798.617374888159
73,74,0,51,20,34344.39341666196,3078.118568017261,37422.51198467922,2102.990628640883,153.90592840086305,594.0,2850.8965570417463
74,75,0,51,20,34344.39341666196,3128.118568017261,37472.51198467922,2102.990628640883,156.40592840086305,598.0,2857.3965570417463
75,76,0,51,20,34344.39341666196,3178.118568017261,37522.51198467922,2102.990628640883,158.90592840086305,602.0,2863.8965570417463
76,77,0,51,20,34344.39341666196,3228.118568017261,37572.51198467922,2102.990628640883,161.40592840086305,602.0,2866.3965570417463
77,78,0,51,20,34344.39341666196,3278.118568017261,37622.51198467922,2102.990628640883,163.90592840086305,602.0,2868.8965570417463
78,79,0,51,20,34344.39341666196,3328.118568017261,37672.51198467922,2102.990628640883,166.40592840086305,602.0,2871.3965570417463
79,80,0,51,20,34344.39341666196,3378.118568017261,37722.51198467922,2102.990628640883,168.90592840086305,602.0,2873.8965570417463
80,81,0,51,20,34344.39341666196,3428.118568017261,37772.51198467922,2102.990628640883,171.40592840086305,602.0,2876.3965570417463
81,82,0,51,20,34344.39341666196,3478.118568017261,37822.51198467922,2102.990628640883,173.90592840086305,602.0,2878.8965570417463
82,83,0,51,20,34344.39341666196,3528.118568017261,37872.51198467922,2102.990628640883,176.40592840086305,602.0,2881.3965570417463
83,84,0,51,21,34344.39341666196,3569.5530843135816,37913.94650097554,2102.990628640883,178.47765421567905,602.0,2883.4682828565624
84,85,0,51,22,34344.39341666196,3609.5530843135816,37953.94650097554,2121.0143860152684,180.47765421567905,604.0,2905.4920402309476
85,86,0,51,22,34344.39341666196,3649.5530843135816,37993.94650097554,2121.0143860152684,182.47765421567905,608.0,2911.4920402309476
86,87,0,51,22,34344.39341666196,3689.5530843135816,38033.94650097554,2121.0143860152684,184.47765421567905,612.0,2917.4920402309476
87,88,0,51,22,34344.39341666196,3729.5530843135816,38073.94650097554,2121.0143860152684,186.47765421567905,616.0,2923.4920402309476
88,89,0,51,22,34344.39341666196,3769.5530843135816,38113.94650097554,2121.0143860152684,188.47765421567905,620.0,2929.4920402309476
89,90,0,51,22,34344.39341666196,3809.5530843135816,38153.94650097554,2121.0143860152684,190.47765421567905,624.0,2935.4920402309476
90,91,0,51,22,34344.39341666196,3849.5530843135816,38193.94650097554,2121.0143860152684,192.47765421567905,628.0,2941.4920402309476
91,92,0,51,22,34344.39341666196,3889.5530843135816,38233.94650097554,2121.0143860152684,194.47765421567905,632.0,2947.4920402309476
92,93,0,51,22,34344.39341666196,3929.5530843135816,38273.94650097554,2121.0143860152684,196.47765421567905,636.0,2953.4920402309476
93,94,0,51,22,34344.39341666196,3964.9600742227517,38309.35349088471,2121.0143860152684,198.24800371113756,640.0,2959.262389726406
94,95,0,51,22,34344.39341666196,3994.9600742227517,38339.35349088471,2121.0143860152684,199.74800371113756,644.0,2964.762389726406
95,96,0,51,22,34344.39341666196,4024.9600742227517,38369.35349088471,2121.0143860152684,201.24800371113756,648.0,2970.262389726406
96,97,0,51,22,34344.39341666196,4054.9600742227517,38399.35349088471,2121.0143860152684,202.74800371113756,652.0,2975.762389726406
97,98,0,52,22,34400.42911956645,4084.9600742227517,38485.3891937892,2138.6800097133346,204.24800371113756,656.0,2998.9280134244723
98,99,0,52,22,34400.42911956645,4114.960074222752,38515.389193789204,2138.6800097133346,205.74800371113756,658.0,3002.4280134244723
99,100,0,52,22,34400.42911956645,4144.960074222752,38545.389193789204,2138.6800097133346,207.24800371113756,658.0,3003.9280134244723
100,101,0,52,22,34400.42911956645,4174.960074222752,38575.389193789204,2138.6800097133346,208.74800371113756,658.0,3005.4280134244723
101,102,0,52,22,34400.42911956645,4204.960074222752,38605.389193789204,2138.6800097133346,210.24800371113756,658.0,3006.9280134244723
102,103,0,52,22,34400.42911956645,4234.960074222752,38635.389193789204,2138.6800097133346,211.74800371113756,658.0,3008.4280134244723
103,104,0,52,22,34400.42911956645,4264.960074222752,38665.389193789204,2138.6800097133346,213.24800371113756,658.0,3009.9280134244723
104,105,0,52,22,34400.42911956645,4294.960074222752,38695.389193789204,2138.6800097133346,214.74800371113756,658.0,3011.4280134244723
105,106,0,52,22,34400.42911956645,4324.960074222752,38725.389193789204,2138.6800097133346,216.24800371113756,658.0,3012.9280134244723
106,107,0,52,22,34400.42911956645,4354.960074222752,38755.389193789204,2138.6800097133346,217.74800371113756,658.0,3014.4280134244723
107,108,0,52,22,34400.42911956645,4384.960074222752,38785.389193789204,2138.6800097133346,219.24800371113756,658.0,3015.9280134244723
108,109,0,52,22,34400.42911956645,4414.960074222752,38815.389193789204,2138.6800097133346,220.74800371113756,658.0,3017.4280134244723
109,110,0,52,22,34400.42911956645,4444.960074222752,38845.389193789204,2138.6800097133346,222.24800371113756,658.0,3018.9280134244723
110,111,0,52,22,34400.42911956645,4474.960074222752,38875.389193789204,2138.6800097133346,223.74800371113756,658.0,3020.4280134244723
111,112,0,52,22,34400.42911956645,4504.960074222752,38905.389193789204,2138.6800097133346,225.24800371113756,658.0,3021.9280134244723
112,113,0,52,22,34400.42911956645,4534.960074222752,38935.389193789204,2138.6800097133346,226.74800371113756,658.0,3023.4280134244723
113,114,0,52,22,34400.42911956645,4564.960074222752,38965.389193789204,2138.6800097133346,228.24800371113756,658.0,3024.9280134244723
114,115,0,52,22,34400.42911956645,4594.960074222752,38995.389193789204,2138.6800097133346,229.74800371113756,658.0,3026.4280134244723
115,116,0,52,22,34400.42911956645,4624.960074222752,39025.389193789204,2138.6800097133346,231.24800371113756,658.0,3027.9280134244723
116,117,0,52,22,34400.42911956645,4654.960074222752,39055.389193789204,2138.6800097133346,232.74800371113756,658.0,3029.4280134244723
117,118,0,52,22,34400.42911956645,4684.960074222752,39085.389193789204,2138.6800097133346,234.24800371113756,658.0,3030.9280134244723
118,119,0,52,22,34400.42911956645,4714.960074222752,39115.389193789204,2138.6800097133346,235.74800371113756,658.0,3032.4280134244723
119,120,0,52,22,34400.42911956645,4744.960074222752,39145.389193789204,2138.6800097133346,237.24800371113756,658.0,3033.9280134244723
120,121,0,52,22,34400.42911956645,4774.960074222752,39175.389193789204,2138.6800097133346,238.74800371113756,658.0,3035.4280134244723
121,122,0,52,22,34400.42911956645,4804.960074222752,39205.389193789204,2138.6800097133346,240.24800371113756,658.0,3036.9280134244723
122,123,0,52,22,34400.42911956645,4834.960074222752,39235.389193789204,2138.6800097133346,241.74800371113756,658.0,3038.4280134244723
123,124,0,52,22,34400.42911956645,4864.960074222752,39265.389193789204,2138.6800097133346,243.24800371113756,658.0,3039.9280134244723
124,125,0,52,22,34400.42911956645,4894.960074222752,39295.389193789204,2138.6800097133346,244.74800371113756,658.0,3041.4280134244723
125,126,0,52,22,34400.42911956645,4924.960074222752,39325.389193789204,2138.6800097133346,246.24800371113756,658.0,3042.9280134244723
126,127,0,52,22,34400.42911956645,4954.960074222752,39355.389193789204,2138.6800097133346,247.74800371113756,658.0,3044.4280134244723
127,128,0,52,22,34400.42911956645,4984.960074222752,39385.389193789204,2138.6800097133346,249.24800371113756,658.0,3045.9280134244723
128,129,0,52,22,34400.42911956645,5014.960074222752,39415.389193789204,2138.6800097133346,250.74800371113756,658.0,3047.4280134244723
129,130,0,52,22,34400.42911956645,5044.960074222752,39445.389193789204,2138.6800097133346,252.24800371113756,658.0,3048.9280134244723
