step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,10,9,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,40,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,42,3,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,6,8,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,46,10,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,24,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,47,7,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,38,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,8,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,36,6,,,,Task assigned to UAV
0,0,TASK_START,6,8,,,,Task starts execution
0,0,TASK_START,8,5,,,,Task starts execution
0,0,TASK_START,10,9,,,,Task starts execution
0,0,TASK_START,24,2,,,,Task starts execution
0,0,TASK_START,36,6,,,,Task starts execution
0,0,TASK_START,38,4,,,,Task starts execution
0,0,TASK_START,40,1,,,,Task starts execution
0,0,TASK_START,42,3,,,,Task starts execution
0,0,TASK_START,46,10,,,,Task starts execution
0,0,TASK_START,47,7,,,,Task starts execution
1,1,TASK_COMPLETE,40,1,,,,
1,1,TASK_COMPLETE,24,2,,,,
1,1,TASK_COMPLETE,42,3,,,,
1,1,TASK_COMPLETE,38,4,,,,
1,1,TASK_COMPLETE,8,5,,,,
1,1,TASK_COMPLETE,36,6,,,,
1,1,TASK_COMPLETE,47,7,,,,
1,1,TASK_COMPLETE,6,8,,,,
1,1,TASK_COMPLETE,10,9,,,,
1,1,TASK_COMPLETE,46,10,,,,
2,2,TASK_ASSIGNED,35,8,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,17,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,48,6,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,5,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,27,3,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,4,7,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,41,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,16,10,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,9,,,,Task assigned to UAV
2,2,TASK_START,1,2,,,,Task starts execution
2,2,TASK_START,4,7,,,,Task starts execution
2,2,TASK_START,9,5,,,,Task starts execution
2,2,TASK_START,16,10,,,,Task starts execution
2,2,TASK_START,17,1,,,,Task starts execution
2,2,TASK_START,19,9,,,,Task starts execution
2,2,TASK_START,27,3,,,,Task starts execution
2,2,TASK_START,35,8,,,,Task starts execution
2,2,TASK_START,41,4,,,,Task starts execution
2,2,TASK_START,48,6,,,,Task starts execution
3,3,TASK_COMPLETE,17,1,,,,
3,3,TASK_COMPLETE,1,2,,,,
3,3,LOW_BATTERY,,2,,,,
3,3,TASK_COMPLETE,27,3,,,,
3,3,CHARGING_REQUEST,,3,,,,UAV requests charging
3,3,CHARGING_START,,3,3,867,1068,Charging started
3,3,TASK_COMPLETE,41,4,,,,
3,3,CHARGING_REQUEST,,4,,,,UAV requests charging
3,3,CHARGING_START,,4,1,1073,1418,Charging started
3,3,TASK_COMPLETE,9,5,,,,
3,3,LOW_BATTERY,,5,,,,
3,3,TASK_COMPLETE,48,6,,,,
3,3,LOW_BATTERY,,6,,,,
3,3,TASK_COMPLETE,4,7,,,,
3,3,CHARGING_REQUEST,,7,,,,UAV requests charging
3,3,CHARGING_START,,7,4,1124,1400,Charging started
3,3,TASK_COMPLETE,35,8,,,,
3,3,CHARGING_REQUEST,,8,,,,UAV requests charging
3,3,CHARGING_START,,8,1,820,1087,Charging started
3,3,TASK_COMPLETE,19,9,,,,
3,3,CHARGING_REQUEST,,9,,,,UAV requests charging
3,3,CHARGING_START,,9,1,1071,1417,Charging started
3,3,TASK_COMPLETE,16,10,,,,
3,3,CHARGING_REQUEST,,10,,,,UAV requests charging
3,3,CHARGING_START,,10,4,1108,1397,Charging started
4,4,AGV_MOVE_START,37,,1,620,1420,AGV starts moving to relay point
4,4,TASK_ASSIGNED,37,2,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,37,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,2,5,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,2,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,14,10,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,14,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,20,6,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,20,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,29,3,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,29,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,32,8,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,32,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,21,7,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,21,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,50,9,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,50,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,26,4,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,26,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,34,1,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,34,,1,,,Relay support requested for task
4,4,RELAY_REQUEST,37,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,2,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,14,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,20,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,29,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,32,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,21,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,50,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,26,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,34,,,,,Relay via AGV 1
