task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,599.4733667333736,52.20153254455275,0.0,0.0,32.785453182527064,0.0,0.0,32.785453182527064
2,alns_unified,11,11,26,15,True,True,86.73921283003583,554.2165641696394,0.0,7.0,45.12584364356415,0.0,0.0,45.12584364356415
3,alns_unified,50,50,51,1,True,True,208.91512428769346,28.460498941515414,0.0,0.0,35.513143269432476,0.0,0.0,35.513143269432476
4,alns_unified,2,2,3,1,True,True,386.9977440299273,424.8340852615289,0.0,0.0,42.92304091467584,0.0,0.0,42.92304091467584
5,alns_unified,24,24,25,1,True,True,677.7047569974563,18.867962264113206,0.0,0.0,37.0811290486059,0.0,0.0,37.0811290486059
6,alns_unified,0,0,1,1,True,True,629.904947842217,1151.4968519279591,0.0,0.0,49.97840649949228,0.0,0.0,49.97840649949228
7,alns_unified,49,49,49,0,True,True,755.7832068961405,1553.5572084735084,0.0,1.0,45.492572591144736,0.0,0.0,45.492572591144736
8,alns_unified,0,0,1,1,True,True,689.8253385473718,570.087712549569,0.0,0.0,36.893314737841955,0.0,0.0,36.893314737841955
9,alns_unified,2,2,3,1,True,True,853.0823332976648,39.92492955535426,0.0,0.0,34.7554577260392,0.0,0.0,34.7554577260392
10,alns_unified,0,0,1,1,True,True,518.0882452355844,751.5916444453064,0.0,0.0,48.5427152445355,0.0,0.0,48.5427152445355
11,alns_unified,50,48,62,12,True,True,273.16066394620174,1472.8560690033496,0.0,1.0,44.14907331052642,0.0,0.0,44.14907331052642
12,alns_unified,75,75,75,0,True,True,838.0575312291332,1362.5747685907002,0.0,1.0,48.28902552260983,0.0,0.0,48.28902552260983
13,alns_unified,49,49,49,0,True,True,572.596460382932,1362.4110980170412,0.0,1.0,39.741685064106136,0.0,0.0,39.741685064106136
14,alns_unified,23,11,23,0,True,True,916.9345743285885,36.235341863986875,0.0,8.0,42.39338594683383,0.0,0.0,42.39338594683383
15,alns_unified,75,75,75,0,True,True,387.9235577090001,1084.0779492268994,0.0,1.0,42.76370970500057,0.0,0.0,42.76370970500057
16,alns_unified,2,2,3,1,True,True,153.84807243037352,461.98917736241395,0.0,0.0,40.6606406706301,0.0,0.0,40.6606406706301
17,alns_unified,2,2,3,1,True,True,400.1056842111069,36.359317925395686,0.0,0.0,32.11394952879222,0.0,0.0,32.11394952879222
18,alns_unified,75,75,75,0,True,True,607.5250543323709,1130.257492786489,0.0,1.0,45.91789508421042,0.0,0.0,45.91789508421042
19,alns_unified,2,2,3,1,True,True,578.9929076496989,453.894260814124,0.0,0.0,34.88723878307496,0.0,0.0,34.88723878307496
20,alns_unified,11,11,26,15,True,True,528.8731905853873,508.000984251015,0.0,7.0,46.31323334694758,0.0,0.0,46.31323334694758
21,alns_unified,23,11,23,0,True,True,457.38822351408277,56.43580423808985,0.0,8.0,34.96508194517092,0.0,0.0,34.96508194517092
22,alns_unified,24,24,25,1,True,True,345.1740539479643,20.12461179749811,0.0,0.0,34.37135661588088,0.0,0.0,34.37135661588088
23,alns_unified,24,24,25,1,True,True,301.7326113633401,1010.1529587146691,0.0,0.0,44.37360139803576,0.0,0.0,44.37360139803576
24,alns_unified,0,0,1,1,True,True,87.12935158792749,457.6111886744029,0.0,0.0,39.487435475186615,0.0,0.0,39.487435475186615
25,alns_unified,75,75,75,0,True,True,710.8225349589131,1001.2921651546067,0.0,1.0,39.39757762140699,0.0,0.0,39.39757762140699
26,alns_unified,23,11,23,0,True,True,250.0990928338982,950.9574122956295,0.0,8.0,37.6753770094537,0.0,0.0,37.6753770094537
27,alns_unified,2,2,3,1,True,True,533.0107214575098,59.20304046246274,0.0,0.0,41.46765261793732,0.0,0.0,41.46765261793732
28,alns_unified,25,25,26,1,True,True,275.6049990742796,1159.4826432508596,0.0,0.0,43.367326197025726,0.0,0.0,43.367326197025726
29,alns_unified,24,11,24,0,True,True,815.3641265106103,483.7654390301151,0.0,8.0,39.539391028861395,0.0,0.0,39.539391028861395
30,alns_unified,75,75,75,0,True,True,283.29323545691625,1053.0432089900205,0.0,1.0,46.10613649279628,0.0,0.0,46.10613649279628
31,alns_unified,50,50,51,1,True,True,348.9270146893605,8.94427190999916,0.0,0.0,38.60139954206909,0.0,0.0,38.60139954206909
32,alns_unified,24,11,24,0,True,True,416.9774466917943,581.3811142443483,0.0,8.0,37.81532884182499,0.0,0.0,37.81532884182499
33,alns_unified,49,49,49,0,True,True,139.0479722574371,1514.1192159139914,0.0,1.0,49.090966219375986,0.0,0.0,49.090966219375986
34,alns_unified,11,11,23,12,True,True,445.36758277812345,596.6850090290521,0.0,7.0,37.84643721714828,0.0,0.0,37.84643721714828
35,alns_unified,2,2,3,1,True,True,311.3916092004299,41.048751503547585,0.0,0.0,35.17904794368665,0.0,0.0,35.17904794368665
36,alns_unified,0,0,1,1,True,True,779.2775035497154,1007.3355945264716,0.0,0.0,44.61993430056445,0.0,0.0,44.61993430056445
37,alns_unified,11,11,25,14,True,True,542.4984380227752,493.4065261019558,0.0,7.0,35.983357843533284,0.0,0.0,35.983357843533284
38,alns_unified,0,0,1,1,True,True,559.8582289847985,511.0234828263766,0.0,0.0,44.01796448672489,0.0,0.0,44.01796448672489
39,alns_unified,25,25,26,1,True,True,99.27614929399103,261.6295090390226,0.0,0.0,43.68055559485339,0.0,0.0,43.68055559485339
40,alns_unified,0,0,1,1,True,True,524.7355623210386,11.40175425099138,0.0,0.0,31.50329076333794,0.0,0.0,31.50329076333794
41,alns_unified,2,2,3,1,True,True,581.7308376671722,471.55911612437313,0.0,0.0,38.42434402255479,0.0,0.0,38.42434402255479
42,alns_unified,0,0,1,1,True,True,311.6471306766417,1275.8295340679333,0.0,0.0,43.964042030707304,0.0,0.0,43.964042030707304
43,alns_unified,50,50,51,1,True,True,229.49742014667675,25.553864678361276,0.0,0.0,39.98158581270836,0.0,0.0,39.98158581270836
44,alns_unified,24,24,25,1,True,True,367.9693196323787,1043.7878136862876,0.0,0.0,50.225295608093816,0.0,0.0,50.225295608093816
45,alns_unified,49,49,49,0,True,True,174.90031598721544,1447.0770539262933,0.0,1.0,48.30669265411103,0.0,0.0,48.30669265411103
46,alns_unified,0,0,1,1,True,True,384.73180196309323,437.7225148424513,0.0,0.0,40.18332642970249,0.0,0.0,40.18332642970249
47,alns_unified,0,0,1,1,True,True,304.5355033131124,622.8322406555396,0.0,0.0,40.86266151312039,0.0,0.0,40.86266151312039
48,alns_unified,2,2,3,1,True,True,444.62969009861365,47.853944456021594,0.0,0.0,34.41371453020761,0.0,0.0,34.41371453020761
49,alns_unified,24,24,25,1,True,True,830.4382070838122,1097.8419740563756,0.0,0.0,42.62945184685029,0.0,0.0,42.62945184685029
50,alns_unified,23,11,23,0,True,True,464.8300611073987,34.0147027033899,0.0,8.0,34.934147633833476,0.0,0.0,34.934147633833476
