step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,233.4936120227228,0.0,0.0,233.4936120227228
1,2,40,10,0,6828.244872171856,0.0,6828.244872171856,421.2177210684018,0.0,0.0,421.2177210684018
2,3,40,10,0,6828.244872171856,0.0,6828.244872171856,610.9996607762924,0.0,0.0,610.9996607762924
3,4,30,20,5,8901.15226881977,0.0,8901.15226881977,787.2644801733962,0.0,0.0,787.2644801733962
4,5,30,20,5,8901.15226881977,10.0,8911.15226881977,787.2644801733962,0.5,10.0,797.7644801733962
5,6,30,20,5,8901.15226881977,40.0,8941.15226881977,787.2644801733962,2.0,20.0,809.2644801733962
6,7,30,20,5,8901.15226881977,70.0,8971.15226881977,787.2644801733962,3.5,30.0,820.7644801733962
7,8,30,20,5,8901.15226881977,100.0,9001.15226881977,787.2644801733962,5.0,40.0,832.2644801733962
8,9,30,20,5,8901.15226881977,130.0,9031.15226881977,787.2644801733962,6.5,50.0,843.7644801733962
9,10,30,20,5,8901.15226881977,160.0,9061.15226881977,787.2644801733962,8.0,60.0,855.2644801733962
10,11,30,20,10,8901.15226881977,190.0,9091.15226881977,911.6566403945327,9.5,70.0,991.1566403945327
11,12,30,20,10,8901.15226881977,220.0,9121.15226881977,911.6566403945327,11.0,90.0,1012.6566403945327
12,13,30,20,10,8901.15226881977,250.0,9151.15226881977,911.6566403945327,12.5,110.0,1034.1566403945326
13,14,30,20,10,8901.15226881977,280.0,9181.15226881977,911.6566403945327,14.0,130.0,1055.6566403945326
14,15,30,20,10,8901.15226881977,310.0,9211.15226881977,911.6566403945327,15.5,150.0,1077.1566403945326
15,16,30,20,10,8901.15226881977,350.0,9251.15226881977,911.6566403945327,17.5,170.0,1099.1566403945326
16,17,30,20,10,8901.15226881977,400.0,9301.15226881977,911.6566403945327,20.0,190.0,1121.6566403945326
17,18,30,20,10,8901.15226881977,450.0,9351.15226881977,911.6566403945327,22.5,206.0,1140.1566403945326
18,19,30,20,10,8901.15226881977,500.0,9401.15226881977,911.6566403945327,25.0,216.0,1152.6566403945326
19,20,30,20,10,8901.15226881977,550.0,9451.15226881977,911.6566403945327,27.5,226.0,1165.1566403945326
20,21,30,20,10,8901.15226881977,600.0,9501.15226881977,911.6566403945327,30.0,236.0,1177.6566403945326
21,22,30,20,10,8901.15226881977,650.0,9551.15226881977,911.6566403945327,32.5,246.0,1190.1566403945326
22,23,30,20,10,8901.15226881977,700.0,9601.15226881977,954.7047949563565,35.0,256.0,1245.7047949563564
23,24,28,22,10,9428.125415483133,750.0,10178.125415483133,1054.8829713292482,37.5,266.0,1358.382971329248
24,25,25,25,10,11305.88005224034,800.0,12105.88005224034,1104.5342663877477,40.0,276.0,1420.5342663877475
25,26,24,26,10,12545.776822136932,850.0,13395.776822136932,1139.9871005154566,42.5,286.0,1468.4871005154564
26,27,19,31,10,15824.999768079408,900.0,16724.999768079408,1263.6807406114879,45.0,294.0,1602.6807406114876
27,28,18,32,10,17187.57453667011,950.0,18137.57453667011,1418.241493956467,47.5,294.0,1759.7414939564667
28,29,13,37,10,22964.707656086568,1000.0,23964.707656086568,1513.660133883237,50.0,294.0,1857.6601338832368
29,30,13,37,10,22964.707656086568,1050.0,24014.707656086568,1513.660133883237,52.5,294.0,1860.1601338832368
30,31,13,37,10,22964.707656086568,1100.0,24064.707656086568,1513.660133883237,55.0,294.0,1862.6601338832368
31,32,13,37,10,22964.707656086568,1150.0,24114.707656086568,1513.660133883237,57.5,294.0,1865.1601338832368
32,33,13,37,10,22964.707656086568,1200.0,24164.707656086568,1513.660133883237,60.0,294.0,1867.6601338832368
33,34,13,37,10,22964.707656086568,1250.0,24214.707656086568,1513.660133883237,62.5,294.0,1870.1601338832368
34,35,13,37,10,22964.707656086568,1300.0,24264.707656086568,1513.660133883237,65.0,294.0,1872.6601338832368
35,36,13,37,10,22964.707656086568,1350.0,24314.707656086568,1513.660133883237,67.5,294.0,1875.1601338832368
36,37,13,37,10,22964.707656086568,1400.0,24364.707656086568,1513.660133883237,70.0,294.0,1877.6601338832368
37,38,13,37,10,22964.707656086568,1450.0,24414.707656086568,1513.660133883237,72.5,294.0,1880.1601338832368
38,39,13,37,10,22964.707656086568,1500.0,24464.707656086568,1513.660133883237,75.0,294.0,1882.6601338832368
39,40,13,37,10,22964.707656086568,1550.0,24514.707656086568,1513.660133883237,77.5,294.0,1885.1601338832368
40,41,13,37,10,22964.707656086568,1600.0,24564.707656086568,1513.660133883237,80.0,294.0,1887.6601338832368
41,42,13,37,10,22964.707656086568,1650.0,24614.707656086568,1513.660133883237,82.5,294.0,1890.1601338832368
42,43,13,37,10,22964.707656086568,1700.0,24664.707656086568,1513.660133883237,85.0,294.0,1892.6601338832368
43,44,13,37,10,22964.707656086568,1750.0,24714.707656086568,1513.660133883237,87.5,294.0,1895.1601338832368
44,45,13,37,10,22964.707656086568,1800.0,24764.707656086568,1513.660133883237,90.0,294.0,1897.6601338832368
45,46,13,37,10,22964.707656086568,1850.0,24814.707656086568,1513.660133883237,92.5,294.0,1900.1601338832368
46,47,13,37,10,22964.707656086568,1900.0,24864.707656086568,1513.660133883237,95.0,294.0,1902.6601338832368
47,48,13,37,15,22964.707656086568,1947.566369117123,24912.27402520369,1513.660133883237,97.37831845585616,294.0,1905.0384523390928
