step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.18811740044562,0.0,0.0,108.18811740044562
1,2,25,5,0,2749.169750920497,0.0,2749.169750920497,198.7285272189019,0.0,0.0,198.7285272189019
2,3,25,5,0,2749.169750920497,0.0,2749.169750920497,300.72825643790907,0.0,0.0,300.72825643790907
3,4,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,0.0,391.0666805528492
4,5,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,4.0,395.0666805528492
5,6,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,8.0,399.0666805528492
6,7,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,12.0,403.0666805528492
7,8,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,16.0,407.0666805528492
8,9,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,20.0,411.0666805528492
9,10,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,24.0,415.0666805528492
10,11,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,28.0,419.0666805528492
11,12,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,32.0,423.0666805528492
12,13,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,36.0,427.0666805528492
13,14,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,40.0,431.0666805528492
14,15,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,44.0,435.0666805528492
15,16,20,10,2,4546.8318083515005,0.0,4546.8318083515005,391.0666805528492,0.0,48.0,439.0666805528492
16,17,20,10,2,4546.8318083515005,0.0,4546.8318083515005,426.05595396651825,0.0,52.0,478.05595396651825
