task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,312.8683902546426,8.48528137423857,0.0,0.0,36.41436535935757,0.0,0.0,36.41436535935757
2,alns_unified,0,0,1,1,True,True,531.064343659685,709.3835351909431,0.0,0.0,37.505528553350146,0.0,0.0,37.505528553350146
3,alns_unified,,,,,False,False,375.43540813422453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,alns_unified,,,,,False,False,512.986645015818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,alns_unified,,,,,False,False,515.0111063591671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,alns_unified,,,,,False,False,634.3310940308252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,alns_unified,0,0,1,1,True,True,826.7990021581597,450.28990661572686,0.0,0.0,39.432416433144724,0.0,0.0,39.432416433144724
8,alns_unified,0,0,1,1,True,True,764.6069204572193,832.6061493887731,0.0,0.0,45.5069250828195,0.0,0.0,45.5069250828195
9,alns_unified,2,2,3,1,True,True,405.5732336732949,428.0046728716872,0.0,0.0,44.292958144567095,0.0,0.0,44.292958144567095
10,alns_unified,,,,,False,False,655.5608330372926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,alns_unified,,,,,False,False,396.3715401920073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,alns_unified,0,0,1,1,True,True,594.9744463075947,765.5377195148519,0.0,0.0,43.251563121149445,0.0,0.0,43.251563121149445
13,alns_unified,0,0,1,1,True,True,343.3588079647843,13.45362404707371,0.0,0.0,33.734785874881396,0.0,0.0,33.734785874881396
14,alns_unified,,,,,False,False,749.8859149067089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,alns_unified,2,2,3,1,True,True,332.92181671501675,453.90858110416906,0.0,0.0,34.076447400145824,0.0,0.0,34.076447400145824
16,alns_unified,,,,,False,False,485.0035217273694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,alns_unified,,,,,False,False,827.0302017714606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,alns_unified,,,,,False,False,461.1069700234807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,alns_unified,2,2,3,1,True,True,388.8784541956833,456.5402501423067,0.0,0.0,38.103105253207616,0.0,0.0,38.103105253207616
20,alns_unified,,,,,False,False,407.33062185876094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,alns_unified,,,,,False,False,499.31319371556316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,alns_unified,,,,,False,False,297.64292947651256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,alns_unified,12,12,18,6,True,True,361.0382124448971,13.038404810405298,0.0,0.0,33.18218339863294,0.0,0.0,33.18218339863294
24,alns_unified,,,,,False,False,356.6032860593732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,alns_unified,,,,,False,False,172.76408177059642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,alns_unified,,,,,False,False,139.85961251204526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,alns_unified,,,,,False,False,250.55231360750778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,alns_unified,,,,,False,False,465.44601799152144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,alns_unified,10,10,17,7,True,True,527.2356096740644,18.35755975068582,0.0,0.0,36.59679765108463,0.0,0.0,36.59679765108463
30,alns_unified,2,2,3,1,True,True,513.2014437550836,417.3367944478416,0.0,0.0,39.225027976383124,0.0,0.0,39.225027976383124
