step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.39802923691977,0.0,0.0,108.39802923691977
1,2,25,5,0,2778.168934273422,0.0,2778.168934273422,198.93843905537602,0.0,0.0,198.93843905537602
2,3,25,5,0,2778.168934273422,0.0,2778.168934273422,300.7184594152347,0.0,0.0,300.7184594152347
3,4,20,10,2,4540.153448752896,0.0,4540.153448752896,391.0568835301749,0.0,0.0,391.0568835301749
4,5,20,10,2,4540.153448752896,10.0,4550.153448752896,391.0568835301749,0.5,4.0,395.5568835301749
5,6,20,10,2,4540.153448752896,20.0,4560.153448752896,391.0568835301749,1.0,8.0,400.0568835301749
6,7,20,10,2,4540.153448752896,30.0,4570.153448752896,391.0568835301749,1.5,12.0,404.5568835301749
7,8,20,10,2,4540.153448752896,40.0,4580.153448752896,391.0568835301749,2.0,16.0,409.0568835301749
8,9,20,10,2,4540.153448752896,50.0,4590.153448752896,391.0568835301749,2.5,20.0,413.5568835301749
9,10,20,10,2,4540.153448752896,60.0,4600.153448752896,391.0568835301749,3.0,24.0,418.0568835301749
10,11,20,10,5,4540.153448752896,70.0,4610.153448752896,457.58400806044864,3.5,28.0,489.08400806044864
11,12,20,10,5,4540.153448752896,80.0,4620.153448752896,457.58400806044864,4.0,38.0,499.58400806044864
12,13,20,10,5,4540.153448752896,90.0,4630.153448752896,457.58400806044864,4.5,48.0,510.08400806044864
13,14,20,10,5,4540.153448752896,100.0,4640.153448752896,457.58400806044864,5.0,58.0,520.5840080604487
14,15,20,10,5,4540.153448752896,110.0,4650.153448752896,457.58400806044864,5.5,68.0,531.0840080604487
15,16,20,10,5,4540.153448752896,130.0,4670.153448752896,457.58400806044864,6.5,78.0,542.0840080604487
16,17,20,10,5,4540.153448752896,150.0,4690.153448752896,457.58400806044864,7.5,88.0,553.0840080604487
17,18,20,10,5,4540.153448752896,170.0,4710.153448752896,457.58400806044864,8.5,94.0,560.0840080604487
18,19,20,10,5,4540.153448752896,190.0,4730.153448752896,457.58400806044864,9.5,100.0,567.0840080604487
19,20,20,10,5,4540.153448752896,210.0,4750.153448752896,457.58400806044864,10.5,106.0,574.0840080604487
20,21,20,10,5,4540.153448752896,230.0,4770.153448752896,457.58400806044864,11.5,112.0,581.0840080604487
21,22,20,10,5,4540.153448752896,250.0,4790.153448752896,457.58400806044864,12.5,118.0,588.0840080604487
22,23,20,10,5,4540.153448752896,270.0,4810.153448752896,500.4788332917063,13.5,124.0,637.9788332917063
23,24,18,12,5,5487.452909810385,290.0,5777.452909810385,537.1548712905118,14.5,130.0,681.6548712905118
24,25,18,12,5,5487.452909810385,320.0,5807.452909810385,579.9021966945655,16.0,136.0,731.9021966945655
25,26,16,14,5,6405.98887207359,350.0,6755.98887207359,616.607391561168,17.5,142.0,776.107391561168
26,27,13,17,5,8151.1977139239925,380.0,8531.197713923993,671.4307943199976,19.0,148.0,838.4307943199976
27,28,13,17,5,8151.1977139239925,410.0,8561.197713923993,756.3283734052668,20.5,148.0,924.8283734052668
28,29,9,21,5,8648.459303848205,440.0,9088.459303848205,837.7099731556709,22.0,148.0,1007.7099731556709
29,30,9,21,5,8648.459303848205,470.0,9118.459303848205,897.7736493211194,23.5,148.0,1069.2736493211194
30,31,6,24,5,8796.868641067591,500.0,9296.868641067591,956.8443787454265,25.0,148.0,1129.8443787454266
31,32,6,24,5,8796.868641067591,530.0,9326.868641067591,956.8443787454265,26.5,148.0,1131.3443787454266
32,33,6,24,5,8796.868641067591,560.0,9356.868641067591,956.8443787454265,28.0,148.0,1132.8443787454266
33,34,6,24,5,8796.868641067591,590.0,9386.868641067591,956.8443787454265,29.5,148.0,1134.3443787454266
34,35,6,24,5,8796.868641067591,620.0,9416.868641067591,956.8443787454265,31.0,148.0,1135.8443787454266
35,36,6,24,5,8796.868641067591,650.0,9446.868641067591,956.8443787454265,32.5,148.0,1137.3443787454266
36,37,6,24,5,8796.868641067591,680.0,9476.868641067591,956.8443787454265,34.0,148.0,1138.8443787454266
37,38,6,24,5,8796.868641067591,710.0,9506.868641067591,956.8443787454265,35.5,148.0,1140.3443787454266
38,39,6,24,5,8796.868641067591,740.0,9536.868641067591,956.8443787454265,37.0,148.0,1141.8443787454266
39,40,6,24,10,8796.868641067591,765.5056007507771,9562.374241818368,956.8443787454265,38.275280037538856,148.0,1143.1196587829654
40,41,6,24,10,8796.868641067591,785.5056007507771,9582.374241818368,956.8443787454265,39.275280037538856,158.0,1154.1196587829654
41,42,6,24,10,8796.868641067591,815.5056007507771,9612.374241818368,956.8443787454265,40.775280037538856,168.0,1165.6196587829654
42,43,6,24,10,8796.868641067591,845.5056007507771,9642.374241818368,956.8443787454265,42.275280037538856,178.0,1177.1196587829654
43,44,6,24,10,8796.868641067591,875.5056007507771,9672.374241818368,956.8443787454265,43.775280037538856,188.0,1188.6196587829654
44,45,6,24,10,8796.868641067591,905.5056007507771,9702.374241818368,956.8443787454265,45.275280037538856,198.0,1200.1196587829654
45,46,6,24,10,8796.868641067591,935.5056007507771,9732.374241818368,956.8443787454265,46.775280037538856,208.0,1211.6196587829654
46,47,6,24,10,8796.868641067591,957.9466041651657,9754.815245232756,956.8443787454265,47.89733020825828,218.0,1222.7417089536848
47,48,6,24,10,8796.868641067591,977.9466041651657,9774.815245232756,956.8443787454265,48.89733020825828,228.0,1233.7417089536848
48,49,6,24,10,8796.868641067591,997.9466041651657,9794.815245232756,956.8443787454265,49.89733020825828,238.0,1244.7417089536848
49,50,6,24,10,8796.868641067591,1017.9466041651657,9814.815245232756,956.8443787454265,50.89733020825828,248.0,1255.7417089536848
50,51,6,24,10,8796.868641067591,1037.9466041651658,9834.815245232756,956.8443787454265,51.89733020825828,258.0,1266.7417089536848
51,52,6,24,10,8796.868641067591,1057.9466041651658,9854.815245232756,956.8443787454265,52.89733020825828,268.0,1277.7417089536848
52,53,6,24,10,8796.868641067591,1077.9466041651658,9874.815245232756,956.8443787454265,53.89733020825828,278.0,1288.7417089536848
53,54,6,24,10,8796.868641067591,1097.9466041651658,9894.815245232756,956.8443787454265,54.89733020825828,288.0,1299.7417089536848
54,55,6,24,10,8796.868641067591,1117.9466041651658,9914.815245232756,956.8443787454265,55.89733020825828,298.0,1310.7417089536848
55,56,6,24,10,8796.868641067591,1137.9466041651658,9934.815245232756,976.1103825584519,56.89733020825828,308.0,1341.00771276671
56,57,6,24,10,8837.596647878943,1157.9466041651658,9995.54325204411,995.1973119825302,57.89733020825828,308.0,1361.0946421907884
57,58,6,24,10,8845.742260459645,1177.9466041651658,10023.688864624812,1014.2429164505628,58.89733020825828,308.0,1381.140246658821
58,59,6,24,11,8847.01501191157,1197.9466041651658,10044.961616076736,1033.2833553042956,59.89733020825828,308.0,1401.180685512554
59,60,6,24,11,8847.01501191157,1217.9466041651658,10064.961616076736,1033.2833553042956,60.89733020825828,310.0,1404.180685512554
60,61,6,24,11,8847.01501191157,1237.9466041651658,10084.961616076736,1033.2833553042956,61.89733020825828,312.0,1407.180685512554
61,62,6,24,11,8847.01501191157,1257.9466041651658,10104.961616076736,1033.2833553042956,62.89733020825828,314.0,1410.180685512554
62,63,6,24,11,8847.01501191157,1277.9466041651658,10124.961616076736,1033.2833553042956,63.89733020825828,316.0,1413.180685512554
63,64,6,24,11,8847.01501191157,1297.9466041651658,10144.961616076736,1033.2833553042956,64.89733020825828,318.0,1416.180685512554
64,65,6,24,11,8847.01501191157,1317.9466041651658,10164.961616076736,1033.2833553042956,65.89733020825828,320.0,1419.180685512554
65,66,6,24,11,8847.01501191157,1337.9466041651658,10184.961616076736,1033.2833553042956,66.89733020825828,322.0,1422.180685512554
66,67,6,24,11,8847.01501191157,1357.9466041651658,10204.961616076736,1033.2833553042956,67.89733020825828,324.0,1425.180685512554
67,68,6,24,11,8847.01501191157,1377.9466041651658,10224.961616076736,1033.2833553042956,68.89733020825828,326.0,1428.180685512554
