step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.39802923691977,0.0,0.0,108.39802923691977
1,2,25,5,0,2778.168934273422,0.0,2778.168934273422,198.93843905537602,0.0,0.0,198.93843905537602
2,3,25,5,0,2778.168934273422,0.0,2778.168934273422,300.7108020947269,0.0,0.0,300.7108020947269
3,4,20,10,2,4540.116158342759,0.0,4540.116158342759,391.04922620966704,0.0,0.0,391.04922620966704
4,5,20,10,2,4540.116158342759,10.0,4550.116158342759,391.04922620966704,0.5,4.0,395.54922620966704
5,6,20,10,2,4540.116158342759,20.0,4560.116158342759,391.04922620966704,1.0,8.0,400.04922620966704
6,7,20,10,2,4540.116158342759,30.0,4570.116158342759,391.04922620966704,1.5,12.0,404.54922620966704
7,8,20,10,2,4540.116158342759,40.0,4580.116158342759,391.04922620966704,2.0,16.0,409.04922620966704
8,9,20,10,2,4540.116158342759,50.0,4590.116158342759,391.04922620966704,2.5,20.0,413.54922620966704
9,10,20,10,2,4540.116158342759,60.0,4600.116158342759,391.04922620966704,3.0,24.0,418.04922620966704
10,11,20,10,5,4540.116158342759,70.0,4610.116158342759,457.5763507399408,3.5,28.0,489.0763507399408
11,12,20,10,5,4540.116158342759,80.0,4620.116158342759,457.5763507399408,4.0,38.0,499.5763507399408
12,13,20,10,5,4540.116158342759,90.0,4630.116158342759,457.5763507399408,4.5,48.0,510.0763507399408
13,14,20,10,5,4540.116158342759,100.0,4640.116158342759,457.5763507399408,5.0,58.0,520.5763507399408
14,15,20,10,5,4540.116158342759,110.0,4650.116158342759,457.5763507399408,5.5,68.0,531.0763507399408
15,16,20,10,5,4540.116158342759,130.0,4670.116158342759,457.5763507399408,6.5,78.0,542.0763507399408
16,17,20,10,5,4540.116158342759,150.0,4690.116158342759,457.5763507399408,7.5,88.0,553.0763507399408
17,18,20,10,5,4540.116158342759,170.0,4710.116158342759,457.5763507399408,8.5,94.0,560.0763507399408
18,19,20,10,5,4540.116158342759,190.0,4730.116158342759,457.5763507399408,9.5,100.0,567.0763507399408
19,20,20,10,5,4540.116158342759,210.0,4750.116158342759,457.5763507399408,10.5,106.0,574.0763507399408
20,21,20,10,5,4540.116158342759,230.0,4770.116158342759,457.5763507399408,11.5,112.0,581.0763507399408
21,22,20,10,5,4540.116158342759,250.0,4790.116158342759,457.5763507399408,12.5,118.0,588.0763507399408
22,23,20,10,5,4540.116158342759,270.0,4810.116158342759,500.4711759711984,13.5,124.0,637.9711759711985
23,24,18,12,5,5487.415619400248,290.0,5777.415619400248,537.1472139700039,14.5,130.0,681.6472139700039
24,25,18,12,5,5487.415619400248,320.0,5807.415619400248,577.8179663803405,16.0,136.0,729.8179663803405
25,26,16,14,5,6418.912118425535,350.0,6768.912118425535,612.6076740163891,17.5,142.0,772.1076740163891
26,27,13,17,5,8164.120960275937,380.0,8544.120960275937,667.4310767752187,19.0,148.0,834.4310767752187
27,28,13,17,5,8164.120960275937,410.0,8574.120960275937,753.8552545407595,20.5,148.0,922.3552545407595
28,29,9,21,5,8682.806994266246,440.0,9122.806994266246,836.4720635961316,22.0,148.0,1006.4720635961316
29,30,9,21,5,8682.806994266246,470.0,9152.806994266246,894.2127021512167,23.5,148.0,1065.7127021512167
30,31,7,23,5,8865.829420837785,500.0,9365.829420837785,950.9585615068969,25.0,148.0,1123.9585615068968
31,32,7,23,5,8887.543718804725,530.0,9417.543718804725,970.0195293088867,26.5,148.0,1144.5195293088866
32,33,7,23,5,8891.097804205736,560.0,9451.097804205736,989.061420115897,28.0,148.0,1165.061420115897
33,34,7,23,5,8891.827457077223,590.0,9481.827457077223,1008.1036617227373,29.5,148.0,1185.6036617227371
34,35,6,24,5,8892.348514727613,620.0,9512.348514727613,1027.14237870324,31.0,148.0,1206.1423787032397
35,36,6,24,5,8892.348514727613,650.0,9542.348514727613,1027.14237870324,32.5,148.0,1207.6423787032397
36,37,6,24,5,8892.348514727613,680.0,9572.348514727613,1027.14237870324,34.0,148.0,1209.1423787032397
37,38,6,24,5,8892.348514727613,710.0,9602.348514727613,1027.14237870324,35.5,148.0,1210.6423787032397
38,39,6,24,5,8892.348514727613,740.0,9632.348514727613,1027.14237870324,37.0,148.0,1212.1423787032397
39,40,6,24,10,8892.348514727613,765.5056007507771,9657.85411547839,1027.14237870324,38.275280037538856,148.0,1213.4176587407785
40,41,6,24,10,8892.348514727613,785.5056007507771,9677.85411547839,1027.14237870324,39.275280037538856,158.0,1224.4176587407785
41,42,6,24,10,8892.348514727613,815.5056007507771,9707.85411547839,1027.14237870324,40.775280037538856,168.0,1235.9176587407785
42,43,6,24,10,8892.348514727613,845.5056007507771,9737.85411547839,1027.14237870324,42.275280037538856,178.0,1247.4176587407785
43,44,6,24,10,8892.348514727613,875.5056007507771,9767.85411547839,1027.14237870324,43.775280037538856,188.0,1258.9176587407785
44,45,6,24,10,8892.348514727613,905.5056007507771,9797.85411547839,1027.14237870324,45.275280037538856,198.0,1270.4176587407785
45,46,6,24,10,8892.348514727613,935.5056007507771,9827.85411547839,1027.14237870324,46.775280037538856,208.0,1281.9176587407785
46,47,6,24,10,8892.348514727613,957.9466041651657,9850.295118892778,1027.14237870324,47.89733020825828,218.0,1293.0397089114979
47,48,6,24,10,8892.348514727613,977.9466041651657,9870.295118892778,1027.14237870324,48.89733020825828,228.0,1304.0397089114979
48,49,6,24,10,8892.348514727613,997.9466041651657,9890.295118892778,1027.14237870324,49.89733020825828,238.0,1315.0397089114979
49,50,6,24,10,8892.348514727613,1017.9466041651657,9910.295118892778,1027.14237870324,50.89733020825828,248.0,1326.0397089114979
50,51,6,24,10,8892.348514727613,1037.9466041651658,9930.29511889278,1027.14237870324,51.89733020825828,258.0,1337.0397089114979
51,52,6,24,10,8892.348514727613,1057.9466041651658,9950.29511889278,1027.14237870324,52.89733020825828,268.0,1348.0397089114979
52,53,6,24,10,8892.348514727613,1077.9466041651658,9970.29511889278,1027.14237870324,53.89733020825828,278.0,1359.0397089114979
53,54,6,24,10,8892.348514727613,1097.9466041651658,9990.29511889278,1027.14237870324,54.89733020825828,288.0,1370.0397089114979
54,55,6,24,10,8892.348514727613,1117.9466041651658,10010.29511889278,1027.14237870324,55.89733020825828,298.0,1381.0397089114979
55,56,6,24,10,8892.348514727613,1137.9466041651658,10030.29511889278,1047.5806640311944,56.89733020825828,308.0,1412.4779942394523
56,57,5,25,10,8918.425324348424,1157.9466041651658,10076.371928513589,1067.8339478953483,57.89733020825828,308.0,1433.7312781036062
57,58,5,25,10,8918.425324348424,1182.0697097907835,10100.495034139207,1104.0274294964654,59.10348548953917,308.0,1471.1309149860044
58,59,3,27,11,9361.441217880061,1202.0697097907835,10563.510927670844,1137.5013417712264,60.10348548953917,308.0,1505.6048272607654
59,60,3,27,11,9361.441217880061,1232.0697097907835,10593.510927670844,1176.953019288452,61.60348548953917,310.0,1548.556504777991
60,61,1,29,11,9994.52823857859,1262.0697097907835,11256.597948369374,1212.4534241630124,63.10348548953917,312.0,1587.5569096525514
61,62,1,29,11,9994.52823857859,1292.0697097907835,11286.597948369374,1212.4534241630124,64.60348548953917,314.0,1591.0569096525514
62,63,1,29,11,9994.52823857859,1322.0697097907835,11316.597948369374,1212.4534241630124,66.10348548953917,316.0,1594.5569096525514
63,64,1,29,11,9994.52823857859,1352.0697097907835,11346.597948369374,1212.4534241630124,67.60348548953917,318.0,1598.0569096525514
64,65,1,29,11,9994.52823857859,1382.0697097907835,11376.597948369374,1212.4534241630124,69.10348548953917,320.0,1601.5569096525514
65,66,1,29,11,9994.52823857859,1412.0697097907835,11406.597948369374,1212.4534241630124,70.60348548953917,322.0,1605.0569096525514
66,67,1,29,11,9994.52823857859,1442.0697097907835,11436.597948369374,1212.4534241630124,72.10348548953917,324.0,1608.5569096525514
67,68,1,29,11,9994.52823857859,1472.0697097907835,11466.597948369374,1212.4534241630124,73.60348548953917,326.0,1612.0569096525514
