step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,7,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,2,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,8,3,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,13,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,12,4,,,,Task assigned to UAV
0,0,TASK_START,2,2,,,,Task starts execution
0,0,TASK_START,7,1,,,,Task starts execution
0,0,TASK_START,8,3,,,,Task starts execution
0,0,TASK_START,12,4,,,,Task starts execution
0,0,TASK_START,13,5,,,,Task starts execution
1,1,TASK_COMPLETE,7,1,,,,
1,1,TASK_COMPLETE,2,2,,,,
1,1,TASK_COMPLETE,8,3,,,,
1,1,TASK_COMPLETE,12,4,,,,
1,1,TASK_COMPLETE,13,5,,,,
2,2,TASK_ASSIGNED,9,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,30,3,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,15,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,5,,,,Task assigned to UAV
2,2,TASK_START,1,1,,,,Task starts execution
2,2,TASK_START,9,4,,,,Task starts execution
2,2,TASK_START,15,2,,,,Task starts execution
2,2,TASK_START,19,5,,,,Task starts execution
2,2,TASK_START,30,3,,,,Task starts execution
3,3,TASK_COMPLETE,1,1,,,,
3,3,LOW_BATTERY,,1,,,,
3,3,TASK_COMPLETE,15,2,,,,
3,3,LOW_BATTERY,,2,,,,
3,3,TASK_COMPLETE,30,3,,,,
3,3,CHARGING_REQUEST,,3,,,,UAV requests charging
3,3,CHARGING_START,,3,2,464,366,Charging started
3,3,TASK_COMPLETE,9,4,,,,
3,3,CHARGING_REQUEST,,4,,,,UAV requests charging
3,3,CHARGING_START,,4,2,462,375,Charging started
3,3,TASK_COMPLETE,19,5,,,,
3,3,LOW_BATTERY,,5,,,,
4,4,AGV_MOVE_START,27,,1,811,98,AGV starts moving to relay point
4,4,TASK_ASSIGNED,27,3,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,27,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,17,2,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,17,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,21,4,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,21,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,5,5,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,5,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,20,1,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,20,,1,,,Relay support requested for task
4,4,RELAY_REQUEST,27,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,17,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,21,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,5,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,20,,,,,Relay via AGV 1
4,4,WAIT_FOR_AGV_START,5,5,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,17,2,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,20,1,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,21,4,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,27,3,,,,Task starts waiting for AGV
4,4,LOW_BATTERY,,1,,,,
4,4,LOW_BATTERY,,2,,,,
4,4,LOW_BATTERY,,5,,,,
5,5,AGV_MOVE_START,21,,3,510,623,AGV starts moving to relay point
5,5,RELAY_RESELECTED,21,,,,,Reselected relay: low_battery
5,5,LOW_BATTERY,,1,,,,
5,5,LOW_BATTERY,,2,,,,
5,5,LOW_BATTERY,,5,,,,
6,6,LOW_BATTERY,,1,,,,
6,6,LOW_BATTERY,,2,,,,
6,6,LOW_BATTERY,,5,,,,
7,7,LOW_BATTERY,,1,,,,
7,7,LOW_BATTERY,,2,,,,
7,7,LOW_BATTERY,,5,,,,
8,8,LOW_BATTERY,,1,,,,
8,8,LOW_BATTERY,,2,,,,
8,8,LOW_BATTERY,,5,,,,
9,9,LOW_BATTERY,,1,,,,
9,9,LOW_BATTERY,,2,,,,
9,9,LOW_BATTERY,,5,,,,
10,10,RELAY_FALLBACK,20,1,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,20,1,,,,
10,10,CHARGING_REQUEST,,1,,,,UAV requests charging
10,10,CHARGING_START,,1,2,24,308,Charging started
