task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,312.8683902546426,7.0710678118654755,0.0,0.0,36.40512936875328,0.0,0.0,36.40512936875328
2,alns_unified,0,0,1,1,True,True,531.064343659685,842.8546731198683,0.0,0.0,38.319530603168204,0.0,0.0,38.319530603168204
3,alns_unified,29,29,61,32,True,True,375.43540813422453,120.85440914654745,0.0,0.0,114.91436803743045,0.0,0.0,114.91436803743045
4,alns_unified,29,29,45,16,True,True,512.986645015818,68.0,0.0,0.0,40.988992523417565,0.0,0.0,40.988992523417565
5,alns_unified,11,11,26,15,True,True,515.0111063591671,451.45320909259243,0.0,7.0,44.82079201975401,0.0,0.0,44.82079201975401
6,alns_unified,29,29,45,16,True,True,634.3310940308252,14.142135623730951,0.0,0.0,39.766302625811,0.0,0.0,39.766302625811
7,alns_unified,0,0,1,1,True,True,826.7990021581597,14.866068747318506,0.0,0.0,36.58133725037583,0.0,0.0,36.58133725037583
8,alns_unified,0,0,1,1,True,True,764.6069204572193,706.5479460022511,0.0,0.0,44.62655892404129,0.0,0.0,44.62655892404129
9,alns_unified,2,2,3,1,True,True,405.5732336732949,417.2684986911904,0.0,0.0,44.21575654408514,0.0,0.0,44.21575654408514
10,alns_unified,46,46,47,1,True,True,655.5608330372926,413.488814842675,0.0,0.0,36.01222187957707,0.0,0.0,36.01222187957707
11,alns_unified,27,27,28,1,True,True,396.3715401920073,20.248456731316587,0.0,0.0,41.07080016443194,0.0,0.0,41.07080016443194
12,alns_unified,0,0,1,1,True,True,594.9744463075947,428.65953856178214,0.0,0.0,40.972970980044884,0.0,0.0,40.972970980044884
13,alns_unified,0,0,1,1,True,True,343.3588079647843,776.0270613838154,0.0,0.0,38.4344853202542,0.0,0.0,38.4344853202542
14,alns_unified,49,49,49,0,True,True,749.8859149067089,697.6087728806168,0.0,1.0,38.4057183863801,0.0,0.0,38.4057183863801
15,alns_unified,2,2,3,1,True,True,332.92181671501675,454.8197445142416,0.0,0.0,34.08178610647052,0.0,0.0,34.08178610647052
16,alns_unified,49,49,49,0,True,True,485.0035217273694,707.0855676649044,0.0,1.0,46.27301147731157,0.0,0.0,46.27301147731157
17,alns_unified,11,11,26,15,True,True,827.0302017714606,452.85096886282577,0.0,7.0,45.17879665722874,0.0,0.0,45.17879665722874
18,alns_unified,29,29,30,1,True,True,461.1069700234807,52.773099207835045,0.0,0.0,43.36910132794627,0.0,0.0,43.36910132794627
19,alns_unified,2,2,3,1,True,True,388.8784541956833,454.45901905452376,0.0,0.0,38.08984262552157,0.0,0.0,38.08984262552157
20,alns_unified,11,11,26,15,True,True,407.33062185876094,834.2241904907817,0.0,7.0,40.100417685071264,0.0,0.0,40.100417685071264
21,alns_unified,27,4,28,1,True,True,499.31319371556316,479.93519957550757,0.0,11.0,68.7900175180562,0.0,0.0,68.7900175180562
22,alns_unified,27,27,28,1,True,True,297.64292947651256,8.94427190999916,0.0,0.0,42.983499734977,0.0,0.0,42.983499734977
23,alns_unified,46,46,47,1,True,True,361.0382124448971,421.6123812223735,0.0,0.0,35.66971635406888,0.0,0.0,35.66971635406888
24,alns_unified,48,48,49,1,True,True,356.6032860593732,29.206163733020468,0.0,0.0,37.12679780329403,0.0,0.0,37.12679780329403
25,alns_unified,29,29,45,16,True,True,172.76408177059642,76.32168761236873,0.0,0.0,35.98639144988476,0.0,0.0,35.98639144988476
26,alns_unified,49,49,49,0,True,True,139.85961251204526,686.8369529953961,0.0,1.0,39.47276646360922,0.0,0.0,39.47276646360922
27,alns_unified,23,11,23,0,True,True,250.55231360750778,480.2020408119899,0.0,8.0,34.6368573751055,0.0,0.0,34.6368573751055
28,alns_unified,27,27,28,1,True,True,465.44601799152144,58.872744118140105,0.0,0.0,38.81444925181431,0.0,0.0,38.81444925181431
29,alns_unified,46,31,47,1,True,True,527.2356096740644,798.1136522125903,0.0,1.0,78.17833589031187,0.0,0.0,78.17833589031187
30,alns_unified,2,2,3,1,True,True,513.2014437550836,428.1226459789297,0.0,0.0,39.29566347468362,0.0,0.0,39.29566347468362
