step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.47033303869149,0.0,0.0,108.47033303869149
1,2,25,5,0,2794.077146872348,0.0,2794.077146872348,199.01074285714773,0.0,0.0,199.01074285714773
2,3,25,5,0,2794.077146872348,0.0,2794.077146872348,301.12636699703216,0.0,0.0,301.12636699703216
3,4,20,10,1,4610.723593043678,0.0,4610.723593043678,391.4647911119724,0.0,0.0,391.4647911119724
4,5,20,10,1,4610.723593043678,10.0,4620.723593043678,391.4647911119724,0.5,2.0,393.9647911119724
5,6,20,10,1,4610.723593043678,30.0,4640.723593043678,391.4647911119724,1.5,4.0,396.9647911119724
6,7,20,10,1,4610.723593043678,50.0,4660.723593043678,391.4647911119724,2.5,6.0,399.9647911119724
7,8,20,10,1,4610.723593043678,70.0,4680.723593043678,391.4647911119724,3.5,8.0,402.9647911119724
8,9,20,10,1,4610.723593043678,90.0,4700.723593043678,391.4647911119724,4.5,10.0,405.9647911119724
9,10,20,10,1,4610.723593043678,110.0,4720.723593043678,391.4647911119724,5.5,12.0,408.9647911119724
10,11,20,10,5,4610.723593043678,130.0,4740.723593043678,482.0984139246124,6.5,14.0,502.5984139246124
11,12,20,10,5,4610.723593043678,150.0,4760.723593043678,482.0984139246124,7.5,24.0,513.5984139246124
12,13,20,10,5,4610.723593043678,170.0,4780.723593043678,482.0984139246124,8.5,34.0,524.5984139246124
13,14,20,10,5,4610.723593043678,190.0,4800.723593043678,482.0984139246124,9.5,44.0,535.5984139246124
14,15,20,10,5,4610.723593043678,210.0,4820.723593043678,482.0984139246124,10.5,54.0,546.5984139246124
15,16,20,10,5,4610.723593043678,230.0,4840.723593043678,482.0984139246124,11.5,64.0,557.5984139246124
16,17,20,10,5,4610.723593043678,260.0,4870.723593043678,482.0984139246124,13.0,74.0,569.0984139246124
17,18,20,10,5,4610.723593043678,290.0,4900.723593043678,482.0984139246124,14.5,84.0,580.5984139246124
18,19,20,10,5,4610.723593043678,320.0,4930.723593043678,482.0984139246124,16.0,92.0,590.0984139246124
19,20,20,10,5,4610.723593043678,350.0,4960.723593043678,482.0984139246124,17.5,100.0,599.5984139246124
