step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,30,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,30,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,30,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,30,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,30,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,30,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,30,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
8,9,30,0,0,0.0,90.0,90.0,0.0,4.5,0.0,4.5
9,10,30,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
10,11,30,0,0,0.0,110.0,110.0,107.07807968977943,5.5,0.0,112.57807968977943
11,12,25,5,0,2759.338469012961,120.0,2879.338469012961,196.7080603003802,6.0,0.0,202.7080603003802
12,13,25,5,0,2759.338469012961,140.0,2899.338469012961,308.3887319142694,7.0,0.0,315.3887319142694
13,14,20,10,2,5826.22963366894,160.0,5986.22963366894,399.8881726719045,8.0,0.0,407.8881726719045
14,15,20,10,2,5826.22963366894,190.0,6016.22963366894,467.06716138883337,9.5,4.0,480.56716138883337
15,16,18,12,2,6816.049494913662,220.0,7036.049494913662,527.5540420526714,11.0,8.0,546.5540420526714
16,17,18,12,2,6835.385866128953,250.0,7085.385866128953,546.6099958630061,12.5,12.0,571.1099958630061
17,18,18,12,2,6838.46516460524,280.0,7118.46516460524,565.6523693700692,14.0,16.0,595.6523693700692
18,19,18,12,2,6839.162948009307,310.0,7149.162948009307,584.6922622164348,15.5,20.0,620.1922622164348
19,20,17,13,2,6839.336780309533,340.0,7179.336780309533,603.7309791969374,17.0,24.0,644.7309791969374
20,21,17,13,2,6839.336780309533,370.0,7209.336780309533,603.7309791969374,18.5,28.0,650.2309791969374
21,22,17,13,2,6839.336780309533,400.0,7239.336780309533,603.7309791969374,20.0,32.0,655.7309791969374
22,23,17,13,2,6839.336780309533,430.0,7269.336780309533,603.7309791969374,21.5,36.0,661.2309791969374
23,24,17,13,2,6839.336780309533,460.0,7299.336780309533,603.7309791969374,23.0,40.0,666.7309791969374
24,25,17,13,2,6839.336780309533,490.0,7329.336780309533,603.7309791969374,24.5,44.0,672.2309791969374
25,26,17,13,2,6839.336780309533,520.0,7359.336780309533,603.7309791969374,26.0,48.0,677.7309791969374
26,27,17,13,2,6839.336780309533,550.0,7389.336780309533,603.7309791969374,27.5,52.0,683.2309791969374
27,28,17,13,2,6839.336780309533,580.0,7419.336780309533,603.7309791969374,29.0,56.0,688.7309791969374
28,29,17,13,2,6839.336780309533,610.0,7449.336780309533,603.7309791969374,30.5,56.0,690.2309791969374
29,30,17,13,2,6839.336780309533,640.0,7479.336780309533,603.7309791969374,32.0,56.0,691.7309791969374
30,31,17,13,2,6839.336780309533,670.0,7509.336780309533,603.7309791969374,33.5,56.0,693.2309791969374
31,32,17,13,2,6839.336780309533,700.0,7539.336780309533,603.7309791969374,35.0,56.0,694.7309791969374
32,33,17,13,2,6839.336780309533,730.0,7569.336780309533,603.7309791969374,36.5,56.0,696.2309791969374
33,34,17,13,2,6839.336780309533,760.0,7599.336780309533,603.7309791969374,38.0,56.0,697.7309791969374
34,35,17,13,2,6839.336780309533,790.0,7629.336780309533,603.7309791969374,39.5,56.0,699.2309791969374
35,36,17,13,2,6839.336780309533,820.0,7659.336780309533,603.7309791969374,41.0,56.0,700.7309791969374
36,37,17,13,2,6839.336780309533,850.0,7689.336780309533,603.7309791969374,42.5,56.0,702.2309791969374
37,38,17,13,2,6839.336780309533,880.0,7719.336780309533,603.7309791969374,44.0,56.0,703.7309791969374
38,39,17,13,2,6839.336780309533,910.0,7749.336780309533,603.7309791969374,45.5,56.0,705.2309791969374
39,40,17,13,2,6839.336780309533,940.0,7779.336780309533,603.7309791969374,47.0,56.0,706.7309791969374
40,41,17,13,5,6839.336780309533,966.2446506050376,7805.581430914571,603.7309791969374,48.312232530251876,56.0,708.0432117271893
41,42,17,13,5,6839.336780309533,986.2446506050376,7825.581430914571,603.7309791969374,49.312232530251876,62.0,715.0432117271893
42,43,17,13,5,6839.336780309533,1016.2446506050376,7855.581430914571,603.7309791969374,50.812232530251876,68.0,722.5432117271893
43,44,17,13,5,6839.336780309533,1046.2446506050376,7885.581430914571,603.7309791969374,52.312232530251876,74.0,730.0432117271893
