step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.39802923691977,0.0,0.0,108.39802923691977
1,2,25,5,0,2778.168934273422,0.0,2778.168934273422,198.93843905537602,0.0,0.0,198.93843905537602
2,3,25,5,0,2778.168934273422,0.0,2778.168934273422,300.7184594152347,0.0,0.0,300.7184594152347
3,4,20,10,2,4540.153448752896,0.0,4540.153448752896,391.0568835301749,0.0,0.0,391.0568835301749
4,5,20,10,2,4540.153448752896,10.0,4550.153448752896,391.0568835301749,0.5,4.0,395.5568835301749
5,6,20,10,2,4540.153448752896,20.0,4560.153448752896,391.0568835301749,1.0,8.0,400.0568835301749
6,7,20,10,2,4540.153448752896,30.0,4570.153448752896,391.0568835301749,1.5,12.0,404.5568835301749
7,8,20,10,2,4540.153448752896,40.0,4580.153448752896,391.0568835301749,2.0,16.0,409.0568835301749
8,9,20,10,2,4540.153448752896,50.0,4590.153448752896,391.0568835301749,2.5,20.0,413.5568835301749
9,10,20,10,2,4540.153448752896,60.0,4600.153448752896,391.0568835301749,3.0,24.0,418.0568835301749
10,11,20,10,5,4540.153448752896,70.0,4610.153448752896,456.8377063307322,3.5,28.0,488.3377063307322
11,12,20,10,5,4540.153448752896,80.0,4620.153448752896,456.8377063307322,4.0,38.0,498.8377063307322
12,13,20,10,5,4540.153448752896,90.0,4630.153448752896,456.8377063307322,4.5,48.0,509.3377063307322
13,14,20,10,5,4540.153448752896,100.0,4640.153448752896,456.8377063307322,5.0,58.0,519.8377063307322
14,15,20,10,5,4540.153448752896,110.0,4650.153448752896,456.8377063307322,5.5,68.0,530.3377063307322
15,16,20,10,5,4540.153448752896,130.0,4670.153448752896,456.8377063307322,6.5,78.0,541.3377063307322
16,17,20,10,5,4540.153448752896,150.0,4690.153448752896,456.8377063307322,7.5,88.0,552.3377063307322
17,18,20,10,5,4540.153448752896,170.0,4710.153448752896,456.8377063307322,8.5,94.0,559.3377063307322
18,19,20,10,5,4540.153448752896,190.0,4730.153448752896,456.8377063307322,9.5,100.0,566.3377063307322
19,20,20,10,5,4540.153448752896,210.0,4750.153448752896,456.8377063307322,10.5,106.0,573.3377063307322
20,21,20,10,5,4540.153448752896,230.0,4770.153448752896,456.8377063307322,11.5,112.0,580.3377063307322
21,22,20,10,5,4540.153448752896,250.0,4790.153448752896,456.8377063307322,12.5,118.0,587.3377063307322
22,23,20,10,5,4540.153448752896,270.0,4810.153448752896,500.50546113464173,13.5,124.0,638.0054611346417
23,24,18,12,5,5477.921591181692,290.0,5767.921591181692,537.9158509491617,14.5,130.0,682.4158509491617
24,25,18,12,5,5477.921591181692,320.0,5797.921591181692,579.3238052056078,16.0,136.0,731.3238052056078
25,26,17,13,5,5618.15009326244,350.0,5968.15009326244,619.9539691043404,17.5,142.0,779.4539691043404
26,27,14,16,5,7394.987496349875,380.0,7774.987496349875,693.0966633350308,19.0,148.0,860.0966633350308
27,28,14,16,5,7397.731449289878,410.0,7807.731449289878,794.5573982215865,20.5,148.0,963.0573982215865
28,29,10,20,5,7604.124019056792,440.0,8044.124019056792,894.5589416960064,22.0,148.0,1064.5589416960065
29,30,9,21,5,7604.230259114021,470.0,8074.230259114021,952.2425379836521,23.5,148.0,1123.7425379836523
30,31,7,23,5,7697.290187286304,500.0,8197.290187286304,990.2442661422984,25.0,148.0,1163.2442661422986
31,32,7,23,5,7697.290187286304,530.0,8227.290187286304,990.2442661422984,26.5,148.0,1164.7442661422986
32,33,7,23,5,7697.290187286304,560.0,8257.290187286304,990.2442661422984,28.0,148.0,1166.2442661422986
33,34,7,23,5,7697.290187286304,590.0,8287.290187286304,990.2442661422984,29.5,148.0,1167.7442661422986
34,35,7,23,5,7697.290187286304,620.0,8317.290187286304,990.2442661422984,31.0,148.0,1169.2442661422986
35,36,7,23,5,7697.290187286304,650.0,8347.290187286304,990.2442661422984,32.5,148.0,1170.7442661422986
36,37,7,23,5,7697.290187286304,680.0,8377.290187286304,990.2442661422984,34.0,148.0,1172.2442661422986
37,38,7,23,5,7697.290187286304,710.0,8407.290187286304,990.2442661422984,35.5,148.0,1173.7442661422986
38,39,7,23,5,7697.290187286304,740.0,8437.290187286304,990.2442661422984,37.0,148.0,1175.2442661422986
39,40,7,23,9,7697.290187286304,768.4773631540709,8465.767550440374,990.2442661422984,38.423868157703545,148.0,1176.668134300002
40,41,7,23,9,7697.290187286304,798.4773631540709,8495.767550440374,1011.142428513872,39.923868157703545,156.0,1207.0662966715756
41,42,6,24,9,8103.57210910907,828.4773631540709,8932.049472263141,1029.3807355023164,41.423868157703545,164.0,1234.8046036600201
42,43,6,24,9,8103.57210910907,858.4773631540709,8962.049472263141,1029.3807355023164,42.923868157703545,172.0,1244.3046036600201
43,44,6,24,9,8103.57210910907,888.4773631540709,8992.049472263141,1029.3807355023164,44.423868157703545,180.0,1253.8046036600201
44,45,6,24,9,8103.57210910907,918.4773631540709,9022.049472263141,1029.3807355023164,45.923868157703545,188.0,1263.3046036600201
45,46,6,24,9,8103.57210910907,948.4773631540709,9052.049472263141,1029.3807355023164,47.423868157703545,196.0,1272.8046036600201
46,47,6,24,9,8103.57210910907,978.4773631540709,9082.049472263141,1029.3807355023164,48.923868157703545,204.0,1282.3046036600201
47,48,6,24,9,8103.57210910907,1008.4773631540709,9112.049472263141,1029.3807355023164,50.423868157703545,212.0,1291.8046036600201
48,49,6,24,10,8103.57210910907,1035.009308345764,9138.581417454834,1029.3807355023164,51.750465417288204,220.0,1301.1312009196047
49,50,6,24,10,8103.57210910907,1065.009308345764,9168.581417454834,1029.3807355023164,53.250465417288204,230.0,1312.6312009196047
50,51,6,24,10,8103.57210910907,1095.009308345764,9198.581417454834,1029.3807355023164,54.750465417288204,240.0,1324.1312009196047
51,52,6,24,10,8103.57210910907,1125.009308345764,9228.581417454834,1029.3807355023164,56.250465417288204,250.0,1335.6312009196047
52,53,6,24,10,8103.57210910907,1155.009308345764,9258.581417454834,1029.3807355023164,57.750465417288204,260.0,1347.1312009196047
53,54,6,24,10,8103.57210910907,1185.009308345764,9288.581417454834,1029.3807355023164,59.250465417288204,270.0,1358.6312009196047
54,55,6,24,10,8103.57210910907,1215.009308345764,9318.581417454834,1029.3807355023164,60.750465417288204,280.0,1370.1312009196047
55,56,6,24,10,8103.57210910907,1245.009308345764,9348.581417454834,1114.0970582541072,62.250465417288204,290.0,1466.3475236713955
56,57,2,28,10,9982.812588300161,1275.009308345764,11257.821896645924,1186.4477288293397,63.750465417288204,292.0,1542.198194246628
57,58,2,28,10,9982.812588300161,1305.009308345764,11287.821896645924,1186.4477288293397,65.25046541728821,294.0,1545.698194246628
58,59,2,28,10,9982.812588300161,1335.009308345764,11317.821896645924,1186.4477288293397,66.75046541728821,296.0,1549.198194246628
59,60,2,28,10,9982.812588300161,1365.009308345764,11347.821896645924,1186.4477288293397,68.25046541728821,298.0,1552.698194246628
60,61,2,28,10,9982.812588300161,1395.009308345764,11377.821896645924,1186.4477288293397,69.75046541728821,300.0,1556.198194246628
61,62,2,28,10,9982.812588300161,1425.009308345764,11407.821896645924,1186.4477288293397,71.25046541728821,302.0,1559.698194246628
62,63,2,28,10,9982.812588300161,1455.009308345764,11437.821896645924,1186.4477288293397,72.75046541728821,304.0,1563.198194246628
63,64,2,28,10,9982.812588300161,1485.009308345764,11467.821896645924,1186.4477288293397,74.25046541728821,306.0,1566.698194246628
64,65,2,28,10,9982.812588300161,1515.009308345764,11497.821896645924,1208.3683644108644,75.75046541728821,308.0,1592.1188298281527
65,66,1,29,10,10669.649541295557,1545.009308345764,12214.65884964132,1225.920495292949,77.25046541728821,308.0,1611.1709607102373
66,67,1,29,10,10669.649541295557,1575.009308345764,12244.65884964132,1225.920495292949,78.75046541728821,308.0,1612.6709607102373
67,68,1,29,10,10669.649541295557,1605.009308345764,12274.65884964132,1225.920495292949,80.25046541728821,308.0,1614.1709607102373
