timestamp,sender,receiver,message_type,content
0,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 8
0,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 13
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 7
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
0,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 12
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 1,Control Center,TASK_START,Start task 7
0,UAV 4,Control Center,TASK_START,Start task 8
0,UAV 3,Control Center,TASK_START,Start task 12
0,UAV 5,Control Center,TASK_START,Start task 13
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 7
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 3,Control Center,TASK_COMPLETE,Complete task 12
1,UAV 4,Control Center,TASK_COMPLETE,Complete task 8
1,UAV 5,Control Center,TASK_COMPLETE,Complete task 13
2,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 9
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 30
2,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 15
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
2,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 19
2,UAV 1,Control Center,TASK_START,Start task 1
2,UAV 5,Control Center,TASK_START,Start task 9
2,UAV 4,Control Center,TASK_START,Start task 15
2,UAV 3,Control Center,TASK_START,Start task 19
2,UAV 2,Control Center,TASK_START,Start task 30
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
3,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 30
3,UAV 2,Control Center,LOW_BATTERY,Battery level: 22.3%
3,UAV 3,Control Center,TASK_COMPLETE,Complete task 19
3,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.2%"
3,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 3
3,AGV 2,UAV 3,CHARGING_START,Start charging
3,UAV 4,Control Center,TASK_COMPLETE,Complete task 15
3,UAV 4,Control Center,LOW_BATTERY,Battery level: 23.2%
