task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,0,0,1,1,True,True,67.00128673418017,498.19674828324605,0.0,0.0,34.58336048897996,0.0,0.0,34.58336048897996
2,alns_unified,2,2,3,1,True,True,288.9735268760145,7.211102550927978,0.0,0.0,34.60015780034864,0.0,0.0,34.60015780034864
3,alns_unified,20,20,21,1,True,True,603.667414650472,8.06225774829855,0.0,0.0,35.55177096413666,0.0,0.0,35.55177096413666
4,alns_unified,20,20,21,1,True,True,541.4159166037545,277.79488836189915,0.0,0.0,40.43312561829305,0.0,0.0,40.43312561829305
5,alns_unified,38,38,39,1,True,True,179.085312972858,327.9405433916337,0.0,0.0,43.80593145756839,0.0,0.0,43.80593145756839
6,alns_unified,4,4,19,15,True,True,181.80078526677676,229.68238939892626,0.0,0.0,39.991395125451476,0.0,0.0,39.991395125451476
7,alns_unified,0,0,1,1,True,True,324.7956211251161,48.507731342539614,0.0,0.0,40.722496580986785,0.0,0.0,40.722496580986785
8,alns_unified,2,2,3,1,True,True,145.4342738755807,20.248456731316587,0.0,0.0,37.27539699169154,0.0,0.0,37.27539699169154
9,alns_unified,4,4,19,15,True,True,760.5244171923729,9.0,0.0,0.0,36.37139666741517,0.0,0.0,36.37139666741517
10,alns_unified,22,22,37,15,True,True,494.04356017772614,18.788294228055936,0.0,0.0,33.20259559032213,0.0,0.0,33.20259559032213
