step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,7,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
0,0,TASK_START,1,1,,,,Task starts execution
0,0,TASK_START,7,2,,,,Task starts execution
1,1,TASK_COMPLETE,1,1,,,,
1,1,TASK_COMPLETE,7,2,,,,
2,2,TASK_ASSIGNED,2,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,2,,,,Task assigned to UAV
2,2,TASK_START,2,1,,,,Task starts execution
2,2,TASK_START,9,2,,,,Task starts execution
3,3,TASK_COMPLETE,2,1,,,,
3,3,TASK_COMPLETE,9,2,,,,
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,CHARGING_START,,2,1,388,58,Charging started
4,4,TASK_ASSIGNED,8,2,,,,Task assigned to UAV
4,4,TASK_ASSIGNED,6,1,,,,Task assigned to UAV
4,4,TASK_START,6,1,,,,Task starts execution
4,4,TASK_START,8,2,,,,Task starts execution
4,4,CHARGING_REQUEST,,1,,,,UAV requests charging
4,4,CHARGING_START,,1,1,379,58,Charging started
16,16,CHARGING_END,,2,1,388,58,Charging ended
17,17,TASK_COMPLETE,8,2,,,,
18,18,TASK_ASSIGNED,3,2,,,,Task assigned to UAV
18,18,TASK_START,3,2,,,,Task starts execution
18,18,CHARGING_END,,1,1,379,58,Charging ended
18,18,TASK_COMPLETE,6,1,,,,
18,18,LOW_BATTERY,,2,,,,
19,19,TASK_ASSIGNED,4,1,,,,Task assigned to UAV
19,19,TASK_START,4,1,,,,Task starts execution
19,19,TASK_COMPLETE,3,2,,,,
19,19,CHARGING_REQUEST,,2,,,,UAV requests charging
19,19,CHARGING_START,,2,1,140,116,Charging started
20,20,TASK_ASSIGNED,10,2,,,,Task assigned to UAV
20,20,TASK_START,10,2,,,,Task starts execution
20,20,TASK_COMPLETE,4,1,,,,
20,20,LOW_BATTERY,,1,,,,
21,21,LOW_BATTERY,,1,,,,
22,22,LOW_BATTERY,,1,,,,
23,23,LOW_BATTERY,,1,,,,
24,24,LOW_BATTERY,,1,,,,
25,25,LOW_BATTERY,,1,,,,
26,26,LOW_BATTERY,,1,,,,
27,27,LOW_BATTERY,,1,,,,
28,28,LOW_BATTERY,,1,,,,
29,29,LOW_BATTERY,,1,,,,
30,30,LOW_BATTERY,,1,,,,
31,31,LOW_BATTERY,,1,,,,
32,32,LOW_BATTERY,,1,,,,
33,33,CHARGING_END,,2,1,140,116,Charging ended
33,33,LOW_BATTERY,,1,,,,
34,34,LOW_BATTERY,,1,,,,
34,34,TASK_COMPLETE,10,2,,,,
35,35,TASK_ASSIGNED,5,2,,,,Task assigned to UAV
35,35,TASK_START,5,2,,,,Task starts execution
35,35,LOW_BATTERY,,1,,,,
35,35,LOW_BATTERY,,2,,,,
36,36,LOW_BATTERY,,1,,,,
36,36,TASK_COMPLETE,5,2,,,,
36,36,CHARGING_REQUEST,,2,,,,UAV requests charging
36,36,CHARGING_START,,2,1,2,374,Charging started
37,37,LOW_BATTERY,,1,,,,
38,38,LOW_BATTERY,,1,,,,
39,39,LOW_BATTERY,,1,,,,
40,40,LOW_BATTERY,,1,,,,
41,41,LOW_BATTERY,,1,,,,
42,42,LOW_BATTERY,,1,,,,
43,43,LOW_BATTERY,,1,,,,
44,44,LOW_BATTERY,,1,,,,
45,45,LOW_BATTERY,,1,,,,
46,46,LOW_BATTERY,,1,,,,
47,47,LOW_BATTERY,,1,,,,
48,48,LOW_BATTERY,,1,,,,
49,49,LOW_BATTERY,,1,,,,
50,50,LOW_BATTERY,,1,,,,
51,51,LOW_BATTERY,,1,,,,
52,52,CHARGING_END,,2,1,2,374,Charging ended
52,52,LOW_BATTERY,,1,,,,
