step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,39.73019640183128,0.0,0.0,39.73019640183128
1,2,8,2,0,534.0692637691161,0.0,534.0692637691161,75.74410961808952,0.0,0.0,75.74410961808952
2,3,8,2,0,534.0692637691161,0.0,534.0692637691161,111.37832126591971,0.0,0.0,111.37832126591971
3,4,6,4,1,565.4164711983188,0.0,565.4164711983188,146.81207479874237,0.0,0.0,146.81207479874237
4,5,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,2.0,169.64622523652596
5,6,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,6.0,173.64622523652596
6,7,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,10.0,177.64622523652596
7,8,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,14.0,181.64622523652596
8,9,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,18.0,185.64622523652596
9,10,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,22.0,189.64622523652596
10,11,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,26.0,193.64622523652596
11,12,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,30.0,197.64622523652596
12,13,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,34.0,201.64622523652596
13,14,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,38.0,205.64622523652596
14,15,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,42.0,209.64622523652596
15,16,6,4,2,565.4164711983188,0.0,565.4164711983188,167.64622523652596,0.0,46.0,213.64622523652596
16,17,6,4,2,565.4164711983188,0.0,565.4164711983188,186.33033714544004,0.0,50.0,236.33033714544004
17,18,5,5,2,582.5337139669425,0.0,582.5337139669425,204.90084001346986,0.0,52.0,256.90084001346986
18,19,4,6,2,820.4622746737227,0.0,820.4622746737227,243.38886196788587,0.0,54.0,297.3888619678859
19,20,3,7,3,1058.1532505226178,0.0,1058.1532505226178,280.75965510101076,0.0,54.0,334.75965510101076
20,21,2,8,3,1109.776888519179,0.0,1109.776888519179,300.0279956523416,0.0,56.0,356.0279956523416
21,22,2,8,3,1109.776888519179,10.0,1119.776888519179,323.01789413482163,0.5,58.0,381.51789413482163
22,23,1,9,3,1424.2701316898392,20.0,1444.2701316898392,343.73682358533995,1.0,60.0,404.73682358533995
23,24,1,9,3,1424.2701316898392,30.0,1454.2701316898392,343.73682358533995,1.5,62.0,407.23682358533995
24,25,1,9,3,1424.2701316898392,40.0,1464.2701316898392,343.73682358533995,2.0,64.0,409.73682358533995
25,26,1,9,3,1424.2701316898392,50.0,1474.2701316898392,343.73682358533995,2.5,66.0,412.23682358533995
26,27,1,9,3,1424.2701316898392,60.0,1484.2701316898392,343.73682358533995,3.0,68.0,414.73682358533995
27,28,1,9,3,1424.2701316898392,70.0,1494.2701316898392,343.73682358533995,3.5,70.0,417.23682358533995
28,29,1,9,3,1424.2701316898392,80.0,1504.2701316898392,343.73682358533995,4.0,72.0,419.73682358533995
29,30,1,9,3,1424.2701316898392,90.0,1514.2701316898392,343.73682358533995,4.5,74.0,422.23682358533995
30,31,1,9,3,1424.2701316898392,100.0,1524.2701316898392,343.73682358533995,5.0,76.0,424.73682358533995
31,32,1,9,3,1424.2701316898392,110.0,1534.2701316898392,343.73682358533995,5.5,78.0,427.23682358533995
32,33,1,9,3,1424.2701316898392,120.0,1544.2701316898392,343.73682358533995,6.0,80.0,429.73682358533995
33,34,1,9,3,1424.2701316898392,130.0,1554.2701316898392,360.67935730274917,6.5,82.0,449.17935730274917
34,35,0,10,3,1489.7300430860519,140.0,1629.7300430860519,377.2234790209365,7.0,82.0,466.2234790209365
35,36,0,10,3,1489.7300430860519,150.0,1639.7300430860519,377.2234790209365,7.5,82.0,466.7234790209365
