task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,0,0,1,1,True,True,67.00128673418017,53.45091205957107,0.0,0.0,31.963491338363916,0.0,0.0,31.963491338363916
2,alns_unified,2,2,3,1,True,True,288.9735268760145,17.029386365926403,0.0,0.0,34.661872160412635,0.0,0.0,34.661872160412635
3,alns_unified,5,4,17,12,True,True,603.667414650472,0.0,0.0,1.0,35.50005875167015,0.0,0.0,35.50005875167015
4,alns_unified,19,19,20,1,True,True,541.4159166037545,260.69330639661615,0.0,0.0,40.316376885017476,0.0,0.0,40.316376885017476
5,alns_unified,22,22,22,0,True,True,179.085312972858,314.4932431706602,0.0,1.0,43.70882793299839,0.0,0.0,43.70882793299839
6,alns_unified,18,18,19,1,True,True,181.80078526677676,8.06225774829855,0.0,0.0,38.481751669906885,0.0,0.0,38.481751669906885
7,alns_unified,0,0,1,1,True,True,324.7956211251161,480.6183517095451,0.0,0.0,43.7806182797256,0.0,0.0,43.7806182797256
8,alns_unified,4,4,18,14,True,True,145.4342738755807,8.246211251235321,0.0,0.0,37.195736755759796,0.0,0.0,37.195736755759796
9,alns_unified,2,2,3,1,True,True,760.5244171923729,14.317821063276353,0.0,0.0,36.40609302024022,0.0,0.0,36.40609302024022
10,alns_unified,21,20,34,13,True,True,494.04356017772614,65.45991139621256,0.0,1.0,33.48665543559652,0.0,0.0,33.48665543559652
