step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,39.73019640183128,0.0,0.0,39.73019640183128
1,2,8,2,0,534.0692637691161,0.0,534.0692637691161,75.74410961808952,0.0,0.0,75.74410961808952
2,3,8,2,0,534.0692637691161,0.0,534.0692637691161,111.37832126591971,0.0,0.0,111.37832126591971
3,4,6,4,1,565.4164711983188,0.0,565.4164711983188,146.81207479874237,0.0,0.0,146.81207479874237
4,5,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,2.0,167.88730868647235
5,6,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,6.0,171.88730868647235
6,7,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,10.0,175.88730868647235
7,8,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,14.0,179.88730868647235
8,9,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,18.0,183.88730868647235
9,10,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,22.0,187.88730868647235
10,11,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,26.0,191.88730868647235
11,12,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,30.0,195.88730868647235
12,13,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,34.0,199.88730868647235
13,14,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,38.0,203.88730868647235
14,15,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,42.0,207.88730868647235
15,16,6,4,2,565.4164711983188,9.0,574.4164711983188,165.43730868647233,0.45,46.0,211.88730868647235
16,17,6,4,2,565.4164711983188,9.0,574.4164711983188,183.18733806230742,0.45,50.0,233.63733806230744
17,18,5,5,2,565.4164711983188,9.0,574.4164711983188,200.9373674381425,0.45,52.0,253.38736743814252
18,19,4,6,2,573.6626824495542,9.0,582.6626824495542,238.77620559292734,0.45,54.0,293.22620559292733
19,20,3,7,3,581.7249401978527,9.0,590.7249401978527,279.03765830976585,0.45,54.0,333.48765830976583
20,21,2,8,3,842.4182465944689,9.0,851.4182465944689,298.30599886109667,0.45,56.0,354.75599886109666
21,22,2,8,3,842.4182465944689,19.0,861.4182465944689,321.2958973435767,0.95,58.0,380.2458973435767
22,23,1,9,3,1156.911489765129,29.0,1185.911489765129,342.01482679409503,1.45,60.0,403.464826794095
23,24,1,9,3,1156.911489765129,39.0,1195.911489765129,342.01482679409503,1.95,62.0,405.964826794095
24,25,1,9,3,1156.911489765129,49.0,1205.911489765129,342.01482679409503,2.45,64.0,408.464826794095
25,26,1,9,3,1156.911489765129,59.0,1215.911489765129,342.01482679409503,2.95,66.0,410.964826794095
26,27,1,9,3,1156.911489765129,69.0,1225.911489765129,342.01482679409503,3.45,68.0,413.464826794095
27,28,1,9,3,1156.911489765129,79.0,1235.911489765129,342.01482679409503,3.95,70.0,415.964826794095
28,29,1,9,3,1156.911489765129,89.0,1245.911489765129,342.01482679409503,4.45,72.0,418.464826794095
29,30,1,9,3,1156.911489765129,99.0,1255.911489765129,342.01482679409503,4.95,74.0,420.964826794095
30,31,1,9,3,1156.911489765129,109.0,1265.911489765129,342.01482679409503,5.45,76.0,423.464826794095
31,32,1,9,3,1156.911489765129,119.0,1275.911489765129,342.01482679409503,5.95,78.0,425.964826794095
32,33,1,9,3,1156.911489765129,129.0,1285.911489765129,342.01482679409503,6.45,80.0,428.464826794095
33,34,1,9,3,1156.911489765129,139.0,1295.911489765129,358.95736051150425,6.95,82.0,447.9073605115042
34,35,0,10,3,1222.3714011613417,149.0,1371.3714011613417,375.5014822296916,7.45,82.0,464.9514822296915
35,36,0,10,3,1222.3714011613417,159.0,1381.3714011613417,375.5014822296916,7.95,82.0,465.4514822296915
36,37,0,10,3,1222.3714011613417,169.0,1391.3714011613417,375.5014822296916,8.45,82.0,465.9514822296915
