task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,41,41,41,0,True,True,67.00128673418017,19.72308292331602,0.0,1.0,31.764810447224818,0.0,0.0,31.764810447224818
2,alns_unified,15,15,15,0,True,True,288.9735268760145,276.02898398537786,0.0,1.0,36.2898546800765,0.0,0.0,36.2898546800765
3,alns_unified,1,0,1,0,True,True,603.667414650472,0.0,0.0,1.0,35.50005875167015,0.0,0.0,35.50005875167015
4,alns_unified,5,4,19,14,True,True,541.4159166037545,51.74441932717816,0.0,1.0,38.88992885616144,0.0,0.0,38.88992885616144
5,alns_unified,93,43,93,0,True,True,179.085312972858,524.3506149185267,0.0,2.0,86.66207580571376,0.0,0.0,86.66207580571376
6,alns_unified,3,2,3,0,True,True,181.80078526677676,0.1570271767770641,0.0,1.0,38.427902412134216,0.0,0.0,38.427902412134216
7,alns_unified,11,11,11,0,True,True,324.7956211251161,480.6183517095451,0.0,11.0,43.7806182797256,0.0,0.0,43.7806182797256
8,alns_unified,40,39,54,14,True,True,145.4342738755807,15.789981931964483,0.0,1.0,37.24580559939736,0.0,0.0,37.24580559939736
9,alns_unified,39,38,39,0,True,True,760.5244171923729,4.630461798847733,0.0,1.0,36.34288742701281,0.0,0.0,36.34288742701281
10,alns_unified,13,12,13,0,True,True,494.04356017772614,69.65671205452189,0.0,1.0,33.512198637610524,0.0,0.0,33.512198637610524
