step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,0.0,0.0,39.36349499805775,0.0,0.0,39.36349499805775
1,2,3,2,0,1123.5041525012875,0.0,1123.5041525012875,71.96349499805775,0.0,0.0,71.96349499805775
2,3,3,2,0,1123.5041525012875,0.0,1123.5041525012875,109.3776748453105,0.0,0.0,109.3776748453105
3,4,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
4,5,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
5,6,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
6,7,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
7,8,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
8,9,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
9,10,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
10,11,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
11,12,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
12,13,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
13,14,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
14,15,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
15,16,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
16,17,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
17,18,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
18,19,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
19,20,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
20,21,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
21,22,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
22,23,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
23,24,1,4,0,1923.2018015465928,0.0,1923.2018015465928,141.9776748453105,0.0,0.0,141.9776748453105
