step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,0.0,0.0,39.36349499805775,0.0,0.0,39.36349499805775
1,2,3,2,0,1123.5041525012875,0.0,1123.5041525012875,71.96349499805775,0.0,0.0,71.96349499805775
2,3,3,2,0,1123.5041525012875,10.0,1133.5041525012875,71.96349499805775,0.5,0.0,72.46349499805775
3,4,3,2,0,1123.5041525012875,20.0,1143.5041525012875,71.96349499805775,1.0,0.0,72.96349499805775
4,5,3,2,0,1123.5041525012875,30.0,1153.5041525012875,71.96349499805775,1.5,0.0,73.46349499805775
5,6,3,2,0,1123.5041525012875,40.0,1163.5041525012875,71.96349499805775,2.0,0.0,73.96349499805775
6,7,3,2,0,1123.5041525012875,50.0,1173.5041525012875,71.96349499805775,2.5,0.0,74.46349499805775
7,8,3,2,0,1123.5041525012875,60.0,1183.5041525012875,71.96349499805775,3.0,0.0,74.96349499805775
8,9,3,2,0,1123.5041525012875,70.0,1193.5041525012875,71.96349499805775,3.5,0.0,75.46349499805775
9,10,3,2,0,1123.5041525012875,80.0,1203.5041525012875,71.96349499805775,4.0,0.0,75.96349499805775
10,11,3,2,0,1123.5041525012875,90.0,1213.5041525012875,109.3776748453105,4.5,0.0,113.8776748453105
11,12,1,4,0,1923.2018015465928,100.0,2023.2018015465928,141.9776748453105,5.0,0.0,146.9776748453105
12,13,1,4,0,1923.2018015465928,110.0,2033.2018015465928,141.9776748453105,5.5,0.0,147.4776748453105
13,14,1,4,0,1923.2018015465928,120.0,2043.2018015465928,141.9776748453105,6.0,0.0,147.9776748453105
14,15,1,4,0,1923.2018015465928,130.0,2053.201801546593,141.9776748453105,6.5,0.0,148.4776748453105
15,16,1,4,0,1923.2018015465928,140.0,2063.201801546593,141.9776748453105,7.0,0.0,148.9776748453105
16,17,1,4,0,1923.2018015465928,150.0,2073.201801546593,141.9776748453105,7.5,0.0,149.4776748453105
17,18,1,4,0,1923.2018015465928,160.0,2083.201801546593,141.9776748453105,8.0,0.0,149.9776748453105
18,19,1,4,0,1923.2018015465928,170.0,2093.201801546593,141.9776748453105,8.5,0.0,150.4776748453105
19,20,1,4,0,1923.2018015465928,180.0,2103.201801546593,141.9776748453105,9.0,0.0,150.9776748453105
20,21,1,4,0,1923.2018015465928,190.0,2113.201801546593,141.9776748453105,9.5,0.0,151.4776748453105
21,22,1,4,0,1923.2018015465928,200.0,2123.201801546593,141.9776748453105,10.0,0.0,151.9776748453105
22,23,1,4,0,1923.2018015465928,210.0,2133.201801546593,141.9776748453105,10.5,0.0,152.4776748453105
23,24,1,4,0,1923.2018015465928,220.0,2143.201801546593,141.9776748453105,11.0,0.0,152.9776748453105
