timestamp,sender,receiver,message_type,content
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 3
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 2
0,UAV 1,Control Center,TASK_START,Start task 2
0,UAV 2,Control Center,TASK_START,Start task 3
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 3
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
2,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 1
2,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 1
11,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
11,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
12,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
13,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
14,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
15,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
16,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
17,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
18,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
19,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
20,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
21,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
22,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
23,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
24,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
25,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 1
25,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
26,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
27,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
28,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
29,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
30,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
31,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
32,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
33,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
34,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
35,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
36,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.9%
