step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,231.2605917186353,0.0,0.0,231.2605917186353
1,2,40,10,0,6752.756634340447,0.0,6752.756634340447,417.4744679486847,0.0,0.0,417.4744679486847
2,3,40,10,0,6752.756634340447,0.0,6752.756634340447,608.2981336643536,0.0,0.0,608.2981336643536
3,4,30,20,4,8755.566020453678,0.0,8755.566020453678,786.0731858770869,0.0,0.0,786.0731858770869
4,5,30,20,4,8755.566020453678,10.0,8765.566020453678,786.0731858770869,0.5,8.0,794.5731858770869
5,6,30,20,4,8755.566020453678,30.0,8785.566020453678,786.0731858770869,1.5,16.0,803.5731858770869
6,7,30,20,4,8755.566020453678,60.0,8815.566020453678,786.0731858770869,3.0,24.0,813.0731858770869
7,8,30,20,4,8755.566020453678,90.0,8845.566020453678,786.0731858770869,4.5,32.0,822.5731858770869
8,9,30,20,4,8755.566020453678,120.0,8875.566020453678,786.0731858770869,6.0,40.0,832.0731858770869
9,10,30,20,4,8755.566020453678,150.0,8905.566020453678,786.0731858770869,7.5,48.0,841.5731858770869
10,11,30,20,10,8755.566020453678,180.0,8935.566020453678,912.7748109627723,9.0,56.0,977.7748109627723
11,12,30,20,10,8755.566020453678,210.0,8965.566020453678,912.7748109627723,10.5,76.0,999.2748109627723
12,13,30,20,10,8755.566020453678,240.0,8995.566020453678,912.7748109627723,12.0,96.0,1020.7748109627723
13,14,30,20,10,8755.566020453678,270.0,9025.566020453678,912.7748109627723,13.5,116.0,1042.2748109627723
14,15,30,20,10,8755.566020453678,300.0,9055.566020453678,912.7748109627723,15.0,136.0,1063.7748109627723
15,16,30,20,10,8755.566020453678,350.0,9105.566020453678,912.7748109627723,17.5,156.0,1086.2748109627723
16,17,30,20,10,8755.566020453678,400.0,9155.566020453678,912.7748109627723,20.0,176.0,1108.7748109627723
17,18,30,20,10,8755.566020453678,450.0,9205.566020453678,912.7748109627723,22.5,190.0,1125.2748109627723
18,19,30,20,10,8755.566020453678,500.0,9255.566020453678,934.1040324428714,25.0,204.0,1163.1040324428714
19,20,29,21,10,8791.801362317665,550.0,9341.801362317665,955.1681969096062,27.5,216.0,1198.6681969096062
20,21,29,21,10,8791.801362317665,600.0,9391.801362317665,955.1681969096062,30.0,228.0,1213.1681969096062
21,22,29,21,10,8791.801362317665,650.0,9441.801362317665,955.1681969096062,32.5,240.0,1227.6681969096062
22,23,29,21,10,8791.801362317665,700.0,9491.801362317665,1025.8549743628516,35.0,252.0,1312.8549743628516
23,24,26,24,10,12106.558450707165,750.0,12856.558450707165,1076.2202170829053,37.5,264.0,1377.7202170829053
24,25,25,25,10,12599.96497680912,800.0,13399.96497680912,1092.7137644885129,40.0,276.0,1408.7137644885129
25,26,23,27,10,13131.297485346968,850.0,13981.297485346968,1219.9487809994837,42.5,286.0,1548.448780999484
26,27,16,34,10,17424.46491039319,900.0,18324.46491039319,1351.0776316336915,45.0,292.0,1688.0776316336917
27,28,16,34,10,17424.46491039319,950.0,18374.46491039319,1351.0776316336915,47.5,292.0,1690.5776316336917
28,29,16,34,10,17424.46491039319,1000.0,18424.46491039319,1351.0776316336915,50.0,292.0,1693.0776316336917
29,30,16,34,10,17424.46491039319,1050.0,18474.46491039319,1351.0776316336915,52.5,292.0,1695.5776316336917
30,31,16,34,10,17424.46491039319,1100.0,18524.46491039319,1351.0776316336915,55.0,292.0,1698.0776316336917
31,32,16,34,10,17424.46491039319,1150.0,18574.46491039319,1351.0776316336915,57.5,292.0,1700.5776316336917
32,33,16,34,10,17424.46491039319,1200.0,18624.46491039319,1351.0776316336915,60.0,292.0,1703.0776316336917
33,34,16,34,10,17424.46491039319,1250.0,18674.46491039319,1351.0776316336915,62.5,292.0,1705.5776316336917
34,35,16,34,10,17424.46491039319,1300.0,18724.46491039319,1351.0776316336915,65.0,292.0,1708.0776316336917
35,36,16,34,10,17424.46491039319,1350.0,18774.46491039319,1351.0776316336915,67.5,292.0,1710.5776316336917
36,37,16,34,10,17424.46491039319,1400.0,18824.46491039319,1351.0776316336915,70.0,292.0,1713.0776316336917
37,38,16,34,10,17424.46491039319,1450.0,18874.46491039319,1351.0776316336915,72.5,292.0,1715.5776316336917
38,39,16,34,10,17424.46491039319,1500.0,18924.46491039319,1351.0776316336915,75.0,292.0,1718.0776316336917
39,40,16,34,10,17424.46491039319,1550.0,18974.46491039319,1351.0776316336915,77.5,292.0,1720.5776316336917
40,41,16,34,10,17424.46491039319,1600.0,19024.46491039319,1351.0776316336915,80.0,292.0,1723.0776316336917
41,42,16,34,10,17424.46491039319,1650.0,19074.46491039319,1351.0776316336915,82.5,292.0,1725.5776316336917
42,43,16,34,10,17424.46491039319,1700.0,19124.46491039319,1351.0776316336915,85.0,292.0,1728.0776316336917
43,44,16,34,10,17424.46491039319,1750.0,19174.46491039319,1351.0776316336915,87.5,292.0,1730.5776316336917
44,45,16,34,10,17424.46491039319,1800.0,19224.46491039319,1351.0776316336915,90.0,292.0,1733.0776316336917
45,46,16,34,10,17424.46491039319,1850.0,19274.46491039319,1351.0776316336915,92.5,292.0,1735.5776316336917
46,47,16,34,10,17424.46491039319,1900.0,19324.46491039319,1351.0776316336915,95.0,292.0,1738.0776316336917
47,48,16,34,10,17424.46491039319,1950.0,19374.46491039319,1351.0776316336915,97.5,292.0,1740.5776316336917
48,49,16,34,10,17424.46491039319,2000.0,19424.46491039319,1351.0776316336915,100.0,292.0,1743.0776316336917
49,50,16,34,13,17424.46491039319,2042.1911351440685,19466.65604553726,1351.0776316336915,102.10955675720344,292.0,1745.187188390895
50,51,16,34,13,17424.46491039319,2092.1911351440685,19516.65604553726,1522.7635458833302,104.60955675720344,298.0,1925.3731026405335
51,52,9,41,13,23684.49923821567,2142.1911351440685,25826.69037335974,1652.3301028473613,107.10955675720344,304.0,2063.439659604565
52,53,9,41,13,23684.49923821567,2192.1911351440685,25876.69037335974,1746.228718308781,109.60955675720344,310.0,2165.8382750659844
53,54,5,45,13,26779.82808839831,2242.1911351440685,29022.01922354238,1820.1612856907122,112.10955675720344,316.0,2248.2708424479156
54,55,5,45,13,26779.82808839831,2292.1911351440685,29072.01922354238,1820.1612856907122,114.60955675720344,322.0,2256.7708424479156
55,56,5,45,20,26779.82808839831,2340.9457134371187,29120.77380183543,1820.1612856907122,117.04728567185593,328.0,2265.208571362568
56,57,5,45,20,26779.82808839831,2390.9457134371187,29170.77380183543,1820.1612856907122,119.54728567185593,348.0,2287.708571362568
57,58,5,45,20,26779.82808839831,2440.9457134371187,29220.77380183543,1820.1612856907122,122.04728567185593,368.0,2310.208571362568
58,59,5,45,20,26779.82808839831,2490.9457134371187,29270.77380183543,1820.1612856907122,124.54728567185593,388.0,2332.708571362568
59,60,5,45,20,26779.82808839831,2540.9457134371187,29320.77380183543,1820.1612856907122,127.04728567185593,408.0,2355.208571362568
60,61,5,45,20,26779.82808839831,2590.9457134371187,29370.77380183543,1820.1612856907122,129.54728567185595,428.0,2377.708571362568
61,62,5,45,20,26779.82808839831,2640.9457134371187,29420.77380183543,1820.1612856907122,132.04728567185595,448.0,2400.208571362568
