step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,231.3204762834288,0.0,0.0,231.3204762834288
1,2,40,10,0,6807.342563975392,0.0,6807.342563975392,417.5343525134783,0.0,0.0,417.5343525134783
2,3,40,10,0,6807.342563975392,0.0,6807.342563975392,608.1097267556672,0.0,0.0,608.1097267556672
3,4,30,20,5,8771.985492666185,0.0,8771.985492666185,785.8847789684005,0.0,0.0,785.8847789684005
4,5,30,20,5,8771.985492666185,10.0,8781.985492666185,785.8847789684005,0.5,10.0,796.3847789684005
5,6,30,20,5,8771.985492666185,30.0,8801.985492666185,785.8847789684005,1.5,20.0,807.3847789684005
6,7,30,20,5,8771.985492666185,50.0,8821.985492666185,785.8847789684005,2.5,30.0,818.3847789684005
7,8,30,20,5,8771.985492666185,70.0,8841.985492666185,785.8847789684005,3.5,40.0,829.3847789684005
8,9,30,20,5,8771.985492666185,90.0,8861.985492666185,785.8847789684005,4.5,50.0,840.3847789684005
9,10,30,20,5,8771.985492666185,110.0,8881.985492666185,785.8847789684005,5.5,60.0,851.3847789684005
10,11,30,20,10,8771.985492666185,130.0,8901.985492666185,896.3185320087257,6.5,70.0,972.8185320087257
11,12,30,20,10,8771.985492666185,150.0,8921.985492666185,896.3185320087257,7.5,90.0,993.8185320087257
12,13,30,20,10,8771.985492666185,170.0,8941.985492666185,896.3185320087257,8.5,110.0,1014.8185320087257
13,14,30,20,10,8771.985492666185,190.0,8961.985492666185,896.3185320087257,9.5,130.0,1035.8185320087257
14,15,30,20,10,8771.985492666185,210.0,8981.985492666185,896.3185320087257,10.5,150.0,1056.8185320087257
15,16,30,20,10,8771.985492666185,250.0,9021.985492666185,896.3185320087257,12.5,170.0,1078.8185320087257
16,17,30,20,10,8771.985492666185,300.0,9071.985492666185,896.3185320087257,15.0,190.0,1101.3185320087257
17,18,30,20,10,8771.985492666185,350.0,9121.985492666185,896.3185320087257,17.5,202.0,1115.8185320087257
18,19,30,20,10,8771.985492666185,400.0,9171.985492666185,896.3185320087257,20.0,212.0,1128.3185320087257
19,20,30,20,10,8771.985492666185,450.0,9221.985492666185,896.3185320087257,22.5,222.0,1140.8185320087257
20,21,30,20,10,8771.985492666185,500.0,9271.985492666185,896.3185320087257,25.0,232.0,1153.3185320087257
21,22,30,20,10,8771.985492666185,550.0,9321.985492666185,896.3185320087257,27.5,242.0,1165.8185320087257
22,23,30,20,10,8771.985492666185,600.0,9371.985492666185,985.9123773013217,30.0,252.0,1267.9123773013216
23,24,26,24,10,10723.090694845609,650.0,11373.090694845609,1086.4587718846851,32.5,262.0,1380.9587718846851
24,25,23,27,10,13076.814331018119,700.0,13776.814331018119,1136.1100669431846,35.0,272.0,1443.1100669431846
25,26,23,27,10,13076.814331018119,750.0,13826.814331018119,1244.3240775271022,37.5,278.0,1559.8240775271022
26,27,15,35,10,17934.59784342299,800.0,18734.59784342299,1391.2740571178904,40.0,284.0,1715.2740571178904
27,28,15,35,10,17934.59784342299,850.0,18784.59784342299,1391.2740571178904,42.5,284.0,1717.7740571178904
28,29,15,35,10,17934.59784342299,900.0,18834.59784342299,1391.2740571178904,45.0,284.0,1720.2740571178904
29,30,15,35,10,17934.59784342299,950.0,18884.59784342299,1391.2740571178904,47.5,284.0,1722.7740571178904
30,31,15,35,10,17934.59784342299,1000.0,18934.59784342299,1391.2740571178904,50.0,284.0,1725.2740571178904
31,32,15,35,10,17934.59784342299,1050.0,18984.59784342299,1391.2740571178904,52.5,284.0,1727.7740571178904
32,33,15,35,10,17934.59784342299,1100.0,19034.59784342299,1391.2740571178904,55.0,284.0,1730.2740571178904
33,34,15,35,10,17934.59784342299,1150.0,19084.59784342299,1391.2740571178904,57.5,284.0,1732.7740571178904
34,35,15,35,10,17934.59784342299,1200.0,19134.59784342299,1391.2740571178904,60.0,284.0,1735.2740571178904
35,36,15,35,10,17934.59784342299,1250.0,19184.59784342299,1391.2740571178904,62.5,284.0,1737.7740571178904
36,37,15,35,10,17934.59784342299,1300.0,19234.59784342299,1391.2740571178904,65.0,284.0,1740.2740571178904
37,38,15,35,10,17934.59784342299,1350.0,19284.59784342299,1391.2740571178904,67.5,284.0,1742.7740571178904
38,39,15,35,10,17934.59784342299,1400.0,19334.59784342299,1391.2740571178904,70.0,284.0,1745.2740571178904
39,40,15,35,10,17934.59784342299,1450.0,19384.59784342299,1391.2740571178904,72.5,284.0,1747.7740571178904
40,41,15,35,10,17934.59784342299,1500.0,19434.59784342299,1391.2740571178904,75.0,284.0,1750.2740571178904
41,42,15,35,10,17934.59784342299,1550.0,19484.59784342299,1391.2740571178904,77.5,284.0,1752.7740571178904
42,43,15,35,10,17934.59784342299,1600.0,19534.59784342299,1391.2740571178904,80.0,284.0,1755.2740571178904
43,44,15,35,10,17934.59784342299,1650.0,19584.59784342299,1391.2740571178904,82.5,284.0,1757.7740571178904
44,45,15,35,10,17934.59784342299,1700.0,19634.59784342299,1391.2740571178904,85.0,284.0,1760.2740571178904
45,46,15,35,10,17934.59784342299,1750.0,19684.59784342299,1391.2740571178904,87.5,284.0,1762.7740571178904
46,47,15,35,10,17934.59784342299,1800.0,19734.59784342299,1391.2740571178904,90.0,284.0,1765.2740571178904
47,48,15,35,10,17934.59784342299,1850.0,19784.59784342299,1391.2740571178904,92.5,284.0,1767.7740571178904
48,49,15,35,10,17934.59784342299,1900.0,19834.59784342299,1391.2740571178904,95.0,284.0,1770.2740571178904
49,50,15,35,10,17934.59784342299,1950.0,19884.59784342299,1391.2740571178904,97.5,284.0,1772.7740571178904
50,51,15,35,10,17934.59784342299,2000.0,19934.59784342299,1391.2740571178904,100.0,284.0,1775.2740571178904
