task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,599.4733667333736,39.6232255123179,0.0,0.0,32.70995038892831,0.0,0.0,32.70995038892831
2,alns_unified,20,20,20,0,True,True,86.73921283003583,991.5644204992432,0.0,1.0,48.2665937443894,0.0,0.0,48.2665937443894
3,alns_unified,79,79,79,0,True,True,208.91512428769346,1518.654667789883,0.0,1.0,45.03722681718202,0.0,0.0,45.03722681718202
4,alns_unified,2,2,3,1,True,True,386.9977440299273,424.8340852615289,0.0,0.0,42.92304091467584,0.0,0.0,42.92304091467584
5,alns_unified,22,22,38,16,True,True,677.7047569974563,239.240464804765,0.0,0.0,38.53823644643486,0.0,0.0,38.53823644643486
6,alns_unified,0,0,1,1,True,True,629.904947842217,946.7275215182033,0.0,0.0,48.49433149184278,0.0,0.0,48.49433149184278
7,alns_unified,19,19,32,13,True,True,755.7832068961405,1395.1906679733777,0.0,1.0,44.47629762405217,0.0,0.0,44.47629762405217
8,alns_unified,2,2,3,1,True,True,689.8253385473718,41.012193308819754,0.0,0.0,33.65079961501253,0.0,0.0,33.65079961501253
9,alns_unified,2,2,3,1,True,True,853.0823332976648,30.805843601498726,0.0,0.0,34.69820031646829,0.0,0.0,34.69820031646829
10,alns_unified,0,0,1,1,True,True,518.0882452355844,490.7229360851192,0.0,0.0,46.605010212577945,0.0,0.0,46.605010212577945
11,alns_unified,19,19,31,12,True,True,273.16066394620174,1386.438603040178,0.0,1.0,43.6025912688279,0.0,0.0,43.6025912688279
12,alns_unified,4,4,17,13,True,True,838.0575312291332,491.15068970734427,0.0,0.0,42.29500585792373,0.0,0.0,42.29500585792373
13,alns_unified,79,23,79,0,True,True,572.596460382932,3022.0164583821975,0.0,2.0,81.23635548357883,0.0,0.0,81.23635548357883
14,alns_unified,4,4,18,14,True,True,916.9345743285885,16.1245154965971,0.0,0.0,42.24627775634862,0.0,0.0,42.24627775634862
15,alns_unified,4,4,19,15,True,True,387.9235577090001,55.226805085936306,0.0,0.0,36.12673557630191,0.0,0.0,36.12673557630191
16,alns_unified,2,2,3,1,True,True,153.84807243037352,426.2417154620134,0.0,0.0,40.421308478638664,0.0,0.0,40.421308478638664
17,alns_unified,0,0,1,1,True,True,400.1056842111069,36.87817782917155,0.0,0.0,32.117023603724405,0.0,0.0,32.117023603724405
18,alns_unified,4,4,17,13,True,True,607.5250543323709,496.8108291895417,0.0,0.0,41.61847802420605,0.0,0.0,41.61847802420605
19,alns_unified,2,2,3,1,True,True,578.9929076496989,387.85693238615704,0.0,0.0,34.493457337649566,0.0,0.0,34.493457337649566
20,alns_unified,19,19,31,12,True,True,528.8731905853873,1004.7646490596691,0.0,1.0,49.9766109696996,0.0,0.0,49.9766109696996
21,alns_unified,4,4,17,13,True,True,457.38822351408277,56.43580423808985,0.0,0.0,34.96508194517092,0.0,0.0,34.96508194517092
22,alns_unified,21,21,22,1,True,True,345.1740539479643,1006.7233979599362,0.0,0.0,40.53133134169061,0.0,0.0,40.53133134169061
23,alns_unified,21,21,22,1,True,True,301.7326113633401,1017.6369686681003,0.0,0.0,44.423745877122826,0.0,0.0,44.423745877122826
24,alns_unified,0,0,1,1,True,True,87.12935158792749,606.6440471973659,0.0,0.0,40.46341159149743,0.0,0.0,40.46341159149743
25,alns_unified,4,4,18,14,True,True,710.8225349589131,423.78414316724974,0.0,0.0,35.867800318391104,0.0,0.0,35.867800318391104
26,alns_unified,20,20,20,0,True,True,250.0990928338982,964.514903980234,0.0,1.0,37.75593358611225,0.0,0.0,37.75593358611225
27,alns_unified,2,2,3,1,True,True,533.0107214575098,72.71863585079137,0.0,0.0,41.564524640095016,0.0,0.0,41.564524640095016
28,alns_unified,32,32,33,1,True,True,275.6049990742796,1384.0249275211772,0.0,0.0,44.818906196686726,0.0,0.0,44.818906196686726
29,alns_unified,4,4,17,13,True,True,815.3641265106103,76.92203845452875,0.0,0.0,36.88127320574066,0.0,0.0,36.88127320574066
30,alns_unified,4,4,20,16,True,True,283.29323545691625,477.83365306349026,0.0,0.0,42.15328345908292,0.0,0.0,42.15328345908292
31,alns_unified,79,79,79,0,True,True,348.9270146893605,8.94427190999916,0.0,1.0,38.60139954206909,0.0,0.0,38.60139954206909
32,alns_unified,21,21,22,1,True,True,416.9774466917943,1001.696560840657,0.0,0.0,40.43643726089241,0.0,0.0,40.43643726089241
33,alns_unified,19,19,31,12,True,True,139.0479722574371,1360.5355563159678,0.0,1.0,48.038715583833195,0.0,0.0,48.038715583833195
34,alns_unified,21,21,36,15,True,True,445.36758277812345,21.840329667841555,0.0,0.0,34.26632500790389,0.0,0.0,34.26632500790389
35,alns_unified,2,2,3,1,True,True,311.3916092004299,29.068883707497267,0.0,0.0,35.10315373336539,0.0,0.0,35.10315373336539
36,alns_unified,0,0,1,1,True,True,779.2775035497154,577.0684534784414,0.0,0.0,41.72341161103631,0.0,0.0,41.72341161103631
37,alns_unified,4,4,20,16,True,True,542.4984380227752,474.911570716065,0.0,0.0,35.871045281425694,0.0,0.0,35.871045281425694
38,alns_unified,0,0,1,1,True,True,559.8582289847985,453.22069679130936,0.0,0.0,43.60872136222217,0.0,0.0,43.60872136222217
39,alns_unified,23,23,24,1,True,True,99.27614929399103,212.04952251773642,0.0,0.0,43.32023664636725,0.0,0.0,43.32023664636725
40,alns_unified,0,0,1,1,True,True,524.7355623210386,744.5864624071539,0.0,0.0,35.801129508570654,0.0,0.0,35.801129508570654
41,alns_unified,2,2,3,1,True,True,581.7308376671722,426.1267417095529,0.0,0.0,38.13351799514701,0.0,0.0,38.13351799514701
42,alns_unified,0,0,1,1,True,True,311.6471306766417,1183.1758111117722,0.0,0.0,43.36673895984652,0.0,0.0,43.36673895984652
43,alns_unified,79,79,79,0,True,True,229.49742014667675,29.068883707497267,0.0,1.0,40.00618684635336,0.0,0.0,40.00618684635336
44,alns_unified,23,23,24,1,True,True,367.9693196323787,196.88067452139634,0.0,0.0,43.983729376017244,0.0,0.0,43.983729376017244
45,alns_unified,79,24,79,0,True,True,174.90031598721544,1511.5756679703468,0.0,12.0,48.74621307813058,0.0,0.0,48.74621307813058
46,alns_unified,0,0,1,1,True,True,384.73180196309323,1258.8836324299398,0.0,0.0,45.6479052595261,0.0,0.0,45.6479052595261
47,alns_unified,0,0,1,1,True,True,304.5355033131124,619.588573167711,0.0,0.0,40.841300432980454,0.0,0.0,40.841300432980454
48,alns_unified,2,2,3,1,True,True,444.62969009861365,23.53720459187964,0.0,0.0,34.262318748095346,0.0,0.0,34.262318748095346
49,alns_unified,21,21,21,0,True,True,830.4382070838122,1084.0779492268994,0.0,1.0,42.54102510265731,0.0,0.0,42.54102510265731
50,alns_unified,4,4,20,16,True,True,464.8300611073987,471.4244372113096,0.0,0.0,37.6933482150467,0.0,0.0,37.6933482150467
