step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,233.62593163634662,0.0,0.0,233.62593163634662
1,2,40,10,0,6795.51543815561,0.0,6795.51543815561,421.35004068202556,0.0,0.0,421.35004068202556
2,3,40,10,0,6795.51543815561,0.0,6795.51543815561,610.9449321842264,0.0,0.0,610.9449321842264
3,4,30,20,5,8850.798288979671,0.0,8850.798288979671,787.2097515813302,0.0,0.0,787.2097515813302
4,5,30,20,5,8850.798288979671,10.0,8860.798288979671,787.2097515813302,0.5,10.0,797.7097515813302
5,6,30,20,5,8850.798288979671,40.0,8890.798288979671,787.2097515813302,2.0,20.0,809.2097515813302
6,7,30,20,5,8850.798288979671,70.0,8920.798288979671,787.2097515813302,3.5,30.0,820.7097515813302
7,8,30,20,5,8850.798288979671,100.0,8950.798288979671,787.2097515813302,5.0,40.0,832.2097515813302
8,9,30,20,5,8850.798288979671,130.0,8980.798288979671,787.2097515813302,6.5,50.0,843.7097515813302
9,10,30,20,5,8850.798288979671,160.0,9010.798288979671,787.2097515813302,8.0,60.0,855.2097515813302
10,11,30,20,10,8850.798288979671,190.0,9040.798288979671,903.7793206316854,9.5,70.0,983.2793206316853
11,12,30,20,10,8850.798288979671,220.0,9070.798288979671,903.7793206316854,11.0,90.0,1004.7793206316853
12,13,30,20,10,8850.798288979671,250.0,9100.798288979671,903.7793206316854,12.5,110.0,1026.2793206316853
13,14,30,20,10,8850.798288979671,280.0,9130.798288979671,903.7793206316854,14.0,130.0,1047.7793206316853
14,15,30,20,10,8850.798288979671,310.0,9160.798288979671,903.7793206316854,15.5,150.0,1069.2793206316853
15,16,30,20,10,8850.798288979671,360.0,9210.798288979671,903.7793206316854,18.0,170.0,1091.7793206316853
16,17,30,20,10,8850.798288979671,410.0,9260.798288979671,903.7793206316854,20.5,190.0,1114.2793206316853
