task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,25,14,27,2,True,True,599.4733667333736,453.2240064250789,0.0,11.0,35.19263858484447,0.0,0.0,35.19263858484447
2,alns_unified,26,14,28,2,True,True,86.73921283003583,1528.2751715577924,0.0,11.0,52.12090404019826,0.0,0.0,52.12090404019826
3,alns_unified,82,82,82,0,True,True,208.91512428769346,1369.4119175763003,0.0,1.0,44.08339110124405,0.0,0.0,44.08339110124405
4,alns_unified,13,13,13,0,True,True,386.9977440299273,418.1506905411015,0.0,1.0,42.87613875532377,0.0,0.0,42.87613875532377
5,alns_unified,82,82,82,0,True,True,677.7047569974563,1035.4520751826228,0.0,1.0,43.80280355142052,0.0,0.0,43.80280355142052
6,alns_unified,13,13,13,0,True,True,629.904947842217,6.708203932499369,0.0,1.0,41.68149886136495,0.0,0.0,41.68149886136495
7,alns_unified,13,13,13,0,True,True,755.7832068961405,1405.159065728859,0.0,1.0,44.54026715365687,0.0,0.0,44.54026715365687
8,alns_unified,67,66,80,13,True,True,689.8253385473718,613.205512043067,0.0,1.0,37.15756834972978,0.0,0.0,37.15756834972978
9,alns_unified,50,50,50,0,True,True,853.0823332976648,53.71219600798314,0.0,1.0,34.84202595953715,0.0,0.0,34.84202595953715
10,alns_unified,15,15,30,15,True,True,518.0882452355844,1238.45871953812,0.0,1.0,52.15911211801264,0.0,0.0,52.15911211801264
11,alns_unified,13,13,13,0,True,True,273.16066394620174,1392.9895907723073,0.0,1.0,43.644018046517985,0.0,0.0,43.644018046517985
12,alns_unified,11,11,11,0,True,True,838.0575312291332,930.7486234209535,0.0,11.0,45.318744498025566,0.0,0.0,45.318744498025566
13,alns_unified,13,13,13,0,True,True,572.596460382932,1378.8923090655048,0.0,1.0,39.83889865557454,0.0,0.0,39.83889865557454
14,alns_unified,13,13,13,0,True,True,916.9345743285885,434.6872438892128,0.0,1.0,45.308011991110675,0.0,0.0,45.308011991110675
15,alns_unified,50,50,50,0,True,True,387.9235577090001,1016.8269272595018,0.0,1.0,42.32988281423219,0.0,0.0,42.32988281423219
16,alns_unified,50,50,50,0,True,True,153.84807243037352,432.17241929581763,0.0,1.0,40.46101502766727,0.0,0.0,40.46101502766727
17,alns_unified,50,50,50,0,True,True,400.1056842111069,566.0830327787612,0.0,1.0,35.25238898223036,0.0,0.0,35.25238898223036
18,alns_unified,82,82,82,0,True,True,607.5250543323709,517.189520388803,0.0,1.0,41.75679510382432,0.0,0.0,41.75679510382432
19,alns_unified,11,11,11,0,True,True,578.9929076496989,1025.21997639531,0.0,11.0,38.2940614309,0.0,0.0,38.2940614309
20,alns_unified,15,15,30,15,True,True,528.8731905853873,217.3131381210073,0.0,1.0,44.16955935032217,0.0,0.0,44.16955935032217
21,alns_unified,11,11,11,0,True,True,457.38822351408277,821.3531518171706,0.0,11.0,39.778816523691674,0.0,0.0,39.778816523691674
22,alns_unified,50,50,50,0,True,True,345.1740539479643,67.72001181334805,0.0,1.0,34.6685255008162,0.0,0.0,34.6685255008162
23,alns_unified,25,14,27,2,True,True,301.7326113633401,988.9959555023469,0.0,11.0,44.231844918324086,0.0,0.0,44.231844918324086
24,alns_unified,11,11,11,0,True,True,87.12935158792749,557.9041136252716,0.0,11.0,40.144226872446964,0.0,0.0,40.144226872446964
25,alns_unified,82,82,82,0,True,True,710.8225349589131,1046.0846046090153,0.0,1.0,39.67135275545412,0.0,0.0,39.67135275545412
26,alns_unified,27,14,29,2,True,True,250.0990928338982,1506.175620570191,0.0,11.0,40.97440010292796,0.0,0.0,40.97440010292796
27,alns_unified,11,11,11,0,True,True,533.0107214575098,440.4406884019686,0.0,11.0,44.200145032621116,0.0,0.0,44.200145032621116
28,alns_unified,50,50,50,0,True,True,275.6049990742796,646.6436422017927,0.0,1.0,40.05201817213378,0.0,0.0,40.05201817213378
29,alns_unified,11,11,11,0,True,True,815.3641265106103,1689.229706108675,0.0,11.0,47.41531097477529,0.0,0.0,47.41531097477529
30,alns_unified,50,50,50,0,True,True,283.29323545691625,1017.6369686681003,0.0,1.0,45.862824011237365,0.0,0.0,45.862824011237365
31,alns_unified,100,67,100,0,True,True,348.9270146893605,1423.7409846590383,0.0,2.0,86.8009420372098,0.0,0.0,86.8009420372098
32,alns_unified,50,50,50,0,True,True,416.9774466917943,603.5304466222065,0.0,1.0,37.95345320066657,0.0,0.0,37.95345320066657
33,alns_unified,13,13,13,0,True,True,139.0479722574371,1356.7704301023073,0.0,1.0,48.012919503302285,0.0,0.0,48.012919503302285
34,alns_unified,26,14,28,2,True,True,445.36758277812345,1514.6382406370176,0.0,11.0,43.56341728147969,0.0,0.0,43.56341728147969
35,alns_unified,82,67,82,0,True,True,311.3916092004299,560.6314031122522,0.0,12.0,73.38967796146,0.0,0.0,73.38967796146
