timestamp,sender,receiver,message_type,content
0,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 14
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 14
0,Control Center,UAV 6,TASK_ASSIGNMENT,Assign task 1
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 1
0,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 46
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 46
0,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 29
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 29
0,Control Center,UAV 10,TASK_ASSIGNMENT,Assign task 50
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 50
0,Control Center,UAV 8,TASK_ASSIGNMENT,Assign task 19
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 19
0,Control Center,UAV 7,TASK_ASSIGNMENT,Assign task 24
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 24
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 37
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 37
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 21
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 21
0,Control Center,UAV 9,TASK_ASSIGNMENT,Assign task 6
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 6
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 14
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 1
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 46
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 29
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 50
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 19
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 24
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 37
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 21
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 6
11,UAV 1,Control Center,TASK_COMPLETE,Complete task 21
11,UAV 2,Control Center,TASK_COMPLETE,Complete task 37
11,UAV 3,Control Center,TASK_COMPLETE,Complete task 14
11,UAV 4,Control Center,TASK_COMPLETE,Complete task 46
11,UAV 5,Control Center,TASK_COMPLETE,Complete task 29
11,UAV 6,Control Center,TASK_COMPLETE,Complete task 1
11,UAV 7,Control Center,TASK_COMPLETE,Complete task 24
11,UAV 8,Control Center,TASK_COMPLETE,Complete task 19
11,UAV 9,Control Center,TASK_COMPLETE,Complete task 6
11,UAV 10,Control Center,TASK_COMPLETE,Complete task 50
12,Control Center,UAV 6,TASK_ASSIGNMENT,Assign task 7
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 7
12,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 42
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 42
12,Control Center,UAV 7,TASK_ASSIGNMENT,Assign task 13
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 13
12,Control Center,UAV 10,TASK_ASSIGNMENT,Assign task 26
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 26
12,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 11
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 11
12,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 2
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 2
12,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 20
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 20
12,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 33
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 33
12,Control Center,UAV 9,TASK_ASSIGNMENT,Assign task 38
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 38
12,Control Center,UAV 8,TASK_ASSIGNMENT,Assign task 49
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 49
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 7
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 42
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 13
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 26
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 11
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 2
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 20
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 33
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 38
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 49
12,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.6%"
12,Control Center,AGV 4,CHARGING_COMMAND,Charge UAV 3
12,AGV 4,UAV 3,CHARGING_START,Start charging
13,UAV 1,Control Center,TASK_COMPLETE,Complete task 11
13,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.8%"
13,Control Center,AGV 5,CHARGING_COMMAND,Charge UAV 1
13,AGV 5,UAV 1,CHARGING_START,Start charging
13,UAV 2,Control Center,TASK_COMPLETE,Complete task 33
13,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.0%"
13,Control Center,AGV 5,CHARGING_COMMAND,Charge UAV 2
13,AGV 5,UAV 2,CHARGING_START,Start charging
13,UAV 4,Control Center,TASK_COMPLETE,Complete task 2
13,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 14.2%"
13,Control Center,AGV 3,CHARGING_COMMAND,Charge UAV 4
13,AGV 3,UAV 4,CHARGING_START,Start charging
13,UAV 5,Control Center,TASK_COMPLETE,Complete task 42
13,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.4%"
13,Control Center,AGV 3,CHARGING_COMMAND,Charge UAV 5
13,AGV 3,UAV 5,CHARGING_START,Start charging
13,UAV 6,Control Center,TASK_COMPLETE,Complete task 7
13,UAV 6,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.3%"
13,Control Center,AGV 5,CHARGING_COMMAND,Charge UAV 6
13,AGV 5,UAV 6,CHARGING_START,Start charging
13,UAV 7,Control Center,TASK_COMPLETE,Complete task 13
13,UAV 7,Control Center,LOW_BATTERY,Battery level: 20.4%
13,UAV 8,Control Center,TASK_COMPLETE,Complete task 49
13,UAV 8,Control Center,CHARGING_REQUEST,"Request charging, battery: 16.0%"
13,Control Center,AGV 3,CHARGING_COMMAND,Charge UAV 8
13,AGV 3,UAV 8,CHARGING_START,Start charging
13,UAV 9,Control Center,TASK_COMPLETE,Complete task 38
13,UAV 9,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.6%"
13,Control Center,AGV 3,CHARGING_COMMAND,Charge UAV 9
13,AGV 3,UAV 9,CHARGING_START,Start charging
13,UAV 10,Control Center,TASK_COMPLETE,Complete task 26
13,UAV 10,Control Center,LOW_BATTERY,Battery level: 27.2%
