step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,AGV_MOVE_START,14,,1,620,1420,AGV starts moving to relay point
0,0,TASK_ASSIGNED,14,3,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,14,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,1,6,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,1,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,46,4,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,46,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,29,5,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,29,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,50,10,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,50,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,19,8,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,19,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,24,7,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,24,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,37,2,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,37,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,21,1,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,21,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,6,9,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,6,,1,,,Relay support requested for task
0,0,RELAY_REQUEST,14,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,1,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,46,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,29,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,50,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,19,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,24,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,37,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,21,,,,,Relay via AGV 1
