step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,50,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,50,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,50,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,50,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,50,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,50,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,50,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
8,9,50,0,0,0.0,90.0,90.0,0.0,4.5,0.0,4.5
9,10,50,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
10,11,50,0,0,0.0,110.0,110.0,235.33035095703787,5.5,0.0,240.83035095703787
11,12,40,10,0,8324.120179884289,120.0,8444.120179884289,417.2146916017192,6.0,0.0,423.2146916017192
12,13,40,10,0,8324.120179884289,140.0,8464.120179884289,660.1482132812708,7.0,0.0,667.1482132812708
13,14,30,20,7,17514.409296000576,160.0,17674.409296000576,843.076295154453,8.0,0.0,851.076295154453
14,15,30,20,10,17514.409296000576,190.0,17704.409296000576,919.051454054286,9.5,14.0,942.551454054286
15,16,30,20,10,17514.409296000576,230.0,17744.409296000576,919.051454054286,11.5,34.0,964.551454054286
16,17,30,20,10,17514.409296000576,280.0,17794.409296000576,919.051454054286,14.0,54.0,987.051454054286
17,18,30,20,10,17514.409296000576,330.0,17844.409296000576,919.051454054286,16.5,74.0,1009.551454054286
18,19,30,20,10,17514.409296000576,380.0,17894.409296000576,919.051454054286,19.0,94.0,1032.0514540542858
19,20,30,20,10,17514.409296000576,430.0,17944.409296000576,919.051454054286,21.5,114.0,1054.5514540542858
20,21,30,20,10,17514.409296000576,480.0,17994.409296000576,919.051454054286,24.0,134.0,1077.0514540542858
21,22,30,20,10,17514.409296000576,530.0,18044.409296000576,919.051454054286,26.5,154.0,1099.5514540542858
22,23,30,20,10,17514.409296000576,580.0,18094.409296000576,919.051454054286,29.0,174.0,1122.0514540542858
23,24,30,20,10,17514.409296000576,630.0,18144.409296000576,919.051454054286,31.5,194.0,1144.5514540542858
24,25,30,20,10,17514.409296000576,680.0,18194.409296000576,919.051454054286,34.0,214.0,1167.0514540542858
25,26,30,20,10,17514.409296000576,730.0,18244.409296000576,919.051454054286,36.5,234.0,1189.5514540542858
26,27,30,20,10,17514.409296000576,780.0,18294.409296000576,919.051454054286,39.0,254.0,1212.0514540542858
27,28,30,20,10,17514.409296000576,830.0,18344.409296000576,919.051454054286,41.5,266.0,1226.5514540542858
28,29,30,20,10,17514.409296000576,880.0,18394.409296000576,919.051454054286,44.0,276.0,1239.0514540542858
29,30,30,20,10,17514.409296000576,930.0,18444.409296000576,919.051454054286,46.5,282.0,1247.5514540542858
30,31,27,23,10,20698.89107600439,980.0,21678.89107600439,974.0853841910753,49.0,288.0,1311.0853841910753
31,32,27,23,10,20698.89107600439,1030.0,21728.89107600439,974.0853841910753,51.5,288.0,1313.5853841910753
32,33,27,23,10,20698.89107600439,1080.0,21778.89107600439,974.0853841910753,54.0,288.0,1316.0853841910753
33,34,27,23,10,20698.89107600439,1130.0,21828.89107600439,974.0853841910753,56.5,288.0,1318.5853841910753
34,35,27,23,10,20698.89107600439,1180.0,21878.89107600439,974.0853841910753,59.0,288.0,1321.0853841910753
35,36,27,23,10,20698.89107600439,1230.0,21928.89107600439,974.0853841910753,61.5,288.0,1323.5853841910753
36,37,27,23,10,20698.89107600439,1280.0,21978.89107600439,974.0853841910753,64.0,288.0,1326.0853841910753
37,38,27,23,10,20698.89107600439,1330.0,22028.89107600439,974.0853841910753,66.5,288.0,1328.5853841910753
38,39,27,23,10,20698.89107600439,1380.0,22078.89107600439,974.0853841910753,69.0,288.0,1331.0853841910753
39,40,27,23,10,20698.89107600439,1430.0,22128.89107600439,974.0853841910753,71.5,288.0,1333.5853841910753
40,41,27,23,10,20698.89107600439,1477.4530647816996,22176.344140786092,974.0853841910753,73.87265323908498,288.0,1335.9580374301602
41,42,27,23,10,20698.89107600439,1527.4530647816996,22226.344140786092,1089.9051420434623,76.37265323908498,288.0,1454.2777952825472
42,43,24,26,10,23929.619923574934,1577.4530647816996,25507.072988356635,1183.5244229396155,78.87265323908498,288.0,1550.3970761787004
43,44,24,26,10,23929.619923574934,1627.4530647816996,25557.072988356635,1183.5244229396155,81.37265323908498,288.0,1552.8970761787004
44,45,24,26,12,23929.619923574934,1670.646625904303,25600.266549479238,1183.5244229396155,83.53233129521514,288.0,1555.0567542348306
45,46,24,26,12,23929.619923574934,1720.646625904303,25650.266549479238,1374.869598582497,86.03233129521514,292.0,1752.901929877712
46,47,19,31,12,29713.292097425685,1770.646625904303,31483.93872332999,1527.1049060702946,88.53233129521514,296.0,1911.6372373655097
47,48,19,31,12,29713.292097425685,1820.646625904303,31533.93872332999,1527.1049060702946,91.03233129521514,300.0,1918.1372373655097
48,49,19,31,12,29713.292097425685,1870.646625904303,31583.93872332999,1527.1049060702946,93.53233129521514,304.0,1924.6372373655097
49,50,19,31,12,29713.292097425685,1920.646625904303,31633.93872332999,1527.1049060702946,96.03233129521514,308.0,1931.1372373655097
50,51,19,31,12,29713.292097425685,1970.646625904303,31683.93872332999,1527.1049060702946,98.53233129521514,312.0,1937.6372373655097
51,52,19,31,12,29713.292097425685,2020.646625904303,31733.93872332999,1527.1049060702946,101.03233129521514,316.0,1944.1372373655097
52,53,19,31,12,29713.292097425685,2070.6466259043027,31783.938723329986,1527.1049060702946,103.53233129521514,320.0,1950.6372373655097
53,54,19,31,12,29713.292097425685,2120.6466259043027,31833.938723329986,1527.1049060702946,106.03233129521514,324.0,1957.1372373655097
54,55,19,31,12,29713.292097425685,2170.6466259043027,31883.938723329986,1527.1049060702946,108.53233129521514,328.0,1963.6372373655097
55,56,19,31,12,29713.292097425685,2220.6466259043027,31933.938723329986,1527.1049060702946,111.03233129521514,332.0,1970.1372373655097
56,57,19,31,12,29713.292097425685,2270.6466259043027,31983.938723329986,1527.1049060702946,113.53233129521514,336.0,1976.6372373655097
57,58,19,31,12,29713.292097425685,2320.6466259043027,32033.938723329986,1527.1049060702946,116.03233129521514,340.0,1983.1372373655097
58,59,19,31,12,29713.292097425685,2370.6466259043027,32083.938723329986,1527.1049060702946,118.53233129521514,342.0,1987.6372373655097
59,60,19,31,12,29713.292097425685,2420.6466259043027,32133.938723329986,1527.1049060702946,121.03233129521514,342.0,1990.1372373655097
60,61,19,31,12,29713.292097425685,2470.6466259043027,32183.938723329986,1527.1049060702946,123.53233129521514,342.0,1992.6372373655097
61,62,19,31,15,29713.292097425685,2510.924802662663,32224.216900088348,1527.1049060702946,125.54624013313314,342.0,1994.6511462034277
62,63,19,31,15,29713.292097425685,2560.924802662663,32274.216900088348,1635.6038746078302,128.04624013313315,348.0,2111.650114740963
63,64,14,36,15,33581.05752583925,2610.924802662663,36191.98232850191,1720.0884366155767,130.54624013313315,354.0,2204.6346767487094
64,65,14,36,15,33581.05752583925,2660.924802662663,36241.98232850191,1720.0884366155767,133.04624013313315,360.0,2213.1346767487094
65,66,14,36,15,33581.05752583925,2710.924802662663,36291.98232850191,1720.0884366155767,135.54624013313315,366.0,2221.6346767487094
66,67,14,36,15,33581.05752583925,2760.924802662663,36341.98232850191,1720.0884366155767,138.04624013313315,372.0,2230.1346767487094
67,68,14,36,15,33581.05752583925,2810.924802662663,36391.98232850191,1720.0884366155767,140.54624013313315,378.0,2238.6346767487094
68,69,14,36,15,33581.05752583925,2860.924802662663,36441.98232850191,1720.0884366155767,143.04624013313315,384.0,2247.1346767487094
69,70,14,36,15,33581.05752583925,2910.924802662663,36491.98232850191,1720.0884366155767,145.54624013313315,390.0,2255.6346767487094
70,71,14,36,15,33581.05752583925,2960.924802662663,36541.98232850191,1720.0884366155767,148.04624013313315,396.0,2264.1346767487094
71,72,14,36,20,33581.05752583925,3008.3648428399956,36589.42236867925,1720.0884366155767,150.4182421419998,402.0,2272.506678757576
72,73,14,36,20,33581.05752583925,3058.3648428399956,36639.42236867925,1720.0884366155767,152.9182421419998,418.0,2291.006678757576
73,74,14,36,20,33581.05752583925,3108.3648428399956,36689.42236867925,1720.0884366155767,155.4182421419998,434.0,2309.506678757576
74,75,14,36,20,33581.05752583925,3158.3648428399956,36739.42236867925,1720.0884366155767,157.9182421419998,450.0,2328.006678757576
75,76,14,36,20,33581.05752583925,3208.3648428399956,36789.42236867925,1720.0884366155767,160.4182421419998,466.0,2346.506678757576
76,77,14,36,20,33581.05752583925,3253.632104740844,36834.68963058009,1720.0884366155767,162.68160523704222,482.0,2364.7700418526183
77,78,14,36,20,33581.05752583925,3303.632104740844,36884.68963058009,1758.055497023191,165.18160523704222,496.0,2419.2371022602324
78,79,12,38,20,33678.218531406885,3353.632104740844,37031.85063614773,1795.3755345448862,167.68160523704222,506.0,2469.0571397819276
79,80,12,38,20,33678.218531406885,3403.632104740844,37081.85063614773,1795.3755345448862,170.18160523704222,516.0,2481.5571397819276
80,81,12,38,20,33678.218531406885,3453.632104740844,37131.85063614773,1795.3755345448862,172.68160523704222,526.0,2494.0571397819276
81,82,12,38,20,33678.218531406885,3503.632104740844,37181.85063614773,1795.3755345448862,175.18160523704222,536.0,2506.5571397819276
