step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,24,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,42,7,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,38,8,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,10,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,47,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,6,6,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,46,10,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,36,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,40,9,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,17,3,,,,Task assigned to UAV
0,0,TASK_START,6,6,,,,Task starts execution
0,0,TASK_START,10,2,,,,Task starts execution
0,0,TASK_START,17,3,,,,Task starts execution
0,0,TASK_START,24,1,,,,Task starts execution
0,0,TASK_START,36,4,,,,Task starts execution
0,0,TASK_START,38,8,,,,Task starts execution
0,0,TASK_START,40,9,,,,Task starts execution
0,0,TASK_START,42,7,,,,Task starts execution
0,0,TASK_START,46,10,,,,Task starts execution
0,0,TASK_START,47,5,,,,Task starts execution
1,1,TASK_COMPLETE,24,1,,,,
1,1,TASK_COMPLETE,10,2,,,,
1,1,TASK_COMPLETE,17,3,,,,
1,1,TASK_COMPLETE,36,4,,,,
1,1,TASK_COMPLETE,47,5,,,,
1,1,TASK_COMPLETE,6,6,,,,
1,1,TASK_COMPLETE,42,7,,,,
1,1,TASK_COMPLETE,38,8,,,,
1,1,TASK_COMPLETE,40,9,,,,
1,1,TASK_COMPLETE,46,10,,,,
2,2,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,4,6,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,3,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,8,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,48,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,10,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,27,9,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,35,8,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,41,5,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,16,7,,,,Task assigned to UAV
2,2,TASK_START,1,1,,,,Task starts execution
2,2,TASK_START,4,6,,,,Task starts execution
2,2,TASK_START,8,2,,,,Task starts execution
2,2,TASK_START,9,3,,,,Task starts execution
2,2,TASK_START,16,7,,,,Task starts execution
2,2,TASK_START,19,10,,,,Task starts execution
2,2,TASK_START,27,9,,,,Task starts execution
2,2,TASK_START,35,8,,,,Task starts execution
2,2,TASK_START,41,5,,,,Task starts execution
2,2,TASK_START,48,4,,,,Task starts execution
2,2,LOW_BATTERY,,6,,,,
3,3,TASK_COMPLETE,1,1,,,,
3,3,TASK_COMPLETE,8,2,,,,
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,CHARGING_START,,2,1,811,1043,Charging started
3,3,TASK_COMPLETE,9,3,,,,
3,3,LOW_BATTERY,,3,,,,
3,3,TASK_COMPLETE,48,4,,,,
3,3,LOW_BATTERY,,4,,,,
3,3,TASK_COMPLETE,41,5,,,,
3,3,LOW_BATTERY,,5,,,,
3,3,TASK_COMPLETE,4,6,,,,
3,3,CHARGING_REQUEST,,6,,,,UAV requests charging
3,3,CHARGING_START,,6,4,1124,1400,Charging started
3,3,TASK_COMPLETE,16,7,,,,
3,3,LOW_BATTERY,,7,,,,
3,3,TASK_COMPLETE,35,8,,,,
3,3,CHARGING_REQUEST,,8,,,,UAV requests charging
3,3,CHARGING_START,,8,1,820,1087,Charging started
3,3,TASK_COMPLETE,27,9,,,,
3,3,LOW_BATTERY,,9,,,,
3,3,TASK_COMPLETE,19,10,,,,
3,3,LOW_BATTERY,,10,,,,
4,4,AGV_MOVE_START,20,,1,620,1420,AGV starts moving to relay point
4,4,TASK_ASSIGNED,20,10,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,20,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,50,8,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,50,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,11,5,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,11,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,29,9,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,29,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,37,4,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,37,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,2,7,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,2,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,33,3,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,33,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,21,6,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,21,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,49,2,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,49,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,7,1,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,7,,1,,,Relay support requested for task
4,4,RELAY_REQUEST,20,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,50,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,11,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,29,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,37,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,2,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,33,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,21,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,49,,,,,Relay via AGV 1
4,4,RELAY_REQUEST,7,,,,,Relay via AGV 1
4,4,WAIT_FOR_AGV_START,2,7,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,7,1,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,11,5,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,20,10,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,21,6,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,29,9,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,33,3,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,37,4,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,49,2,,,,Task starts waiting for AGV
4,4,WAIT_FOR_AGV_START,50,8,,,,Task starts waiting for AGV
4,4,LOW_BATTERY,,3,,,,
4,4,LOW_BATTERY,,4,,,,
4,4,LOW_BATTERY,,5,,,,
4,4,LOW_BATTERY,,7,,,,
4,4,LOW_BATTERY,,9,,,,
4,4,LOW_BATTERY,,10,,,,
5,5,AGV_MOVE_START,21,,4,1568,1415,AGV starts moving to relay point
5,5,RELAY_RESELECTED,21,,,,,Reselected relay: low_battery
5,5,LOW_BATTERY,,3,,,,
