step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,231.12226079342148,0.0,0.0,231.12226079342148
1,2,40,10,0,6776.674322833377,0.0,6776.674322833377,417.33613702347094,0.0,0.0,417.33613702347094
2,3,40,10,0,6776.674322833377,0.0,6776.674322833377,608.3964766560748,0.0,0.0,608.3964766560748
3,4,30,20,3,8821.913806104498,0.0,8821.913806104498,786.1715288688081,0.0,0.0,786.1715288688081
4,5,30,20,3,8821.913806104498,10.0,8831.913806104498,786.1715288688081,0.5,6.0,792.6715288688081
5,6,30,20,3,8821.913806104498,30.0,8851.913806104498,786.1715288688081,1.5,12.0,799.6715288688081
6,7,30,20,3,8821.913806104498,60.0,8881.913806104498,786.1715288688081,3.0,18.0,807.1715288688081
7,8,30,20,3,8821.913806104498,90.0,8911.913806104498,786.1715288688081,4.5,24.0,814.6715288688081
8,9,30,20,3,8821.913806104498,120.0,8941.913806104498,786.1715288688081,6.0,30.0,822.1715288688081
9,10,30,20,3,8821.913806104498,150.0,8971.913806104498,786.1715288688081,7.5,36.0,829.6715288688081
10,11,30,20,10,8821.913806104498,180.0,9001.913806104498,962.6048737494483,9.0,42.0,1013.6048737494483
11,12,30,20,10,8821.913806104498,210.0,9031.913806104498,962.6048737494483,10.5,62.0,1035.1048737494484
12,13,30,20,10,8821.913806104498,240.0,9061.913806104498,962.6048737494483,12.0,82.0,1056.6048737494484
13,14,30,20,10,8821.913806104498,270.0,9091.913806104498,962.6048737494483,13.5,102.0,1078.1048737494484
14,15,30,20,10,8821.913806104498,300.0,9121.913806104498,962.6048737494483,15.0,122.0,1099.6048737494484
15,16,30,20,10,8821.913806104498,340.0,9161.913806104498,962.6048737494483,17.0,142.0,1121.6048737494484
16,17,30,20,10,8821.913806104498,380.0,9201.913806104498,962.6048737494483,19.0,162.0,1143.6048737494484
17,18,30,20,10,8821.913806104498,430.0,9251.913806104498,962.6048737494483,21.5,178.0,1162.1048737494484
18,19,30,20,10,8821.913806104498,480.0,9301.913806104498,962.6048737494483,24.0,194.0,1180.6048737494484
19,20,30,20,10,8821.913806104498,530.0,9351.913806104498,962.6048737494483,26.5,208.0,1197.1048737494484
20,21,30,20,10,8821.913806104498,580.0,9401.913806104498,962.6048737494483,29.0,222.0,1213.6048737494484
21,22,30,20,10,8821.913806104498,630.0,9451.913806104498,962.6048737494483,31.5,236.0,1230.1048737494484
22,23,30,20,10,8821.913806104498,680.0,9501.913806104498,1004.2439635518166,34.0,250.0,1288.2439635518167
23,24,28,22,10,9840.307934206132,730.0,10570.307934206132,1039.391946567124,36.5,264.0,1339.8919465671243
24,25,28,22,10,9840.307934206132,780.0,10620.307934206132,1057.0520668449685,39.0,278.0,1374.0520668449687
25,26,26,24,10,11116.194434454519,830.0,11946.194434454519,1092.1185456264109,41.5,292.0,1425.618545626411
26,27,20,30,10,16658.682711131463,880.0,17538.682711131463,1306.953994769993,44.0,304.0,1654.9539947699932
27,28,16,34,10,20836.693925535823,930.0,21766.693925535823,1399.2192371238189,46.5,304.0,1749.7192371238189
28,29,15,35,10,20891.839188251673,980.0,21871.839188251673,1416.884860821885,49.0,304.0,1769.884860821885
29,30,15,35,10,20891.839188251673,1030.0,21921.839188251673,1416.884860821885,51.5,304.0,1772.384860821885
30,31,15,35,10,20891.839188251673,1080.0,21971.839188251673,1416.884860821885,54.0,304.0,1774.884860821885
31,32,15,35,10,20891.839188251673,1130.0,22021.839188251673,1416.884860821885,56.5,304.0,1777.384860821885
32,33,15,35,10,20891.839188251673,1180.0,22071.839188251673,1416.884860821885,59.0,304.0,1779.884860821885
33,34,15,35,10,20891.839188251673,1230.0,22121.839188251673,1416.884860821885,61.5,304.0,1782.384860821885
34,35,15,35,10,20891.839188251673,1280.0,22171.839188251673,1416.884860821885,64.0,304.0,1784.884860821885
35,36,15,35,10,20891.839188251673,1330.0,22221.839188251673,1416.884860821885,66.5,304.0,1787.384860821885
36,37,15,35,10,20891.839188251673,1380.0,22271.839188251673,1416.884860821885,69.0,304.0,1789.884860821885
37,38,15,35,10,20891.839188251673,1430.0,22321.839188251673,1416.884860821885,71.5,304.0,1792.384860821885
38,39,15,35,10,20891.839188251673,1480.0,22371.839188251673,1416.884860821885,74.0,304.0,1794.884860821885
39,40,15,35,10,20891.839188251673,1530.0,22421.839188251673,1416.884860821885,76.5,304.0,1797.384860821885
40,41,15,35,10,20891.839188251673,1580.0,22471.839188251673,1416.884860821885,79.0,304.0,1799.884860821885
41,42,15,35,10,20891.839188251673,1630.0,22521.839188251673,1416.884860821885,81.5,304.0,1802.384860821885
42,43,15,35,10,20891.839188251673,1680.0,22571.839188251673,1416.884860821885,84.0,304.0,1804.884860821885
43,44,15,35,10,20891.839188251673,1730.0,22621.839188251673,1416.884860821885,86.5,304.0,1807.384860821885
44,45,15,35,10,20891.839188251673,1780.0,22671.839188251673,1416.884860821885,89.0,304.0,1809.884860821885
45,46,15,35,10,20891.839188251673,1830.0,22721.839188251673,1416.884860821885,91.5,304.0,1812.384860821885
46,47,15,35,10,20891.839188251673,1880.0,22771.839188251673,1416.884860821885,94.0,304.0,1814.884860821885
47,48,15,35,10,20891.839188251673,1930.0,22821.839188251673,1416.884860821885,96.5,304.0,1817.384860821885
48,49,15,35,13,20891.839188251673,1978.9191269470948,22870.758315198767,1416.884860821885,98.94595634735474,304.0,1819.8308171692397
49,50,15,35,13,20891.839188251673,2028.9191269470948,22920.758315198767,1584.8367933319262,101.44595634735474,310.0,1996.2827496792809
50,51,8,42,13,27439.569535931532,2078.919126947095,29518.488662878626,1710.5399021433977,103.94595634735474,316.0,2130.4858584907524
51,52,8,42,13,27439.569535931532,2128.919126947095,29568.488662878626,1780.5998880129248,106.44595634735474,322.0,2209.0458443602797
52,53,5,45,13,28737.007700603324,2178.919126947095,30915.92682755042,1841.234041545604,108.94595634735474,328.0,2278.179997892959
53,54,5,45,13,28737.007700603324,2228.919126947095,30965.92682755042,1841.234041545604,111.44595634735474,334.0,2286.679997892959
54,55,5,45,13,28737.007700603324,2278.919126947095,31015.92682755042,1841.234041545604,113.94595634735474,340.0,2295.179997892959
55,56,5,45,13,28737.007700603324,2328.919126947095,31065.92682755042,1841.234041545604,116.44595634735474,346.0,2303.679997892959
56,57,5,45,13,28737.007700603324,2378.919126947095,31115.92682755042,1841.234041545604,118.94595634735474,352.0,2312.179997892959
57,58,5,45,13,28737.007700603324,2428.919126947095,31165.92682755042,1841.234041545604,121.44595634735474,358.0,2320.679997892959
58,59,5,45,13,28737.007700603324,2478.919126947095,31215.92682755042,1841.234041545604,123.94595634735474,364.0,2329.179997892959
59,60,5,45,13,28737.007700603324,2528.919126947095,31265.92682755042,1841.234041545604,126.44595634735474,370.0,2337.679997892959
60,61,5,45,13,28737.007700603324,2578.919126947095,31315.92682755042,1841.234041545604,128.94595634735475,376.0,2346.179997892959
61,62,5,45,13,28737.007700603324,2628.919126947095,31365.92682755042,1841.234041545604,131.44595634735475,382.0,2354.679997892959
62,63,5,45,13,28737.007700603324,2678.919126947095,31415.92682755042,1841.234041545604,133.94595634735475,388.0,2363.179997892959
63,64,5,45,13,28737.007700603324,2728.919126947095,31465.92682755042,1870.3834678393976,136.44595634735475,394.0,2400.8294241867525
64,65,4,46,13,30281.248614450644,2778.919126947095,33060.16774139774,1915.8367046084168,138.94595634735475,398.0,2452.7826609557715
65,66,3,47,13,31629.309814841785,2828.919126947095,34458.22894178888,1933.7725617639055,141.44595634735475,398.0,2473.21851811126
66,67,3,47,13,31629.309814841785,2878.919126947095,34508.22894178888,1933.7725617639055,143.94595634735475,398.0,2475.71851811126
67,68,3,47,13,31629.309814841785,2928.919126947095,34558.22894178888,1933.7725617639055,146.44595634735475,398.0,2478.21851811126
68,69,3,47,13,31629.309814841785,2978.919126947095,34608.22894178888,1933.7725617639055,148.94595634735475,398.0,2480.71851811126
69,70,3,47,19,31629.309814841785,3020.8764039840794,34650.18621882587,1933.7725617639055,151.04382019920396,398.0,2482.816381963109
70,71,3,47,19,31629.309814841785,3070.8764039840794,34700.18621882587,2009.499140900864,153.54382019920396,410.0,2573.0429611000673
71,72,0,50,19,34750.787206729256,3120.8764039840794,37871.66361071334,2064.695966245374,156.04382019920396,422.0,2642.7397864445775
72,73,0,50,19,34750.787206729256,3170.8764039840794,37921.66361071334,2064.695966245374,158.54382019920396,434.0,2657.2397864445775
73,74,0,50,19,34750.787206729256,3220.8764039840794,37971.66361071334,2064.695966245374,161.04382019920396,446.0,2671.7397864445775
74,75,0,50,22,34750.787206729256,3261.129509454341,38011.916716183594,2064.695966245374,163.05647547271704,458.0,2685.7524417180907
75,76,0,50,22,34750.787206729256,3301.129509454341,38051.916716183594,2064.695966245374,165.05647547271704,476.0,2705.7524417180907
76,77,0,50,22,34750.787206729256,3341.129509454341,38091.916716183594,2064.695966245374,167.05647547271704,494.0,2725.7524417180907
77,78,0,50,22,34750.787206729256,3381.129509454341,38131.916716183594,2064.695966245374,169.05647547271704,512.0,2745.7524417180907
78,79,0,50,22,34750.787206729256,3421.129509454341,38171.916716183594,2064.695966245374,171.05647547271704,530.0,2765.7524417180907
79,80,0,50,22,34750.787206729256,3461.129509454341,38211.916716183594,2064.695966245374,173.05647547271704,548.0,2785.7524417180907
80,81,0,50,22,34750.787206729256,3501.129509454341,38251.916716183594,2064.695966245374,175.05647547271704,566.0,2805.7524417180907
81,82,0,50,22,34750.787206729256,3541.129509454341,38291.916716183594,2064.695966245374,177.05647547271704,584.0,2825.7524417180907
82,83,0,50,22,34750.787206729256,3581.129509454341,38331.916716183594,2064.695966245374,179.05647547271704,602.0,2845.7524417180907
83,84,0,50,22,34750.787206729256,3621.129509454341,38371.916716183594,2064.695966245374,181.05647547271704,618.0,2863.7524417180907
84,85,0,50,22,34750.787206729256,3661.129509454341,38411.916716183594,2064.695966245374,183.05647547271704,634.0,2881.7524417180907
85,86,0,50,22,34750.787206729256,3701.129509454341,38451.916716183594,2064.695966245374,185.05647547271704,650.0,2899.7524417180907
86,87,0,50,22,34750.787206729256,3733.9071746487552,38484.69438137801,2064.695966245374,186.69535873243774,656.0,2907.3913249778116
87,88,0,50,22,34750.787206729256,3763.9071746487552,38514.69438137801,2064.695966245374,188.19535873243774,662.0,2914.8913249778116
88,89,0,50,22,34750.787206729256,3793.9071746487552,38544.69438137801,2064.695966245374,189.69535873243774,668.0,2922.3913249778116
89,90,0,50,22,34750.787206729256,3823.9071746487552,38574.69438137801,2064.695966245374,191.19535873243774,674.0,2929.8913249778116
90,91,0,50,22,34750.787206729256,3853.9071746487552,38604.69438137801,2064.695966245374,192.69535873243774,680.0,2937.3913249778116
91,92,0,50,22,34750.787206729256,3883.9071746487552,38634.69438137801,2064.695966245374,194.19535873243774,680.0,2938.8913249778116
92,93,0,50,22,34750.787206729256,3913.9071746487552,38664.69438137801,2064.695966245374,195.69535873243774,680.0,2940.3913249778116
93,94,0,50,22,34750.787206729256,3943.9071746487552,38694.69438137801,2064.695966245374,197.19535873243774,680.0,2941.8913249778116
94,95,0,50,22,34750.787206729256,3973.9071746487552,38724.69438137801,2064.695966245374,198.69535873243774,680.0,2943.3913249778116
95,96,0,50,22,34750.787206729256,4003.9071746487552,38754.69438137801,2064.695966245374,200.19535873243774,680.0,2944.8913249778116
96,97,0,50,22,34750.787206729256,4033.9071746487552,38784.69438137801,2064.695966245374,201.69535873243774,680.0,2946.3913249778116
97,98,0,50,22,34750.787206729256,4063.9071746487552,38814.69438137801,2064.695966245374,203.19535873243774,680.0,2947.8913249778116
98,99,0,50,22,34750.787206729256,4093.9071746487552,38844.69438137801,2064.695966245374,204.69535873243774,680.0,2949.3913249778116
99,100,0,50,22,34750.787206729256,4118.893235137052,38869.68044186631,2064.695966245374,205.94466175685258,680.0,2950.6406280022265
100,101,0,50,22,34750.787206729256,4138.893235137052,38889.68044186631,2064.695966245374,206.94466175685258,680.0,2951.6406280022265
101,102,0,50,22,34750.787206729256,4158.893235137052,38909.68044186631,2064.695966245374,207.94466175685258,680.0,2952.6406280022265
102,103,0,50,22,34750.787206729256,4178.893235137052,38929.68044186631,2064.695966245374,208.94466175685258,680.0,2953.6406280022265
103,104,0,50,22,34750.787206729256,4198.893235137052,38949.68044186631,2064.695966245374,209.94466175685258,680.0,2954.6406280022265
104,105,0,50,22,34750.787206729256,4218.893235137052,38969.68044186631,2064.695966245374,210.94466175685258,680.0,2955.6406280022265
105,106,0,50,22,34750.787206729256,4238.893235137052,38989.68044186631,2064.695966245374,211.94466175685258,680.0,2956.6406280022265
