step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,232.5640399753786,0.0,0.0,232.5640399753786
1,2,40,10,0,6738.471364427949,0.0,6738.471364427949,420.2881490210575,0.0,0.0,420.2881490210575
2,3,40,10,0,6738.471364427949,0.0,6738.471364427949,610.0282363718802,0.0,0.0,610.0282363718802
3,4,30,20,5,8810.461948793298,0.0,8810.461948793298,786.293055768984,0.0,0.0,786.293055768984
4,5,30,20,5,8810.461948793298,10.0,8820.461948793298,786.293055768984,0.5,10.0,796.793055768984
5,6,30,20,5,8810.461948793298,30.0,8840.461948793298,786.293055768984,1.5,20.0,807.793055768984
6,7,30,20,5,8810.461948793298,60.0,8870.461948793298,786.293055768984,3.0,30.0,819.293055768984
7,8,30,20,5,8810.461948793298,90.0,8900.461948793298,786.293055768984,4.5,40.0,830.793055768984
8,9,30,20,5,8810.461948793298,120.0,8930.461948793298,786.293055768984,6.0,50.0,842.293055768984
9,10,30,20,5,8810.461948793298,150.0,8960.461948793298,786.293055768984,7.5,60.0,853.793055768984
10,11,30,20,10,8810.461948793298,180.0,8990.461948793298,899.6370926087335,9.0,70.0,978.6370926087335
11,12,30,20,10,8810.461948793298,210.0,9020.461948793298,899.6370926087335,10.5,90.0,1000.1370926087335
12,13,30,20,10,8810.461948793298,240.0,9050.461948793298,899.6370926087335,12.0,110.0,1021.6370926087335
13,14,30,20,10,8810.461948793298,270.0,9080.461948793298,899.6370926087335,13.5,130.0,1043.1370926087334
14,15,30,20,10,8810.461948793298,300.0,9110.461948793298,899.6370926087335,15.0,150.0,1064.6370926087334
15,16,30,20,10,8810.461948793298,350.0,9160.461948793298,899.6370926087335,17.5,170.0,1087.1370926087334
16,17,30,20,10,8810.461948793298,400.0,9210.461948793298,899.6370926087335,20.0,190.0,1109.6370926087334
17,18,30,20,10,8810.461948793298,450.0,9260.461948793298,925.2530774946378,22.5,204.0,1151.7530774946376
18,19,29,21,10,9827.340505947494,500.0,10327.340505947494,964.7863452416676,25.0,216.0,1205.7863452416675
19,20,28,22,10,10415.885321573287,550.0,10965.885321573287,981.8514973475894,27.5,226.0,1235.3514973475892
20,21,28,22,10,10415.885321573287,600.0,11015.885321573287,1006.2961425524887,30.0,236.0,1272.2961425524886
21,22,27,23,10,11432.71224883279,650.0,12082.71224883279,1024.1813801618216,32.5,246.0,1302.6813801618214
22,23,27,23,10,11432.71224883279,700.0,12132.71224883279,1094.3945878157067,35.0,256.0,1385.3945878157065
23,24,24,26,10,13793.910256400359,750.0,14543.910256400359,1149.050337148452,37.5,266.0,1452.5503371484517
24,25,23,27,10,14238.694473746253,800.0,15038.694473746253,1211.5265453199672,40.0,276.0,1527.526545319967
25,26,19,31,10,16310.996561536676,850.0,17160.996561536675,1328.079526390517,42.5,284.0,1654.579526390517
26,27,15,35,10,18785.417777964165,900.0,19685.417777964165,1405.478625236301,45.0,288.0,1738.478625236301
27,28,15,35,10,18785.417777964165,950.0,19735.417777964165,1405.478625236301,47.5,288.0,1740.978625236301
28,29,15,35,10,18785.417777964165,1000.0,19785.417777964165,1405.478625236301,50.0,288.0,1743.478625236301
29,30,15,35,10,18785.417777964165,1050.0,19835.417777964165,1405.478625236301,52.5,288.0,1745.978625236301
30,31,15,35,10,18785.417777964165,1100.0,19885.417777964165,1405.478625236301,55.0,288.0,1748.478625236301
31,32,15,35,10,18785.417777964165,1150.0,19935.417777964165,1405.478625236301,57.5,288.0,1750.978625236301
32,33,15,35,10,18785.417777964165,1200.0,19985.417777964165,1405.478625236301,60.0,288.0,1753.478625236301
33,34,15,35,10,18785.417777964165,1250.0,20035.417777964165,1405.478625236301,62.5,288.0,1755.978625236301
