step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,8,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,13,3,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,2,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,7,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,12,2,,,,Task assigned to UAV
0,0,TASK_START,2,4,,,,Task starts execution
0,0,TASK_START,7,5,,,,Task starts execution
0,0,TASK_START,8,1,,,,Task starts execution
0,0,TASK_START,12,2,,,,Task starts execution
0,0,TASK_START,13,3,,,,Task starts execution
1,1,TASK_COMPLETE,8,1,,,,
1,1,TASK_COMPLETE,12,2,,,,
1,1,TASK_COMPLETE,13,3,,,,
1,1,TASK_COMPLETE,2,4,,,,
1,1,TASK_COMPLETE,7,5,,,,
2,2,TASK_ASSIGNED,30,3,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,15,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,5,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,1,,,,Task assigned to UAV
2,2,TASK_START,1,5,,,,Task starts execution
2,2,TASK_START,9,2,,,,Task starts execution
2,2,TASK_START,15,4,,,,Task starts execution
2,2,TASK_START,19,1,,,,Task starts execution
2,2,TASK_START,30,3,,,,Task starts execution
3,3,TASK_COMPLETE,19,1,,,,
3,3,LOW_BATTERY,,1,,,,
3,3,TASK_COMPLETE,9,2,,,,
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,CHARGING_START,,2,2,462,375,Charging started
3,3,TASK_COMPLETE,30,3,,,,
3,3,LOW_BATTERY,,3,,,,
3,3,TASK_COMPLETE,15,4,,,,
3,3,LOW_BATTERY,,4,,,,
3,3,TASK_COMPLETE,1,5,,,,
3,3,LOW_BATTERY,,5,,,,
4,4,TASK_ASSIGNED,10,1,,,,Task assigned to UAV
4,4,TASK_ASSIGNED,23,2,,,,Task assigned to UAV
4,4,TASK_ASSIGNED,24,3,,,,Task assigned to UAV
4,4,TASK_ASSIGNED,29,4,,,,Task assigned to UAV
4,4,TASK_START,10,1,,,,Task starts execution
4,4,TASK_START,23,2,,,,Task starts execution
4,4,TASK_START,24,3,,,,Task starts execution
4,4,TASK_START,29,4,,,,Task starts execution
4,4,CHARGING_REQUEST,,1,,,,UAV requests charging
4,4,CHARGING_START,,1,2,477,384,Charging started
4,4,CHARGING_REQUEST,,3,,,,UAV requests charging
4,4,CHARGING_START,,3,2,464,366,Charging started
4,4,CHARGING_REQUEST,,4,,,,UAV requests charging
4,4,CHARGING_START,,4,2,477,376,Charging started
4,4,LOW_BATTERY,,5,,,,
5,5,LOW_BATTERY,,5,,,,
6,6,LOW_BATTERY,,5,,,,
7,7,LOW_BATTERY,,5,,,,
8,8,LOW_BATTERY,,5,,,,
9,9,LOW_BATTERY,,5,,,,
10,10,LOW_BATTERY,,5,,,,
11,11,LOW_BATTERY,,5,,,,
12,12,LOW_BATTERY,,5,,,,
13,13,LOW_BATTERY,,5,,,,
14,14,LOW_BATTERY,,5,,,,
15,15,LOW_BATTERY,,5,,,,
16,16,LOW_BATTERY,,5,,,,
17,17,CHARGING_END,,2,2,462,375,Charging ended
17,17,LOW_BATTERY,,5,,,,
18,18,CHARGING_END,,4,2,477,376,Charging ended
18,18,TASK_COMPLETE,23,2,,,,
18,18,TASK_COMPLETE,29,4,,,,
18,18,LOW_BATTERY,,5,,,,
19,19,TASK_ASSIGNED,3,2,,,,Task assigned to UAV
19,19,TASK_ASSIGNED,4,4,,,,Task assigned to UAV
19,19,TASK_START,3,2,,,,Task starts execution
