step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.27267656349312,0.0,0.0,108.27267656349312
1,2,25,5,0,2751.7654234892952,0.0,2751.7654234892952,198.81308638194935,0.0,0.0,198.81308638194935
2,3,25,5,0,2751.7654234892952,0.0,2751.7654234892952,300.56939081484967,0.0,0.0,300.56939081484967
3,4,20,10,1,4514.2416855685615,0.0,4514.2416855685615,390.9078149297899,0.0,0.0,390.9078149297899
4,5,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,2.0,446.67229080479035
5,6,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,10.0,454.67229080479035
6,7,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,18.0,462.67229080479035
7,8,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,26.0,470.67229080479035
8,9,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,34.0,478.67229080479035
9,10,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,42.0,486.67229080479035
10,11,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,50.0,494.67229080479035
11,12,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,58.0,502.67229080479035
12,13,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,66.0,510.67229080479035
13,14,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,74.0,518.6722908047904
14,15,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,82.0,526.6722908047904
15,16,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,90.0,534.6722908047904
16,17,20,10,4,4514.2416855685615,0.0,4514.2416855685615,444.67229080479035,0.0,98.0,542.6722908047904
17,18,20,10,4,4514.2416855685615,0.0,4514.2416855685615,461.3030735558192,0.0,106.0,567.3030735558192
18,19,18,12,4,4530.4423680391355,0.0,4530.4423680391355,496.09278119186774,0.0,112.0,608.0927811918677
19,20,17,13,4,4549.547341213678,0.0,4549.547341213678,557.6300399144943,0.0,116.0,673.6300399144943
20,21,14,16,5,5372.023106276798,0.0,5372.023106276798,637.4246218062357,0.0,118.0,755.4246218062357
21,22,13,17,5,5787.428931946107,0.0,5787.428931946107,681.126540444458,0.0,120.0,801.126540444458
22,23,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,122.0,889.7365878299167
23,24,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,132.0,899.7365878299167
24,25,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,142.0,909.7365878299167
25,26,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,152.0,919.7365878299167
26,27,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,162.0,929.7365878299167
27,28,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,172.0,939.7365878299167
28,29,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,182.0,949.7365878299167
29,30,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,192.0,959.7365878299167
30,31,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,202.0,969.7365878299167
31,32,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,212.0,979.7365878299167
32,33,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,222.0,989.7365878299167
33,34,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,232.0,999.7365878299167
34,35,12,18,9,6192.08310528428,0.0,6192.08310528428,767.7365878299167,0.0,242.0,1009.7365878299167
35,36,12,18,9,6192.08310528428,0.0,6192.08310528428,804.0377004710175,0.0,252.0,1056.0377004710174
36,37,11,19,9,6289.246922538374,0.0,6289.246922538374,839.8204226424211,0.0,258.0,1097.820422642421
37,38,11,19,9,6297.392556168122,0.0,6297.392556168122,876.1581195531401,0.0,264.0,1140.1581195531398
38,39,7,23,11,7171.847423753927,0.0,7171.847423753927,971.929382987847,0.0,270.0,1241.9293829878468
