task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,2,2,3,1,True,True,312.8683902546426,39.824615503479755,0.0,0.0,36.6190372726127,0.0,0.0,36.6190372726127
2,alns_unified,0,0,1,1,True,True,531.064343659685,709.3835351909431,0.0,0.0,37.505528553350146,0.0,0.0,37.505528553350146
3,alns_unified,41,41,74,33,True,True,375.43540813422453,42.9532132242471,0.0,0.0,95.43571162771158,0.0,0.0,95.43571162771158
4,alns_unified,27,27,28,1,True,True,512.986645015818,400.7804885470349,0.0,0.0,43.34989780288582,0.0,0.0,43.34989780288582
5,alns_unified,11,11,26,15,True,True,515.0111063591671,458.2597516692907,0.0,7.0,44.87004952350749,0.0,0.0,44.87004952350749
6,alns_unified,29,29,30,1,True,True,634.3310940308252,14.142135623730951,0.0,0.0,39.766302625811,0.0,0.0,39.766302625811
7,alns_unified,0,0,1,1,True,True,826.7990021581597,450.28990661572686,0.0,0.0,39.432416433144724,0.0,0.0,39.432416433144724
8,alns_unified,0,0,1,1,True,True,764.6069204572193,832.6061493887731,0.0,0.0,45.5069250828195,0.0,0.0,45.5069250828195
9,alns_unified,2,2,3,1,True,True,405.5732336732949,438.1244115545264,0.0,0.0,44.36572708531263,0.0,0.0,44.36572708531263
10,alns_unified,77,41,78,1,True,True,655.5608330372926,482.29310697295546,0.0,1.0,69.90850735839506,0.0,0.0,69.90850735839506
11,alns_unified,27,27,28,1,True,True,396.3715401920073,20.248456731316587,0.0,0.0,41.07080016443194,0.0,0.0,41.07080016443194
12,alns_unified,0,0,1,1,True,True,594.9744463075947,18.35755975068582,0.0,0.0,38.19775157653933,0.0,0.0,38.19775157653933
13,alns_unified,0,0,1,1,True,True,343.3588079647843,776.0270613838154,0.0,0.0,38.4344853202542,0.0,0.0,38.4344853202542
14,alns_unified,78,42,78,0,True,True,749.8859149067089,1289.5972424542033,0.0,2.0,76.15454543277512,0.0,0.0,76.15454543277512
15,alns_unified,2,2,3,1,True,True,332.92181671501675,454.8197445142416,0.0,0.0,34.08178610647052,0.0,0.0,34.08178610647052
16,alns_unified,80,42,80,0,True,True,485.0035217273694,1329.214337124169,0.0,2.0,91.93539811394676,0.0,0.0,91.93539811394676
17,alns_unified,11,11,26,15,True,True,827.0302017714606,819.8810889391217,0.0,7.0,47.851261939148216,0.0,0.0,47.851261939148216
18,alns_unified,29,29,30,1,True,True,461.1069700234807,64.40496875241847,0.0,0.0,43.45552851291664,0.0,0.0,43.45552851291664
19,alns_unified,2,2,3,1,True,True,388.8784541956833,444.6234361794259,0.0,0.0,38.02716545597829,0.0,0.0,38.02716545597829
20,alns_unified,11,11,26,15,True,True,407.33062185876094,486.09669819903115,0.0,7.0,37.8993777123718,0.0,0.0,37.8993777123718
21,alns_unified,23,11,23,0,True,True,499.31319371556316,454.34898481233563,0.0,8.0,35.69547092012074,0.0,0.0,35.69547092012074
22,alns_unified,27,27,28,1,True,True,297.64292947651256,466.47615158762403,0.0,0.0,46.37933311575334,0.0,0.0,46.37933311575334
23,alns_unified,75,41,76,1,True,True,361.0382124448971,804.1157425944132,0.0,1.0,71.10132411251244,0.0,0.0,71.10132411251244
24,alns_unified,24,24,25,1,True,True,356.6032860593732,460.9772228646444,0.0,0.0,39.980350718400274,0.0,0.0,39.980350718400274
25,alns_unified,29,29,30,1,True,True,172.76408177059642,591.6840373036947,0.0,0.0,39.29176050638732,0.0,0.0,39.29176050638732
26,alns_unified,27,27,28,1,True,True,139.85961251204526,601.592054468807,0.0,0.0,38.93058139597033,0.0,0.0,38.93058139597033
27,alns_unified,23,11,23,0,True,True,250.55231360750778,473.5240226218729,0.0,8.0,34.59738321890258,0.0,0.0,34.59738321890258
28,alns_unified,27,27,28,1,True,True,465.44601799152144,65.80273550544841,0.0,0.0,38.861642790563444,0.0,0.0,38.861642790563444
29,alns_unified,25,25,25,0,True,True,527.2356096740644,460.6831883192613,0.0,1.0,39.49262476287358,0.0,0.0,39.49262476287358
30,alns_unified,2,2,3,1,True,True,513.2014437550836,439.5383942273985,0.0,0.0,39.37042410565276,0.0,0.0,39.37042410565276
