step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.39802923691977,0.0,0.0,108.39802923691977
1,2,25,5,0,2778.168934273422,0.0,2778.168934273422,198.93843905537602,0.0,0.0,198.93843905537602
2,3,25,5,0,2778.168934273422,0.0,2778.168934273422,300.70485093333366,0.0,0.0,300.70485093333366
3,4,20,10,3,4540.144388781323,0.0,4540.144388781323,391.04327504827387,0.0,0.0,391.04327504827387
4,5,20,10,3,4540.144388781323,10.0,4550.144388781323,391.04327504827387,0.5,6.0,397.54327504827387
5,6,20,10,3,4540.144388781323,20.0,4560.144388781323,391.04327504827387,1.0,12.0,404.04327504827387
6,7,20,10,3,4540.144388781323,30.0,4570.144388781323,391.04327504827387,1.5,18.0,410.54327504827387
7,8,20,10,3,4540.144388781323,40.0,4580.144388781323,391.04327504827387,2.0,24.0,417.04327504827387
8,9,20,10,3,4540.144388781323,50.0,4590.144388781323,391.04327504827387,2.5,30.0,423.54327504827387
9,10,20,10,3,4540.144388781323,60.0,4600.144388781323,391.04327504827387,3.0,36.0,430.04327504827387
10,11,20,10,5,4540.144388781323,70.0,4610.144388781323,437.09736487740594,3.5,42.0,482.59736487740594
11,12,20,10,5,4540.144388781323,80.0,4620.144388781323,437.09736487740594,4.0,52.0,493.09736487740594
12,13,20,10,5,4540.144388781323,90.0,4630.144388781323,437.09736487740594,4.5,62.0,503.59736487740594
13,14,20,10,5,4540.144388781323,100.0,4640.144388781323,437.09736487740594,5.0,72.0,514.0973648774059
14,15,20,10,5,4540.144388781323,110.0,4650.144388781323,437.09736487740594,5.5,82.0,524.5973648774059
15,16,20,10,5,4540.144388781323,130.0,4670.144388781323,437.09736487740594,6.5,92.0,535.5973648774059
16,17,20,10,5,4540.144388781323,150.0,4690.144388781323,437.09736487740594,7.5,102.0,546.5973648774059
17,18,20,10,5,4540.144388781323,170.0,4710.144388781323,437.09736487740594,8.5,106.0,551.5973648774059
18,19,20,10,5,4540.144388781323,190.0,4730.144388781323,437.09736487740594,9.5,110.0,556.5973648774059
19,20,20,10,5,4540.144388781323,210.0,4750.144388781323,437.09736487740594,10.5,114.0,561.5973648774059
20,21,20,10,5,4540.144388781323,230.0,4770.144388781323,437.09736487740594,11.5,118.0,566.5973648774059
21,22,20,10,5,4540.144388781323,250.0,4790.144388781323,437.09736487740594,12.5,122.0,571.5973648774059
22,23,20,10,5,4540.144388781323,270.0,4810.144388781323,500.4695881120184,13.5,126.0,639.9695881120184
23,24,17,13,5,5945.691112432293,290.0,6235.691112432293,554.7224995434057,14.5,130.0,699.2224995434057
24,25,17,13,5,5945.691112432293,320.0,6265.691112432293,617.706656665801,16.0,134.0,767.706656665801
25,26,14,16,5,7021.2679784339825,350.0,7371.2679784339825,693.2936065589765,17.5,138.0,848.7936065589765
26,27,13,17,5,7873.024387211853,380.0,8253.024387211852,754.3850944087678,19.0,140.0,913.3850944087678
27,28,12,18,5,8337.195238187242,410.0,8747.195238187242,837.0039180990071,20.5,140.0,997.5039180990071
28,29,10,20,5,8815.402374456182,440.0,9255.402374456182,919.9409726836495,22.0,140.0,1081.9409726836495
29,30,8,22,5,9222.160969641998,470.0,9692.160969641998,978.410962398086,23.5,140.0,1141.910962398086
30,31,7,23,5,9278.134177518625,500.0,9778.134177518625,998.2447543587789,25.0,140.0,1163.244754358779
31,32,7,23,5,9278.134177518625,530.0,9808.134177518625,998.2447543587789,26.5,140.0,1164.744754358779
32,33,7,23,5,9278.134177518625,560.0,9838.134177518625,998.2447543587789,28.0,140.0,1166.244754358779
33,34,7,23,5,9278.134177518625,590.0,9868.134177518625,998.2447543587789,29.5,140.0,1167.744754358779
34,35,7,23,5,9278.134177518625,620.0,9898.134177518625,998.2447543587789,31.0,140.0,1169.244754358779
35,36,7,23,5,9278.134177518625,650.0,9928.134177518625,998.2447543587789,32.5,140.0,1170.744754358779
36,37,7,23,5,9278.134177518625,680.0,9958.134177518625,998.2447543587789,34.0,140.0,1172.244754358779
37,38,7,23,5,9278.134177518625,710.0,9988.134177518625,998.2447543587789,35.5,140.0,1173.744754358779
38,39,7,23,5,9278.134177518625,740.0,10018.134177518625,998.2447543587789,37.0,140.0,1175.244754358779
39,40,7,23,10,9278.134177518625,765.5056007507771,10043.639778269402,998.2447543587789,38.275280037538856,140.0,1176.5200343963177
40,41,7,23,10,9278.134177518625,785.5056007507771,10063.639778269402,998.2447543587789,39.275280037538856,150.0,1187.5200343963177
41,42,7,23,10,9278.134177518625,815.5056007507771,10093.639778269402,998.2447543587789,40.775280037538856,160.0,1199.0200343963177
42,43,7,23,10,9278.134177518625,845.5056007507771,10123.639778269402,998.2447543587789,42.275280037538856,170.0,1210.5200343963177
43,44,7,23,10,9278.134177518625,875.5056007507771,10153.639778269402,998.2447543587789,43.775280037538856,180.0,1222.0200343963177
44,45,7,23,10,9278.134177518625,905.5056007507771,10183.639778269402,998.2447543587789,45.275280037538856,190.0,1233.5200343963177
45,46,7,23,10,9278.134177518625,935.5056007507771,10213.639778269402,998.2447543587789,46.775280037538856,200.0,1245.0200343963177
46,47,7,23,10,9278.134177518625,965.5056007507771,10243.639778269402,998.2447543587789,48.275280037538856,210.0,1256.5200343963177
47,48,7,23,10,9278.134177518625,995.5056007507771,10273.639778269402,998.2447543587789,49.775280037538856,220.0,1268.0200343963177
48,49,7,23,10,9278.134177518625,1022.0375459424703,10300.171723461095,998.2447543587789,51.101877297123515,230.0,1279.3466316559022
49,50,7,23,10,9278.134177518625,1042.0375459424704,10320.171723461095,998.2447543587789,52.101877297123515,240.0,1290.3466316559022
50,51,7,23,10,9278.134177518625,1062.0375459424704,10340.171723461095,998.2447543587789,53.101877297123515,250.0,1301.3466316559022
51,52,7,23,10,9278.134177518625,1082.0375459424704,10360.171723461095,998.2447543587789,54.101877297123515,260.0,1312.3466316559022
52,53,7,23,10,9278.134177518625,1102.0375459424704,10380.171723461095,998.2447543587789,55.101877297123515,270.0,1323.3466316559022
53,54,7,23,10,9278.134177518625,1122.0375459424704,10400.171723461095,998.2447543587789,56.101877297123515,280.0,1334.3466316559022
54,55,7,23,10,9278.134177518625,1142.0375459424704,10420.171723461095,998.2447543587789,57.101877297123515,290.0,1345.3466316559022
55,56,7,23,10,9278.134177518625,1162.0375459424704,10440.171723461095,1036.9626056149773,58.101877297123515,300.0,1395.0644829121006
56,57,5,25,10,9387.060682668456,1182.0375459424704,10569.098228610927,1074.9643337736236,59.101877297123515,300.0,1434.066211070747
57,58,5,25,10,9387.060682668456,1212.0375459424704,10599.098228610927,1113.2249083630704,60.601877297123515,300.0,1473.8267856601938
58,59,3,27,10,10200.315679172361,1242.0375459424704,11442.353225114832,1146.5132651480549,62.101877297123515,300.0,1508.6151424451782
59,60,3,27,10,10200.315679172361,1272.0375459424704,11472.353225114832,1146.5132651480549,63.601877297123515,300.0,1510.1151424451782
60,61,3,27,10,10200.315679172361,1302.0375459424704,11502.353225114832,1146.5132651480549,65.10187729712351,300.0,1511.6151424451782
61,62,3,27,10,10200.315679172361,1332.0375459424704,11532.353225114832,1146.5132651480549,66.60187729712351,300.0,1513.1151424451782
62,63,3,27,10,10200.315679172361,1362.0375459424704,11562.353225114832,1146.5132651480549,68.10187729712351,300.0,1514.6151424451782
63,64,3,27,10,10200.315679172361,1392.0375459424704,11592.353225114832,1146.5132651480549,69.60187729712351,300.0,1516.1151424451782
64,65,3,27,10,10200.315679172361,1422.0375459424704,11622.353225114832,1146.5132651480549,71.10187729712351,300.0,1517.6151424451782
65,66,3,27,10,10200.315679172361,1452.0375459424704,11652.353225114832,1146.5132651480549,72.60187729712351,300.0,1519.1151424451782
66,67,3,27,10,10200.315679172361,1482.0375459424704,11682.353225114832,1146.5132651480549,74.10187729712351,300.0,1520.6151424451782
67,68,3,27,10,10200.315679172361,1512.0375459424704,11712.353225114832,1146.5132651480549,75.60187729712351,300.0,1522.1151424451782
