step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.39802923691977,0.0,0.0,108.39802923691977
1,2,25,5,0,2778.168934273422,0.0,2778.168934273422,198.93843905537602,0.0,0.0,198.93843905537602
2,3,25,5,0,2778.168934273422,0.0,2778.168934273422,300.7182669882659,0.0,0.0,300.7182669882659
3,4,20,10,2,4539.8898477478915,0.0,4539.8898477478915,391.0566911032061,0.0,0.0,391.0566911032061
4,5,20,10,2,4539.8898477478915,10.0,4549.8898477478915,391.0566911032061,0.5,4.0,395.5566911032061
5,6,20,10,2,4539.8898477478915,20.0,4559.8898477478915,391.0566911032061,1.0,8.0,400.0566911032061
6,7,20,10,2,4539.8898477478915,30.0,4569.8898477478915,391.0566911032061,1.5,12.0,404.5566911032061
7,8,20,10,2,4539.8898477478915,40.0,4579.8898477478915,391.0566911032061,2.0,16.0,409.0566911032061
8,9,20,10,2,4539.8898477478915,50.0,4589.8898477478915,391.0566911032061,2.5,20.0,413.5566911032061
9,10,20,10,2,4539.8898477478915,60.0,4599.8898477478915,391.0566911032061,3.0,24.0,418.0566911032061
10,11,20,10,5,4539.8898477478915,70.0,4609.8898477478915,455.1815698134302,3.5,28.0,486.6815698134302
11,12,20,10,5,4539.8898477478915,80.0,4619.8898477478915,455.1815698134302,4.0,38.0,497.1815698134302
12,13,20,10,5,4539.8898477478915,90.0,4629.8898477478915,455.1815698134302,4.5,48.0,507.6815698134302
13,14,20,10,5,4539.8898477478915,100.0,4639.8898477478915,455.1815698134302,5.0,58.0,518.1815698134302
14,15,20,10,5,4539.8898477478915,110.0,4649.8898477478915,455.1815698134302,5.5,68.0,528.6815698134302
15,16,20,10,5,4539.8898477478915,130.0,4669.8898477478915,455.1815698134302,6.5,78.0,539.6815698134302
16,17,20,10,5,4539.8898477478915,150.0,4689.8898477478915,455.1815698134302,7.5,88.0,550.6815698134302
17,18,20,10,5,4539.8898477478915,170.0,4709.8898477478915,455.1815698134302,8.5,94.0,557.6815698134302
18,19,20,10,5,4539.8898477478915,190.0,4729.8898477478915,455.1815698134302,9.5,100.0,564.6815698134302
19,20,20,10,5,4539.8898477478915,210.0,4749.8898477478915,455.1815698134302,10.5,106.0,571.6815698134302
20,21,20,10,5,4539.8898477478915,230.0,4769.8898477478915,455.1815698134302,11.5,112.0,578.6815698134302
21,22,20,10,5,4539.8898477478915,250.0,4789.8898477478915,455.1815698134302,12.5,118.0,585.6815698134302
22,23,20,10,5,4539.8898477478915,270.0,4809.8898477478915,499.97383583074776,13.5,124.0,637.4738358307477
23,24,18,12,5,5487.263087310702,290.0,5777.263087310702,538.3275697527258,14.5,130.0,682.8275697527257
24,25,18,12,5,5487.263087310702,320.0,5807.263087310702,579.7982640348789,16.0,136.0,731.7982640348788
25,26,16,14,5,6471.880280511133,350.0,6821.880280511133,636.347834722454,17.5,142.0,795.8478347224539
26,27,14,16,5,7405.987680258984,380.0,7785.987680258984,713.1820338188666,19.0,146.0,878.1820338188664
27,28,13,17,5,7418.4753429151115,410.0,7828.4753429151115,793.7976075841159,20.5,146.0,960.2976075841158
28,29,11,19,5,7483.802940108103,440.0,7923.802940108103,873.8019547313163,22.0,146.0,1041.8019547313163
29,30,9,21,5,7550.649787495335,470.0,8020.649787495335,951.2487334781794,23.5,146.0,1120.7487334781792
30,31,7,23,5,7638.676175018423,500.0,8138.676175018423,989.2504616368257,25.0,146.0,1160.2504616368255
31,32,7,23,5,7638.676175018423,530.0,8168.676175018423,989.2504616368257,26.5,146.0,1161.7504616368255
32,33,7,23,5,7638.676175018423,560.0,8198.676175018423,989.2504616368257,28.0,146.0,1163.2504616368255
33,34,7,23,5,7638.676175018423,590.0,8228.676175018423,989.2504616368257,29.5,146.0,1164.7504616368255
34,35,7,23,5,7638.676175018423,620.0,8258.676175018423,989.2504616368257,31.0,146.0,1166.2504616368255
35,36,7,23,5,7638.676175018423,650.0,8288.676175018423,989.2504616368257,32.5,146.0,1167.7504616368255
36,37,7,23,5,7638.676175018423,680.0,8318.676175018423,989.2504616368257,34.0,146.0,1169.2504616368255
37,38,7,23,5,7638.676175018423,710.0,8348.676175018423,989.2504616368257,35.5,146.0,1170.7504616368255
38,39,7,23,5,7638.676175018423,740.0,8378.676175018423,989.2504616368257,37.0,146.0,1172.2504616368255
39,40,7,23,5,7638.676175018423,770.0,8408.676175018423,989.2504616368257,38.5,146.0,1173.7504616368255
40,41,7,23,10,7638.676175018423,796.3298656028985,8435.006040621322,989.2504616368257,39.816493280144925,146.0,1175.0669549169704
41,42,7,23,10,7638.676175018423,816.3298656028985,8455.006040621322,989.2504616368257,40.816493280144925,156.0,1186.0669549169704
42,43,7,23,10,7638.676175018423,846.3298656028985,8485.006040621322,989.2504616368257,42.316493280144925,166.0,1197.5669549169704
43,44,7,23,10,7638.676175018423,876.3298656028985,8515.006040621322,989.2504616368257,43.816493280144925,176.0,1209.0669549169704
44,45,7,23,10,7638.676175018423,906.3298656028985,8545.006040621322,989.2504616368257,45.316493280144925,186.0,1220.5669549169704
45,46,7,23,10,7638.676175018423,936.3298656028985,8575.006040621322,989.2504616368257,46.816493280144925,196.0,1232.0669549169704
46,47,7,23,10,7638.676175018423,966.3298656028985,8605.006040621322,989.2504616368257,48.316493280144925,206.0,1243.5669549169704
47,48,7,23,10,7638.676175018423,996.3298656028985,8635.006040621322,989.2504616368257,49.816493280144925,216.0,1255.0669549169704
48,49,7,23,10,7638.676175018423,1022.8618107945916,8661.537985813015,989.2504616368257,51.143090539729585,226.0,1266.393552176555
49,50,7,23,10,7638.676175018423,1042.8618107945917,8681.537985813015,989.2504616368257,52.143090539729585,236.0,1277.393552176555
50,51,7,23,10,7638.676175018423,1062.8618107945917,8701.537985813015,989.2504616368257,53.143090539729585,246.0,1288.393552176555
51,52,7,23,10,7638.676175018423,1082.8618107945917,8721.537985813015,989.2504616368257,54.143090539729585,256.0,1299.393552176555
52,53,7,23,10,7638.676175018423,1102.8618107945917,8741.537985813015,989.2504616368257,55.143090539729585,266.0,1310.393552176555
53,54,7,23,10,7638.676175018423,1122.8618107945917,8761.537985813015,989.2504616368257,56.143090539729585,276.0,1321.393552176555
54,55,7,23,10,7638.676175018423,1142.8618107945917,8781.537985813015,989.2504616368257,57.143090539729585,286.0,1332.393552176555
55,56,7,23,10,7638.676175018423,1162.8618107945917,8801.537985813015,989.2504616368257,58.143090539729585,296.0,1343.393552176555
56,57,7,23,10,7638.676175018423,1182.8618107945917,8821.537985813015,989.2504616368257,59.143090539729585,306.0,1354.393552176555
57,58,7,23,10,7638.676175018423,1202.8618107945917,8841.537985813015,989.2504616368257,60.143090539729585,306.0,1355.393552176555
58,59,7,23,10,7638.676175018423,1222.8618107945917,8861.537985813015,989.2504616368257,61.143090539729585,306.0,1356.393552176555
59,60,7,23,10,7638.676175018423,1242.8618107945917,8881.537985813015,989.2504616368257,62.143090539729585,306.0,1357.393552176555
60,61,7,23,10,7638.676175018423,1262.8618107945917,8901.537985813015,989.2504616368257,63.143090539729585,306.0,1358.393552176555
61,62,7,23,10,7638.676175018423,1282.8618107945917,8921.537985813015,989.2504616368257,64.14309053972958,306.0,1359.393552176555
62,63,7,23,10,7638.676175018423,1302.8618107945917,8941.537985813015,989.2504616368257,65.14309053972958,306.0,1360.393552176555
63,64,7,23,10,7638.676175018423,1322.8618107945917,8961.537985813015,989.2504616368257,66.14309053972958,306.0,1361.393552176555
64,65,7,23,10,7638.676175018423,1342.8618107945917,8981.537985813015,989.2504616368257,67.14309053972958,306.0,1362.393552176555
65,66,7,23,10,7638.676175018423,1362.8618107945917,9001.537985813015,989.2504616368257,68.14309053972958,306.0,1363.393552176555
66,67,7,23,10,7638.676175018423,1382.8618107945917,9021.537985813015,989.2504616368257,69.14309053972958,306.0,1364.393552176555
67,68,7,23,10,7638.676175018423,1402.8618107945917,9041.537985813015,989.2504616368257,70.14309053972958,306.0,1365.393552176555
