timestamp,sender,receiver,message_type,content
0,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 15
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 15
0,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 30
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 30
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 9
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 9
0,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 29
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 29
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 19
0,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 19
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 15
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 30
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 9
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 29
0,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 19
11,UAV 1,Control Center,TASK_COMPLETE,Complete task 9
11,UAV 2,Control Center,TASK_COMPLETE,Complete task 19
11,UAV 3,Control Center,TASK_COMPLETE,Complete task 15
11,UAV 4,Control Center,TASK_COMPLETE,Complete task 29
11,UAV 5,Control Center,TASK_COMPLETE,Complete task 30
12,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 14
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 14
12,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 17
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 17
12,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 20
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 20
12,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 21
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 21
12,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 27
12,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 27
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 14
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 17
12,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 20
