step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,30,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,30,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,30,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,30,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,30,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,30,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,30,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
8,9,30,0,0,0.0,90.0,90.0,0.0,4.5,0.0,4.5
9,10,30,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
10,11,30,0,0,0.0,110.0,110.0,108.17454242882005,5.5,0.0,113.67454242882005
11,12,25,5,0,2838.2607692122515,120.0,2958.2607692122515,197.80452303942081,6.0,0.0,203.80452303942081
12,13,25,5,0,2838.2607692122515,140.0,2978.2607692122515,309.47671164624603,7.0,0.0,316.47671164624603
13,14,20,10,2,5905.0492126754,160.0,6065.0492126754,400.9761524038811,8.0,0.0,408.9761524038811
14,15,20,10,2,5905.0492126754,190.0,6095.0492126754,469.8962299546034,9.5,4.0,483.3962299546034
15,16,17,13,2,7589.06809936593,220.0,7809.06809936593,527.7904708335122,11.0,8.0,546.7904708335122
16,17,17,13,2,7589.06809936593,250.0,7839.06809936593,527.7904708335122,12.5,12.0,552.2904708335122
17,18,17,13,2,7589.06809936593,280.0,7869.06809936593,527.7904708335122,14.0,16.0,557.7904708335122
18,19,17,13,2,7589.06809936593,310.0,7899.06809936593,527.7904708335122,15.5,20.0,563.2904708335122
19,20,17,13,2,7589.06809936593,340.0,7929.06809936593,527.7904708335122,17.0,24.0,568.7904708335122
20,21,17,13,2,7589.06809936593,370.0,7959.06809936593,527.7904708335122,18.5,28.0,574.2904708335122
21,22,17,13,2,7589.06809936593,400.0,7989.06809936593,527.7904708335122,20.0,32.0,579.7904708335122
22,23,17,13,2,7589.06809936593,430.0,8019.06809936593,527.7904708335122,21.5,36.0,585.2904708335122
23,24,17,13,2,7589.06809936593,460.0,8049.06809936593,527.7904708335122,23.0,40.0,590.7904708335122
24,25,17,13,2,7589.06809936593,490.0,8079.06809936593,527.7904708335122,24.5,44.0,596.2904708335122
25,26,17,13,2,7589.06809936593,520.0,8109.06809936593,527.7904708335122,26.0,48.0,601.7904708335122
26,27,17,13,2,7589.06809936593,550.0,8139.06809936593,548.2694588850408,27.5,52.0,627.7694588850408
27,28,16,14,2,7591.30416734343,580.0,8171.30416734343,590.5993791455882,29.0,54.0,673.5993791455882
28,29,15,15,2,7642.235493656417,610.0,8252.235493656417,612.08787231471,30.5,54.0,696.58787231471
29,30,15,15,2,7642.235493656417,640.0,8282.235493656417,612.08787231471,32.0,54.0,698.08787231471
30,31,15,15,2,7642.235493656417,670.0,8312.235493656417,612.08787231471,33.5,54.0,699.58787231471
31,32,15,15,2,7642.235493656417,700.0,8342.235493656417,612.08787231471,35.0,54.0,701.08787231471
32,33,15,15,2,7642.235493656417,730.0,8372.235493656417,612.08787231471,36.5,54.0,702.58787231471
33,34,15,15,2,7642.235493656417,760.0,8402.235493656417,612.08787231471,38.0,54.0,704.08787231471
34,35,15,15,5,7642.235493656417,781.7176244159147,8423.953118072332,612.08787231471,39.085881220795734,54.0,705.1737535355057
35,36,15,15,6,7642.235493656417,801.7176244159147,8443.953118072332,650.589838514043,40.085881220795734,60.0,750.6757197348387
36,37,14,16,6,7651.45503811371,831.7176244159147,8483.172662529625,669.7966001829618,41.585881220795734,68.0,779.3824814037575
37,38,14,16,6,7651.45503811371,861.7176244159147,8513.172662529625,669.7966001829618,43.085881220795734,76.0,788.8824814037575
38,39,14,16,6,7651.45503811371,891.7176244159147,8543.172662529625,669.7966001829618,44.585881220795734,84.0,798.3824814037575
39,40,14,16,6,7651.45503811371,921.7176244159147,8573.172662529625,669.7966001829618,46.085881220795734,92.0,807.8824814037575
40,41,14,16,7,7651.45503811371,946.3692755616617,8597.824313675372,669.7966001829618,47.31846377808308,100.0,817.1150639610449
41,42,14,16,7,7651.45503811371,976.3692755616617,8627.824313675372,669.7966001829618,48.81846377808308,110.0,828.6150639610449
42,43,14,16,7,7651.45503811371,1006.3692755616617,8657.824313675372,669.7966001829618,50.31846377808308,120.0,840.1150639610449
43,44,14,16,7,7651.45503811371,1026.971179877005,8678.426217990715,669.7966001829618,51.34855899385024,130.0,851.1451591768121
