task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,alns_unified,59,59,59,0,True,True,312.8683902546426,458.5564305513554,0.0,1.0,39.35370423692065,0.0,0.0,39.35370423692065
2,alns_unified,15,15,15,0,True,True,531.064343659685,839.8440331394871,0.0,1.0,38.30116957655735,0.0,0.0,38.30116957655735
3,alns_unified,36,36,51,15,True,True,375.43540813422453,42.9532132242471,0.0,1.0,95.43571162771158,0.0,0.0,95.43571162771158
4,alns_unified,77,77,77,0,True,True,512.986645015818,413.7825515896,0.0,1.0,43.44214070875809,0.0,0.0,43.44214070875809
5,alns_unified,13,13,13,0,True,True,515.0111063591671,829.0144751450363,0.0,1.0,47.553122754511676,0.0,0.0,47.553122754511676
6,alns_unified,123,76,123,0,True,True,634.3310940308252,842.4289715355783,0.0,2.0,144.66121961896695,0.0,0.0,144.66121961896695
7,alns_unified,11,11,11,0,True,True,826.7990021581597,776.342707829474,0.0,11.0,41.567353184827425,0.0,0.0,41.567353184827425
8,alns_unified,15,15,15,0,True,True,764.6069204572193,825.2011875900325,0.0,1.0,45.45521025903554,0.0,0.0,45.45521025903554
9,alns_unified,11,11,11,0,True,True,405.5732336732949,683.8669461232938,0.0,11.0,46.13281065309458,0.0,0.0,46.13281065309458
10,alns_unified,57,37,57,0,True,True,655.5608330372926,461.7662432219686,0.0,2.0,69.78249781824411,0.0,0.0,69.78249781824411
11,alns_unified,25,14,27,2,True,True,396.3715401920073,2.23606797749979,0.0,11.0,40.941984904962865,0.0,0.0,40.941984904962865
12,alns_unified,119,58,119,0,True,True,594.9744463075947,455.8564576337837,0.0,2.0,79.23051062188713,0.0,0.0,79.23051062188713
13,alns_unified,11,11,11,0,True,True,343.3588079647843,449.47191235938203,0.0,11.0,36.42194334382019,0.0,0.0,36.42194334382019
14,alns_unified,121,42,121,0,True,True,749.8859149067089,1299.4971869098863,0.0,2.0,76.21611681228885,0.0,0.0,76.21611681228885
15,alns_unified,11,11,11,0,True,True,332.92181671501675,445.9820624195552,0.0,11.0,34.030004188130775,0.0,0.0,34.030004188130775
16,alns_unified,102,102,117,15,True,True,485.0035217273694,591.6840373036947,0.0,1.0,45.44356589345072,0.0,0.0,45.44356589345072
17,alns_unified,13,13,13,0,True,True,827.0302017714606,452.85096886282577,0.0,1.0,45.17879665722874,0.0,0.0,45.17879665722874
18,alns_unified,15,14,28,13,True,True,461.1069700234807,50.93132631298737,0.0,1.0,43.355416576234916,0.0,0.0,43.355416576234916
19,alns_unified,55,36,55,0,True,True,388.8784541956833,465.512290052823,0.0,2.0,73.35408583306207,0.0,0.0,73.35408583306207
20,alns_unified,13,13,13,0,True,True,407.33062185876094,479.34225768233705,0.0,1.0,37.856672686484316,0.0,0.0,37.856672686484316
21,alns_unified,13,13,13,0,True,True,499.31319371556316,825.3787009609589,0.0,1.0,37.946179891130036,0.0,0.0,37.946179891130036
22,alns_unified,15,15,15,0,True,True,297.64292947651256,18.973665961010276,0.0,1.0,43.05793859403832,0.0,0.0,43.05793859403832
23,alns_unified,57,56,72,15,True,True,361.0382124448971,11.986140462640256,0.0,1.0,33.175776866660726,0.0,0.0,33.175776866660726
24,alns_unified,125,125,137,12,True,True,356.6032860593732,410.2023890715411,0.0,1.0,39.644782430716184,0.0,0.0,39.644782430716184
25,alns_unified,124,122,137,13,True,True,172.76408177059642,8.54400374531753,0.0,1.0,35.5516870926306,0.0,0.0,35.5516870926306
26,alns_unified,121,120,121,0,True,True,139.85961251204526,17.801685313475286,0.0,1.0,35.217486228302434,0.0,0.0,35.217486228302434
27,alns_unified,13,13,13,0,True,True,250.55231360750778,480.2020408119899,0.0,1.0,34.6368573751055,0.0,0.0,34.6368573751055
28,alns_unified,36,35,36,0,True,True,465.44601799152144,9.219544457292887,0.0,1.0,38.476308831249824,0.0,0.0,38.476308831249824
29,alns_unified,53,36,53,0,True,True,527.2356096740644,457.55109004350544,0.0,2.0,39.47211947329072,0.0,0.0,39.47211947329072
30,alns_unified,11,11,11,0,True,True,513.2014437550836,482.59714048054616,0.0,11.0,39.65241166954784,0.0,0.0,39.65241166954784
