step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.75634739464734,0.0,0.0,108.75634739464734
1,2,25,5,0,2779.855688086647,0.0,2779.855688086647,199.29675721310358,0.0,0.0,199.29675721310358
2,3,25,5,0,2779.855688086647,0.0,2779.855688086647,301.073975829941,0.0,0.0,301.073975829941
3,4,20,10,2,4541.934962322493,0.0,4541.934962322493,391.41239994488114,0.0,0.0,391.41239994488114
4,5,20,10,2,4541.934962322493,10.0,4551.934962322493,391.41239994488114,0.5,4.0,395.91239994488114
5,6,20,10,2,4541.934962322493,20.0,4561.934962322493,391.41239994488114,1.0,8.0,400.41239994488114
6,7,20,10,2,4541.934962322493,30.0,4571.934962322493,391.41239994488114,1.5,12.0,404.91239994488114
7,8,20,10,2,4541.934962322493,40.0,4581.934962322493,391.41239994488114,2.0,16.0,409.41239994488114
8,9,20,10,2,4541.934962322493,50.0,4591.934962322493,391.41239994488114,2.5,20.0,413.91239994488114
9,10,20,10,2,4541.934962322493,60.0,4601.934962322493,391.41239994488114,3.0,24.0,418.41239994488114
10,11,20,10,5,4541.934962322493,70.0,4611.934962322493,460.6672581306755,3.5,28.0,492.1672581306755
11,12,20,10,5,4541.934962322493,80.0,4621.934962322493,460.6672581306755,4.0,38.0,502.6672581306755
12,13,20,10,5,4541.934962322493,90.0,4631.934962322493,460.6672581306755,4.5,48.0,513.1672581306755
13,14,20,10,5,4541.934962322493,100.0,4641.934962322493,460.6672581306755,5.0,58.0,523.6672581306755
14,15,20,10,5,4541.934962322493,110.0,4651.934962322493,460.6672581306755,5.5,68.0,534.1672581306755
15,16,20,10,5,4541.934962322493,130.0,4671.934962322493,460.6672581306755,6.5,78.0,545.1672581306755
16,17,20,10,5,4541.934962322493,150.0,4691.934962322493,460.6672581306755,7.5,88.0,556.1672581306755
17,18,20,10,5,4541.934962322493,170.0,4711.934962322493,460.6672581306755,8.5,94.0,563.1672581306755
18,19,20,10,5,4541.934962322493,190.0,4731.934962322493,460.6672581306755,9.5,100.0,570.1672581306755
19,20,20,10,5,4541.934962322493,210.0,4751.934962322493,460.6672581306755,10.5,106.0,577.1672581306755
