step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.39802923691977,0.0,0.0,108.39802923691977
1,2,25,5,0,2778.168934273422,0.0,2778.168934273422,198.93843905537602,0.0,0.0,198.93843905537602
2,3,25,5,0,2778.168934273422,0.0,2778.168934273422,300.7156576722134,0.0,0.0,300.7156576722134
3,4,20,10,2,4540.248208509268,0.0,4540.248208509268,391.05408178715356,0.0,0.0,391.05408178715356
4,5,20,10,2,4540.248208509268,10.0,4550.248208509268,391.05408178715356,0.5,4.0,395.55408178715356
5,6,20,10,2,4540.248208509268,20.0,4560.248208509268,391.05408178715356,1.0,8.0,400.05408178715356
6,7,20,10,2,4540.248208509268,30.0,4570.248208509268,391.05408178715356,1.5,12.0,404.55408178715356
7,8,20,10,2,4540.248208509268,40.0,4580.248208509268,391.05408178715356,2.0,16.0,409.05408178715356
8,9,20,10,2,4540.248208509268,50.0,4590.248208509268,391.05408178715356,2.5,20.0,413.55408178715356
9,10,20,10,2,4540.248208509268,60.0,4600.248208509268,391.05408178715356,3.0,24.0,418.05408178715356
10,11,20,10,5,4540.248208509268,70.0,4610.248208509268,460.9814638985721,3.5,28.0,492.4814638985721
11,12,20,10,5,4540.248208509268,80.0,4620.248208509268,460.9814638985721,4.0,38.0,502.9814638985721
12,13,20,10,5,4540.248208509268,90.0,4630.248208509268,460.9814638985721,4.5,48.0,513.4814638985721
13,14,20,10,5,4540.248208509268,100.0,4640.248208509268,460.9814638985721,5.0,58.0,523.9814638985721
14,15,20,10,5,4540.248208509268,110.0,4650.248208509268,460.9814638985721,5.5,68.0,534.4814638985721
15,16,20,10,5,4540.248208509268,130.0,4670.248208509268,460.9814638985721,6.5,78.0,545.4814638985721
16,17,20,10,5,4540.248208509268,150.0,4690.248208509268,460.9814638985721,7.5,88.0,556.4814638985721
17,18,20,10,5,4540.248208509268,170.0,4710.248208509268,460.9814638985721,8.5,94.0,563.4814638985721
18,19,20,10,5,4540.248208509268,190.0,4730.248208509268,460.9814638985721,9.5,100.0,570.4814638985721
19,20,20,10,5,4540.248208509268,210.0,4750.248208509268,460.9814638985721,10.5,106.0,577.4814638985721
20,21,20,10,5,4540.248208509268,230.0,4770.248208509268,460.9814638985721,11.5,112.0,584.4814638985721
21,22,20,10,5,4540.248208509268,250.0,4790.248208509268,460.9814638985721,12.5,118.0,591.4814638985721
22,23,20,10,5,4540.248208509268,270.0,4810.248208509268,500.03211440402566,13.5,124.0,637.5321144040256
23,24,18,12,5,5477.683251552824,290.0,5767.683251552824,533.3443048577444,14.5,130.0,677.8443048577444
24,25,18,12,5,5477.683251552824,320.0,5797.683251552824,574.0991047243738,16.0,136.0,726.0991047243738
25,26,15,15,5,7248.892491704201,350.0,7598.892491704201,625.3584811972739,17.5,142.0,784.8584811972739
26,27,13,17,5,8175.183225253965,380.0,8555.183225253964,734.5825030367846,19.0,146.0,899.5825030367846
27,28,10,20,5,9069.2498783854,410.0,9479.2498783854,837.7396162178874,20.5,146.0,1004.2396162178874
28,29,8,22,5,9167.181204698389,440.0,9607.181204698389,897.3440701659845,22.0,146.0,1065.3440701659845
29,30,7,23,5,9250.397789583854,470.0,9720.397789583854,954.6435296269472,23.5,146.0,1124.1435296269472
30,31,6,24,5,9295.597932350207,500.0,9795.597932350207,993.9837429151794,25.0,146.0,1164.9837429151794
31,32,6,24,5,9303.743544930909,530.0,9833.743544930909,1013.029347383212,26.5,146.0,1185.529347383212
32,33,6,24,5,9305.016296382833,560.0,9865.016296382833,1032.0697862369448,28.0,146.0,1206.069786236945
33,34,5,25,5,9305.270846832622,590.0,9895.270846832622,1051.1085032174474,29.5,146.0,1226.6085032174476
34,35,5,25,5,9305.270846832622,620.0,9925.270846832622,1051.1085032174474,31.0,146.0,1228.1085032174476
35,36,5,25,5,9305.270846832622,650.0,9955.270846832622,1051.1085032174474,32.5,146.0,1229.6085032174476
36,37,5,25,5,9305.270846832622,680.0,9985.270846832622,1051.1085032174474,34.0,146.0,1231.1085032174476
37,38,5,25,5,9305.270846832622,710.0,10015.270846832622,1051.1085032174474,35.5,146.0,1232.6085032174476
38,39,5,25,5,9305.270846832622,740.0,10045.270846832622,1051.1085032174474,37.0,146.0,1234.1085032174476
39,40,5,25,10,9305.270846832622,765.5056007507771,10070.7764475834,1051.1085032174474,38.275280037538856,146.0,1235.3837832549864
40,41,5,25,10,9305.270846832622,785.5056007507771,10090.7764475834,1051.1085032174474,39.275280037538856,156.0,1246.3837832549864
41,42,5,25,10,9305.270846832622,815.5056007507771,10120.7764475834,1051.1085032174474,40.775280037538856,166.0,1257.8837832549864
42,43,5,25,10,9305.270846832622,845.5056007507771,10150.7764475834,1051.1085032174474,42.275280037538856,176.0,1269.3837832549864
43,44,5,25,10,9305.270846832622,875.5056007507771,10180.7764475834,1051.1085032174474,43.775280037538856,186.0,1280.8837832549864
44,45,5,25,10,9305.270846832622,905.5056007507771,10210.7764475834,1051.1085032174474,45.275280037538856,196.0,1292.3837832549864
45,46,5,25,10,9305.270846832622,935.5056007507771,10240.7764475834,1051.1085032174474,46.775280037538856,206.0,1303.8837832549864
46,47,5,25,10,9305.270846832622,957.9466041651657,10263.217450997787,1051.1085032174474,47.89733020825828,216.0,1315.0058334257058
47,48,5,25,10,9305.270846832622,977.9466041651657,10283.217450997787,1051.1085032174474,48.89733020825828,226.0,1326.0058334257058
48,49,5,25,10,9305.270846832622,997.9466041651657,10303.217450997787,1051.1085032174474,49.89733020825828,236.0,1337.0058334257058
49,50,5,25,10,9305.270846832622,1017.9466041651657,10323.217450997787,1051.1085032174474,50.89733020825828,246.0,1348.0058334257058
50,51,5,25,10,9305.270846832622,1037.9466041651658,10343.217450997789,1051.1085032174474,51.89733020825828,256.0,1359.0058334257058
51,52,5,25,10,9305.270846832622,1057.9466041651658,10363.217450997789,1051.1085032174474,52.89733020825828,266.0,1370.0058334257058
52,53,5,25,10,9305.270846832622,1077.9466041651658,10383.217450997789,1051.1085032174474,53.89733020825828,276.0,1381.0058334257058
53,54,5,25,10,9305.270846832622,1097.9466041651658,10403.217450997789,1051.1085032174474,54.89733020825828,286.0,1392.0058334257058
54,55,5,25,10,9305.270846832622,1117.9466041651658,10423.217450997789,1051.1085032174474,55.89733020825828,296.0,1403.0058334257058
55,56,5,25,10,9305.270846832622,1137.9466041651658,10443.217450997789,1051.1085032174474,56.89733020825828,306.0,1414.0058334257058
56,57,5,25,10,9305.270846832622,1157.9466041651658,10463.217450997789,1051.1085032174474,57.89733020825828,306.0,1415.0058334257058
57,58,5,25,10,9305.270846832622,1177.9466041651658,10483.217450997789,1051.1085032174474,58.89733020825828,306.0,1416.0058334257058
58,59,5,25,10,9305.270846832622,1197.9466041651658,10503.217450997789,1051.1085032174474,59.89733020825828,306.0,1417.0058334257058
59,60,5,25,10,9305.270846832622,1217.9466041651658,10523.217450997789,1051.1085032174474,60.89733020825828,306.0,1418.0058334257058
60,61,5,25,10,9305.270846832622,1237.9466041651658,10543.217450997789,1051.1085032174474,61.89733020825828,306.0,1419.0058334257058
61,62,5,25,10,9305.270846832622,1257.9466041651658,10563.217450997789,1051.1085032174474,62.89733020825828,306.0,1420.0058334257058
62,63,5,25,10,9305.270846832622,1277.9466041651658,10583.217450997789,1051.1085032174474,63.89733020825828,306.0,1421.0058334257058
63,64,5,25,10,9305.270846832622,1297.9466041651658,10603.217450997789,1051.1085032174474,64.89733020825828,306.0,1422.0058334257058
64,65,5,25,10,9305.270846832622,1317.9466041651658,10623.217450997789,1051.1085032174474,65.89733020825828,306.0,1423.0058334257058
65,66,5,25,10,9305.270846832622,1337.9466041651658,10643.217450997789,1051.1085032174474,66.89733020825828,306.0,1424.0058334257058
66,67,5,25,10,9305.270846832622,1357.9466041651658,10663.217450997789,1051.1085032174474,67.89733020825828,306.0,1425.0058334257058
