step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,1,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,7,1,,,,Task assigned to UAV
0,0,TASK_START,1,2,,,,Task starts execution
0,0,TASK_START,7,1,,,,Task starts execution
1,1,TASK_COMPLETE,7,1,,,,
1,1,TASK_COMPLETE,1,2,,,,
2,2,TASK_ASSIGNED,8,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,2,1,,,,Task assigned to UAV
2,2,TASK_START,2,1,,,,Task starts execution
2,2,TASK_START,8,2,,,,Task starts execution
3,3,TASK_COMPLETE,2,1,,,,
3,3,LOW_BATTERY,,1,,,,
3,3,TASK_COMPLETE,8,2,,,,
3,3,LOW_BATTERY,,2,,,,
4,4,TASK_ASSIGNED,9,1,,,,Task assigned to UAV
4,4,TASK_ASSIGNED,6,2,,,,Task assigned to UAV
4,4,TASK_START,6,2,,,,Task starts execution
4,4,TASK_START,9,1,,,,Task starts execution
4,4,CHARGING_REQUEST,,1,,,,UAV requests charging
4,4,CHARGING_START,,1,1,379,58,Charging started
4,4,CHARGING_REQUEST,,2,,,,UAV requests charging
4,4,CHARGING_START,,2,1,371,60,Charging started
19,19,CHARGING_END,,1,1,379,58,Charging ended
19,19,CHARGING_END,,2,1,371,60,Charging ended
19,19,TASK_COMPLETE,9,1,,,,
19,19,TASK_COMPLETE,6,2,,,,
20,20,TASK_ASSIGNED,3,2,,,,Task assigned to UAV
20,20,TASK_ASSIGNED,4,1,,,,Task assigned to UAV
20,20,TASK_START,3,2,,,,Task starts execution
20,20,TASK_START,4,1,,,,Task starts execution
21,21,TASK_COMPLETE,4,1,,,,
21,21,LOW_BATTERY,,1,,,,
21,21,TASK_COMPLETE,3,2,,,,
21,21,LOW_BATTERY,,2,,,,
22,22,TASK_ASSIGNED,10,1,,,,Task assigned to UAV
22,22,TASK_START,10,1,,,,Task starts execution
22,22,CHARGING_REQUEST,,1,,,,UAV requests charging
22,22,CHARGING_START,,1,1,111,79,Charging started
22,22,LOW_BATTERY,,2,,,,
23,23,LOW_BATTERY,,2,,,,
24,24,LOW_BATTERY,,2,,,,
25,25,LOW_BATTERY,,2,,,,
26,26,LOW_BATTERY,,2,,,,
27,27,LOW_BATTERY,,2,,,,
28,28,LOW_BATTERY,,2,,,,
29,29,LOW_BATTERY,,2,,,,
30,30,LOW_BATTERY,,2,,,,
31,31,LOW_BATTERY,,2,,,,
32,32,LOW_BATTERY,,2,,,,
33,33,LOW_BATTERY,,2,,,,
34,34,LOW_BATTERY,,2,,,,
35,35,LOW_BATTERY,,2,,,,
36,36,LOW_BATTERY,,2,,,,
37,37,CHARGING_END,,1,1,111,79,Charging ended
37,37,TASK_COMPLETE,10,1,,,,
37,37,LOW_BATTERY,,2,,,,
38,38,TASK_ASSIGNED,5,1,,,,Task assigned to UAV
38,38,TASK_START,5,1,,,,Task starts execution
38,38,LOW_BATTERY,,2,,,,
39,39,TASK_COMPLETE,5,1,,,,
39,39,LOW_BATTERY,,1,,,,
39,39,LOW_BATTERY,,2,,,,
