step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,39.2919438537085,0.0,0.0,39.2919438537085
1,2,8,2,0,546.7044796257857,0.0,546.7044796257857,75.30585706996675,0.0,0.0,75.30585706996675
2,3,8,2,0,546.7044796257857,0.0,546.7044796257857,111.33349335082774,0.0,0.0,111.33349335082774
3,4,6,4,0,574.1640389080302,0.0,574.1640389080302,147.18141186200694,0.0,0.0,147.18141186200694
4,5,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,0.0,186.1744493820484
5,6,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,4.0,190.1744493820484
6,7,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,8.0,194.1744493820484
7,8,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,12.0,198.1744493820484
8,9,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,16.0,202.1744493820484
9,10,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,20.0,206.1744493820484
10,11,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,24.0,210.1744493820484
11,12,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,28.0,214.1744493820484
12,13,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,32.0,218.1744493820484
13,14,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,36.0,222.1744493820484
14,15,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,40.0,226.1744493820484
15,16,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,44.0,230.1744493820484
16,17,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,48.0,234.1744493820484
17,18,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,52.0,238.1744493820484
18,19,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,56.0,242.1744493820484
19,20,4,6,2,812.8464283069565,0.0,812.8464283069565,223.54420365487357,0.0,60.0,283.54420365487357
20,21,4,6,2,812.8464283069565,0.0,812.8464283069565,262.5107303101374,0.0,60.0,322.5107303101374
21,22,2,8,2,1098.7035744171542,0.0,1098.7035744171542,299.5291002373033,0.0,60.0,359.5291002373033
22,23,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,60.0,376.1875741094381
23,24,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,62.0,378.1875741094381
24,25,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,64.0,380.1875741094381
25,26,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,66.0,382.1875741094381
26,27,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,68.0,384.1875741094381
27,28,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,70.0,386.1875741094381
28,29,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,72.0,388.1875741094381
29,30,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,74.0,390.1875741094381
30,31,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,76.0,392.1875741094381
31,32,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,78.0,394.1875741094381
32,33,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,80.0,396.1875741094381
33,34,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,82.0,398.1875741094381
34,35,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,84.0,400.1875741094381
35,36,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,86.0,402.1875741094381
36,37,2,8,3,1098.7035744171542,0.0,1098.7035744171542,316.1875741094381,0.0,88.0,404.1875741094381
37,38,1,9,3,1117.4918686452102,0.0,1117.4918686452102,332.73169582762546,0.0,90.0,422.73169582762546
38,39,1,9,3,1117.4918686452102,0.0,1117.4918686452102,355.8186978346755,0.0,90.0,445.8186978346755
39,40,0,10,3,1445.4324120368437,0.0,1445.4324120368437,376.5376272851938,0.0,90.0,466.5376272851938
